PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DeMarDerozan,20,5,2,33,8-17,1-3,45.0%,1-3,33.3%,2,3,0,1,1,1,-29,16,ChicagoBulls
ZachLaVine,16,4,3,25,2-7,2-9,25.0%,6-6,100.0%,0,4,4,0,0,3,1,7,ChicagoBulls
CobyWhite,15,4,4,31,2-7,2-7,28.6%,5-6,83.3%,1,3,0,0,0,3,-8,12,ChicagoBulls
NikolaVucevic,11,9,4,32,5-6,0-2,62.5%,1-1,100.0%,1,8,4,3,2,2,-19,22,ChicagoBulls
TorreyCraig,11,7,1,22,1-2,3-4,66.7%,0-0,-,4,3,1,0,0,2,-12,16,ChicagoBulls
PatrickWilliams,8,3,4,30,4-6,0-4,40.0%,0-0,-,2,1,0,2,0,3,-3,11,ChicagoBulls
AyoDosunmu,8,0,1,9,1-1,2-4,60.0%,0-0,-,0,0,1,1,0,0,3,7,ChicagoBulls
AndreDrummond,6,5,1,16,3-4,0-0,75.0%,0-0,-,3,2,1,1,0,1,-1,11,ChicagoBulls
AlexCaruso,6,2,3,20,1-1,1-4,40.0%,1-2,50.0%,0,2,1,2,0,1,-19,8,ChicagoBulls
JevonCarter,3,1,2,16,0-0,1-4,25.0%,0-0,-,0,1,0,0,0,0,-15,3,ChicagoBulls
DalenTerry,0,2,1,4,0-1,0-1,0.0%,0-0,-,0,2,0,0,0,0,1,1,ChicagoBulls
JulianPhillips,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,1,0,ChicagoBulls
ChicagoBulls,104,42,26,240,27-52,12-42,41.5%,14-18,77.8%  ,13,29,12,10,3,16,-100,114,ChicagoBulls
ShaiGilgeous-Alexander,31,5,10,36,10-13,2-5,66.7%,5-5,100.0%,0,5,1,1,2,0,19,42,OklahomaCityThunder
JoshGiddey,16,6,6,32,5-11,2-3,50.0%,0-0,-,1,5,3,0,0,1,19,18,OklahomaCityThunder
JalenWilliams,16,3,5,32,3-5,2-6,45.5%,4-4,100.0%,0,3,2,1,0,3,8,17,OklahomaCityThunder
IsaiahJoe,14,5,2,22,1-2,3-6,50.0%,3-4,75.0%,1,4,2,1,0,2,14,15,OklahomaCityThunder
CasonWallace,13,2,1,19,2-2,3-3,100.0%,0-0,-,0,2,1,0,1,3,9,16,OklahomaCityThunder
ChetHolmgren,11,4,3,25,2-4,2-3,57.1%,1-3,33.3%,0,4,1,1,0,3,14,13,OklahomaCityThunder
OusmaneDieng,9,2,0,14,0-0,3-5,60.0%,0-0,-,1,1,1,0,0,1,2,8,OklahomaCityThunder
LuguentzDort,8,7,2,33,1-3,2-5,37.5%,0-0,-,0,7,2,2,1,1,13,13,OklahomaCityThunder
OlivierSarr,4,4,0,11,1-1,0-0,100.0%,2-2,100.0%,1,3,1,0,0,3,6,7,OklahomaCityThunder
AaronWiggins,2,3,0,11,1-2,0-1,33.3%,0-0,-,1,2,1,0,0,2,-4,2,OklahomaCityThunder
AleksejPokusevski,0,2,0,2,0-0,0-1,0.0%,0-0,-,0,2,0,0,0,0,0,1,OklahomaCityThunder
TreMann,0,0,1,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,1,OklahomaCityThunder
LindyWaters,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,-1,OklahomaCityThunder
OklahomaCityThunder,124,43,30,240,26-43,19-39,54.9%,15-18,83.3%  ,5,38,15,6,4,19,100,152,OklahomaCityThunder
