PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,26,14,10,30,10-10,1-1,100.0%,3-3,100.0%,0,14,3,0,1,1,25,48,DenverNuggets
JamalMurray,23,3,9,26,5-6,4-6,75.0%,1-1,100.0%,2,1,1,2,0,0,19,33,DenverNuggets
PeytonWatson,20,5,2,23,2-4,4-10,42.9%,4-4,100.0%,0,5,0,0,0,1,28,19,DenverNuggets
KentaviousCaldwell-Pope,12,2,3,25,3-5,2-5,50.0%,0-0,-,2,0,0,0,1,2,27,13,DenverNuggets
JulianStrawther,12,3,2,25,3-5,2-8,38.5%,0-0,-,0,3,1,0,1,4,6,9,DenverNuggets
ChristianBraun,11,3,4,23,3-6,1-2,50.0%,2-4,50.0%,0,3,0,1,0,0,13,13,DenverNuggets
ReggieJackson,9,2,7,17,2-6,1-1,42.9%,2-2,100.0%,1,1,3,1,0,1,15,12,DenverNuggets
JustinHoliday,8,2,1,18,1-2,2-3,60.0%,0-0,-,0,2,0,2,0,2,1,11,DenverNuggets
MichaelPorter,8,4,0,23,1-3,2-3,50.0%,0-0,-,0,4,2,0,1,3,28,8,DenverNuggets
DeAndreJordan,4,9,2,13,2-3,0-0,66.7%,0-0,-,5,4,0,0,2,3,9,16,DenverNuggets
ZekeNnaji,4,3,0,6,2-3,0-0,66.7%,0-0,-,1,2,1,0,0,2,3,5,DenverNuggets
JalenPickett,3,1,2,6,0-0,1-2,50.0%,0-0,-,0,1,0,0,0,0,3,5,DenverNuggets
BraxtonKey,2,2,1,7,1-2,0-0,50.0%,0-0,-,1,1,0,0,0,0,8,4,DenverNuggets
DenverNuggets,142,55,43,240,35-55,20-41,57.3%,12-14,85.7%  ,13,42,11,6,6,19,185,196,DenverNuggets
DesmondBane,23,1,2,25,6-8,3-5,69.2%,2-2,100.0%,0,1,2,1,0,3,-27,21,MemphisGrizzlies
MarcusSmart,17,3,5,23,4-8,2-6,42.9%,3-4,75.0%,1,2,3,1,0,1,-7,14,MemphisGrizzlies
DavidRoddy,15,0,2,29,4-7,1-2,55.6%,4-8,50.0%,0,0,0,0,0,0,-11,9,MemphisGrizzlies
JarenJacksonJr.,14,4,2,28,4-11,1-3,35.7%,3-4,75.0%,1,3,0,2,0,1,-11,12,MemphisGrizzlies
JohnKonchar,10,7,3,25,3-4,1-5,44.4%,1-1,100.0%,3,4,1,2,1,1,-30,17,MemphisGrizzlies
ZiaireWilliams,7,2,1,24,1-5,1-3,25.0%,2-2,100.0%,1,1,1,1,1,1,-16,5,MemphisGrizzlies
XavierTillman,6,3,4,22,1-3,1-4,28.6%,1-2,50.0%,0,3,2,1,1,0,-18,7,MemphisGrizzlies
JacobGilyard,6,0,1,12,0-0,2-3,66.7%,0-0,-,0,0,0,0,1,0,-14,7,MemphisGrizzlies
VinceWilliamsJr.,5,11,2,30,0-3,1-4,14.3%,2-2,100.0%,4,7,0,0,0,3,-23,12,MemphisGrizzlies
BismackBiyombo,2,4,1,22,1-4,0-0,25.0%,0-0,-,0,4,2,0,1,3,-28,3,MemphisGrizzlies
MemphisGrizzlies,105,42,23,240,24-53,13-35,42.0%,18-25,72.0%  ,13,29,13,8,5,15,-185,107,MemphisGrizzlies
