PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BojanBogdanovic,34,4,4,33,7-13,5-10,52.2%,5-6,83.3%,0,4,2,0,0,1,0,28,DetroitPistons
AlecBurks,15,0,1,26,0-2,4-9,36.4%,3-4,75.0%,0,0,0,0,0,1,5,8,DetroitPistons
JalenDuren,14,8,2,22,7-9,0-0,77.8%,0-1,0.0%,2,6,1,0,0,3,5,20,DetroitPistons
IsaiahStewart,11,8,2,34,3-6,1-2,50.0%,2-4,50.0%,1,7,2,1,0,3,10,14,DetroitPistons
JadenIvey,9,1,2,22,3-7,1-3,40.0%,0-0,-,0,1,2,1,0,2,-11,5,DetroitPistons
MonteMorris,7,3,3,11,2-3,1-1,75.0%,0-0,-,0,3,0,0,0,0,3,12,DetroitPistons
AusarThompson,7,2,1,27,3-3,0-1,75.0%,1-2,50.0%,0,2,2,2,0,4,3,8,DetroitPistons
KillianHayes,6,7,8,27,1-1,1-2,66.7%,1-3,33.3%,0,7,1,0,0,1,4,17,DetroitPistons
MikeMuscala,5,5,1,13,1-1,1-4,40.0%,0-0,-,2,3,0,0,0,1,2,8,DetroitPistons
MarcusSasser,5,2,2,12,1-1,1-4,40.0%,0-0,-,0,2,1,0,0,1,8,5,DetroitPistons
KevinKnox,0,4,0,13,0-2,0-2,0.0%,0-0,-,0,4,0,0,0,0,6,0,DetroitPistons
DetroitPistons,113,44,26,240,28-48,15-38,50.0%,12-20,60.0%  ,5,39,11,4,0,17,35,125,DetroitPistons
BrandonMiller,23,7,4,39,3-7,5-10,47.1%,2-3,66.7%,1,6,2,0,1,4,-15,23,CharlotteHornets
NickRichards,21,10,0,27,9-13,0-0,69.2%,3-4,75.0%,5,5,0,0,1,1,-7,27,CharlotteHornets
MilesBridges,20,10,2,41,4-12,3-9,33.3%,3-4,75.0%,0,10,3,2,0,1,3,16,CharlotteHornets
LaMeloBall,17,4,7,32,5-13,1-8,28.6%,4-4,100.0%,1,3,4,1,0,6,-24,10,CharlotteHornets
P.J.Washington,12,6,5,29,0-0,4-6,66.7%,0-0,-,0,6,2,1,1,4,6,21,CharlotteHornets
CodyMartin,5,3,3,25,1-2,0-2,25.0%,3-4,75.0%,1,2,0,1,0,2,-5,8,CharlotteHornets
LeakyBlack,3,2,0,3,0-0,1-1,100.0%,0-0,-,0,2,0,0,0,0,0,5,CharlotteHornets
NickSmith,3,0,1,17,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,0,-7,3,CharlotteHornets
IshmaelSmith,2,4,5,13,1-1,0-0,100.0%,0-0,-,1,3,0,0,1,0,16,12,CharlotteHornets
NathanMensah,0,2,0,7,0-0,0-0,-,0-0,-,0,2,0,0,1,3,-10,3,CharlotteHornets
FrankNtilikina,0,0,0,9,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,8,-1,CharlotteHornets
CharlotteHornets,106,48,27,240,23-49,15-38,43.7%,15-19,78.9%  ,9,39,11,5,5,22,-35,127,CharlotteHornets
