PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,35,0,5,10,7,11,4,5,6,42,5-10,7-11,57.1,4-5,80.0,0,0,3,1,0,3,5,29,AtlantaHawks
OnyekaOkongwu,22,16,6,8,2,4,4,4,0,36,6-8,2-4,66.7,4-4,100.0,6,10,0,0,2,4,9,36,AtlantaHawks
JalenT.Johnson,21,13,7,14,2,6,1,1,8,43,7-14,2-6,45.0,1-1,100.0,3,10,0,0,1,3,-3,32,AtlantaHawks
DejounteMurray,19,5,9,18,0,6,1,1,7,41,9-18,0-6,37.5,1-1,100.0,0,5,2,1,0,5,4,15,AtlantaHawks
ClintCapela,17,15,8,11,0,0,1,2,2,25,8-11,0-0,72.7,1-2,50.0,6,9,1,0,0,0,4,29,AtlantaHawks
BogdanBogdanovic,13,4,3,6,2,10,1,1,4,38,3-6,2-10,31.3,1-1,100.0,0,4,2,2,0,3,1,10,AtlantaHawks
GarrisonMathews,8,3,1,1,1,4,3,3,0,16,1-1,1-4,40.0,3-3,100.0,1,2,0,0,1,1,14,9,AtlantaHawks
De&#039;AndreHunter,6,1,2,3,0,2,2,5,0,16,2-3,0-2,40.0,2-5,40.0,0,1,0,1,0,1,-5,2,AtlantaHawks
PattyMills,0,0,0,0,0,0,0,0,0,7,0-0,0-0,0,0-0,0,0,0,0,0,0,0,6,0,AtlantaHawks
AtlantaHawks,141,58,41,71,14,43,17,22,27,265,41-71,14-43,48.2,17-22,0,16,42,10,5,4,20,35,162,AtlantaHawks
StephenCurry,60,6,12,15,10,23,6,6,4,41,12-15,10-23,57.9,6-6,100.0,1,5,2,0,1,1,-1,53,GoldenStateWarriors
LesterQuinones,17,5,2,3,4,8,1,2,0,23,2-3,4-8,54.5,1-2,50.0,4,1,1,0,0,2,-7,15,GoldenStateWarriors
JonathanKuminga,16,4,5,9,1,3,3,4,3,34,5-9,1-3,50.0,3-4,75.0,2,2,4,1,0,6,-5,13,GoldenStateWarriors
BrandinPodziemski,15,11,6,10,0,2,3,5,5,39,6-10,0-2,50.0,3-5,60.0,2,9,0,0,1,4,-13,24,GoldenStateWarriors
KlayThompson,10,4,2,6,2,13,0,0,2,36,2-6,2-13,21.1,0-0,0,0,4,1,3,1,0,-10,4,GoldenStateWarriors
DraymondGreen,7,6,2,6,1,3,0,0,8,35,2-6,1-3,33.3,0-0,0,1,5,3,0,1,2,-7,13,GoldenStateWarriors
TrayceJackson-Davis,5,5,2,3,0,0,1,1,0,9,2-3,0-0,66.7,1-1,100.0,1,4,1,0,1,1,-2,9,GoldenStateWarriors
GuiSantos,2,2,0,0,0,2,2,2,3,15,0-0,0-2,0.0,2-2,100.0,1,1,1,0,0,4,5,4,GoldenStateWarriors
AndrewWiggins,2,4,1,4,0,2,0,0,0,19,1-4,0-2,16.7,0-0,0,0,4,0,0,2,1,2,3,GoldenStateWarriors
KevonLooney,0,10,0,0,0,0,0,0,1,15,0-0,0-0,0,0-0,0,2,8,1,0,0,2,3,10,GoldenStateWarriors
GoldenStateWarriors,134,59,32,56,18,56,16,20,26,265,32-56,18-56,44.6,16-20,0,15,44,15,4,7,23,-35,148,GoldenStateWarriors
