PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,30,5,8,14,3,10,5,7,13,41,45.8,71.4,0,5,2,1,1,3,2,33,AtlantaHawks
DejounteMurray,26,4,6,9,4,6,2,2,4,35,66.7,100.0,1,3,3,2,0,4,-4,28,AtlantaHawks
ClintCapela,20,12,8,11,0,0,4,4,1,30,72.7,100.0,5,7,1,0,2,2,2,31,AtlantaHawks
BogdanBogdanovic,16,4,4,7,2,8,2,3,3,34,40.0,66.7,1,3,0,0,0,2,-1,13,AtlantaHawks
SaddiqBey,14,6,1,2,3,9,3,4,2,38,36.4,75.0,1,5,1,2,0,2,-7,15,AtlantaHawks
OnyekaOkongwu,10,7,5,8,0,2,0,0,4,28,50.0,0.0,4,3,3,2,2,4,-7,17,AtlantaHawks
SethLundy,3,2,0,1,1,6,0,0,0,19,14.3,0.0,1,1,0,0,0,2,-9,-1,AtlantaHawks
GarrisonMathews,0,1,0,1,0,2,0,0,1,14,0.0,0.0,0,1,0,1,0,3,-6,0,AtlantaHawks
AtlantaHawks,119,43,32,53,13,43,16,20,28,240,46.9,0.0,14,29,10,8,5,22,-30,136,AtlantaHawks
DesmondBane,37,6,8,11,5,14,6,6,6,36,52.0,100.0,0,6,2,1,1,0,-5,37,MemphisGrizzlies
JaMorant,30,6,13,22,1,3,1,1,11,36,56.0,100.0,0,6,3,1,1,1,2,35,MemphisGrizzlies
JarenJacksonJr.,20,2,7,8,1,2,3,4,0,24,80.0,75.0,2,0,2,0,0,5,0,17,MemphisGrizzlies
BismackBiyombo,8,11,3,6,0,0,2,6,3,29,50.0,33.3,7,4,1,1,0,2,4,15,MemphisGrizzlies
ZiaireWilliams,8,3,2,5,1,3,1,3,3,23,37.5,33.3,1,2,1,0,0,3,6,6,MemphisGrizzlies
XavierTillman,6,3,3,7,0,0,0,0,0,16,42.9,0.0,2,1,0,1,2,0,4,8,MemphisGrizzlies
SantiagoAldama,6,4,1,3,1,4,1,2,3,27,28.6,50.0,0,4,1,0,1,0,3,7,MemphisGrizzlies
VinceWilliamsJr.,5,11,1,1,1,5,0,0,1,35,33.3,0.0,2,9,1,2,0,4,13,14,MemphisGrizzlies
JohnKonchar,5,5,1,1,1,2,0,0,2,13,66.7,0.0,1,4,0,0,2,1,3,13,MemphisGrizzlies
MemphisGrizzlies,125,56,39,64,11,33,14,22,29,240,51.5,0.0,19,37,11,6,7,17,30,152,MemphisGrizzlies
