PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DejounteMurray,24,4,8,34,7-10,3-5,66.7%,1-2,50.0%,0,4,4,1,1,2,15,28,AtlantaHawks
TraeYoung,23,3,10,35,6-15,1-3,38.9%,8-9,88.9%,0,3,3,2,0,1,4,23,AtlantaHawks
De&#039;AndreHunter,23,7,3,33,6-9,2-7,50.0%,5-6,83.3%,0,7,5,2,0,5,3,21,AtlantaHawks
OnyekaOkongwu,16,11,2,27,6-7,0-1,75.0%,4-4,100.0%,5,6,1,0,1,3,-8,27,AtlantaHawks
SaddiqBey,14,7,0,32,2-3,2-7,40.0%,4-4,100.0%,1,6,1,1,0,1,10,15,AtlantaHawks
BogdanBogdanovic,12,3,1,23,3-5,1-5,40.0%,3-3,100.0%,0,3,1,1,1,2,8,11,AtlantaHawks
ClintCapela,10,11,0,21,4-6,0-0,66.7%,2-2,100.0%,4,7,0,1,0,0,17,20,AtlantaHawks
JalenT.Johnson,8,11,2,24,3-5,0-2,42.9%,2-2,100.0%,4,7,5,0,0,2,10,12,AtlantaHawks
AJGriffin,0,0,0,12,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,-14,-2,AtlantaHawks
AtlantaHawks,130,57,26,240,37-60,9-32,50.0%,29-32,90.6%  ,14,43,20,8,3,16,45,155,AtlantaHawks
KyleKuzma,25,9,6,25,10-15,1-6,52.4%,2-3,66.7%,0,9,1,0,0,1,-16,28,WashingtonWizards
DeniAvdija,22,5,3,24,8-12,2-4,62.5%,0-1,0.0%,3,2,1,2,1,5,3,25,WashingtonWizards
JordanPoole,13,0,1,20,3-7,2-6,38.5%,1-1,100.0%,0,0,1,1,0,1,-22,6,WashingtonWizards
DaniloGallinari,8,5,0,19,4-5,0-0,80.0%,0-0,-,1,4,0,0,0,1,-4,12,WashingtonWizards
LandryShamet,8,1,2,12,1-1,2-4,60.0%,0-0,-,0,1,0,1,0,3,-4,10,WashingtonWizards
JonathanDavis,7,1,0,10,3-5,0-1,50.0%,1-1,100.0%,0,1,0,3,0,3,-9,8,WashingtonWizards
MikeMuscala,7,4,1,22,1-3,1-4,28.6%,2-2,100.0%,1,3,2,1,1,3,-22,7,WashingtonWizards
EugeneOmoruyi,7,2,0,8,3-5,0-1,50.0%,1-2,50.0%,0,2,1,0,0,1,-3,4,WashingtonWizards
RyanRollins,6,0,1,7,2-2,0-0,100.0%,2-2,100.0%,0,0,0,0,1,2,17,8,WashingtonWizards
TyusJones,6,1,3,22,3-3,0-3,50.0%,0-0,-,0,1,1,1,0,1,-23,7,WashingtonWizards
BilalCoulibaly,5,3,3,28,1-1,1-4,40.0%,0-2,0.0%,1,2,3,3,0,2,15,6,WashingtonWizards
DelonWright,3,3,9,22,0-0,1-3,33.3%,0-0,-,0,3,0,2,0,1,6,15,WashingtonWizards
AnthonyGill,2,1,2,7,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,0,17,4,WashingtonWizards
CoreyKispert,2,0,1,14,1-1,0-4,20.0%,0-0,-,0,0,0,0,0,1,0,-1,WashingtonWizards
WashingtonWizards,121,35,32,240,41-61,10-40,50.5%,9-14,64.3%  ,6,29,11,14,3,25,-45,139,WashingtonWizards
