PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaysonTatum,24,5,6,13,3,8,3,5,2,32,6-13,3-8,42.9,3-5,60.0,0,5,2,0,0,2,11,15,BostonCeltics
JrueHoliday,22,4,2,7,6,7,0,0,4,31,2-7,6-7,57.1,0-0,0,0,4,1,0,0,0,10,23,BostonCeltics
JaylenBrown,21,7,5,10,3,6,2,2,5,31,5-10,3-6,50.0,2-2,100.0,1,6,3,1,1,2,12,24,BostonCeltics
PaytonPritchard,12,3,2,6,2,4,2,2,4,27,2-6,2-4,40.0,2-2,100.0,1,2,0,1,0,2,17,14,BostonCeltics
AlHorford,9,3,0,0,3,4,0,0,0,25,0-0,3-4,75.0,0-0,0,0,3,0,1,0,2,14,12,BostonCeltics
SamHauser,7,4,2,2,1,4,0,0,2,20,2-2,1-4,50.0,0-0,0,0,4,2,0,0,0,18,8,BostonCeltics
OshaeBrissett,7,4,2,4,0,1,3,4,1,13,2-4,0-1,40.0,3-4,75.0,1,3,1,0,0,0,4,7,BostonCeltics
LukeKornet,6,9,3,5,0,0,0,0,4,30,3-5,0-0,60.0,0-0,0,3,6,2,1,3,2,11,19,BostonCeltics
NeemiasQueta,6,8,2,4,0,0,2,2,0,12,2-4,0-0,50.0,2-2,100.0,4,4,0,0,2,5,6,14,BostonCeltics
JDDavison,2,1,0,0,0,0,2,2,0,3,0-0,0-0,0,2-2,100.0,1,0,0,0,0,0,-1,3,BostonCeltics
DalanoBanton,1,2,0,1,0,1,1,2,0,4,0-1,0-1,0.0,1-2,50.0,1,1,0,0,0,0,-2,0,BostonCeltics
JordanWalsh,0,4,0,0,0,1,0,0,0,3,0-0,0-1,0.0,0-0,0,0,4,0,0,0,0,-1,3,BostonCeltics
LamarStevens,0,0,0,0,0,0,0,0,0,5,0-0,0-0,0,0-0,0,0,0,1,1,0,0,-2,0,BostonCeltics
SviatoslavMykhailiuk,0,0,0,0,0,2,0,0,0,4,0-0,0-2,0.0,0-0,0,0,0,0,0,0,0,-2,-2,BostonCeltics
BostonCeltics,117,54,24,52,18,38,15,19,22,240,24-52,18-38,46.7,15-19,0,12,42,12,5,6,15,95,140,BostonCeltics
VictorWembanyama,27,5,8,13,2,6,5,6,1,27,8-13,2-6,52.6,5-6,83.3,2,3,5,0,1,2,-14,19,SanAntonioSpurs
DevinVassell,21,2,7,10,0,5,7,8,3,32,7-10,0-5,46.7,7-8,87.5,0,2,1,1,0,1,-15,17,SanAntonioSpurs
TreJones,9,4,3,4,1,5,0,0,10,27,3-4,1-5,44.4,0-0,0,0,4,2,0,0,2,-1,16,SanAntonioSpurs
JulianChampagnie,9,5,3,6,1,2,0,0,0,18,3-6,1-2,50.0,0-0,0,1,4,1,0,0,1,2,9,SanAntonioSpurs
MalakiBranham,8,1,4,6,0,3,0,0,1,16,4-6,0-3,44.4,0-0,0,0,1,0,0,0,0,-20,5,SanAntonioSpurs
JeremySochan,5,7,1,5,1,4,0,0,4,31,1-5,1-4,22.2,0-0,0,3,4,0,3,1,2,-9,13,SanAntonioSpurs
KeldonJohnson,5,2,1,2,1,2,0,0,2,23,1-2,1-2,50.0,0-0,0,0,2,0,1,0,1,-17,8,SanAntonioSpurs
DominickBarlow,5,4,1,4,1,2,0,0,0,21,1-4,1-2,33.3,0-0,0,2,2,0,0,0,1,-5,5,SanAntonioSpurs
MamadiDiakite,3,2,1,2,0,0,1,2,1,5,1-2,0-0,50.0,1-2,50.0,1,1,0,0,1,1,2,5,SanAntonioSpurs
CediOsman,2,5,1,2,0,0,0,0,1,12,1-2,0-0,50.0,0-0,0,2,3,0,0,0,2,-10,7,SanAntonioSpurs
SandroMamukelashvili,2,2,1,1,0,1,0,0,0,5,1-1,0-1,50.0,0-0,0,0,2,0,0,0,0,2,3,SanAntonioSpurs
DougMcDermott,2,0,1,2,0,2,0,0,1,12,1-2,0-2,25.0,0-0,0,0,0,0,0,0,1,-15,0,SanAntonioSpurs
BlakeWesley,0,1,0,2,0,0,0,0,2,7,0-2,0-0,0.0,0-0,0,0,1,1,0,0,1,3,0,SanAntonioSpurs
DevonteGraham,0,1,0,0,0,2,0,0,0,5,0-0,0-2,0.0,0-0,0,0,1,0,0,0,0,2,-1,SanAntonioSpurs
SanAntonioSpurs,98,41,32,59,7,34,13,16,26,240,32-59,7-34,41.9,13-16,0,11,30,10,5,3,15,-95,106,SanAntonioSpurs
