PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikalBridges,36,5,7,13,7,13,1,2,5,37,53.8,50.0,0,5,0,1,0,2,0,34,BrooklynNets
CameronJohnson,19,5,3,8,4,6,1,1,2,25,50.0,100.0,2,3,0,0,0,1,1,19,BrooklynNets
CamThomas,14,1,6,8,0,3,2,2,2,22,54.5,100.0,0,1,1,0,1,3,-3,12,BrooklynNets
NicClaxton,8,17,4,9,0,0,0,0,1,39,44.4,0.0,6,11,3,2,1,1,-6,21,BrooklynNets
RoyceO&#039;Neale,8,4,1,1,2,3,0,0,3,20,75.0,0.0,2,2,1,1,1,3,-8,15,BrooklynNets
DennisSmith,8,5,4,8,0,1,0,0,5,29,44.4,0.0,0,5,5,2,1,5,-11,11,BrooklynNets
DorianFinney-Smith,5,2,1,3,1,7,0,0,7,37,20.0,0.0,2,0,2,1,1,3,4,6,BrooklynNets
LonnieWalker,5,1,1,3,1,5,0,0,0,12,25.0,0.0,1,0,0,0,0,0,-9,0,BrooklynNets
SpencerDinwiddie,0,0,0,0,0,4,0,0,4,19,0.0,0.0,0,0,1,0,0,1,7,-1,BrooklynNets
BrooklynNets,103,46,27,53,15,42,4,5,29,240,44.2,0.0,16,30,14,7,5,19,-25,117,BrooklynNets
JuliusRandle,30,9,8,17,2,2,8,8,7,37,52.6,100.0,2,7,4,0,0,3,-3,33,NewYorkKnicks
JalenBrunson,30,3,9,15,2,7,6,7,4,36,50.0,85.7,0,3,2,0,0,2,7,23,NewYorkKnicks
DonteDiVincenzo,11,5,1,2,3,8,0,0,0,25,40.0,0.0,1,4,3,1,0,0,-7,8,NewYorkKnicks
OguguaAnunoby,10,5,3,7,0,1,4,4,1,33,37.5,100.0,1,4,3,4,2,2,11,14,NewYorkKnicks
MilesMcBride,8,1,1,2,2,3,0,0,2,12,60.0,0.0,0,1,0,0,1,1,-2,10,NewYorkKnicks
JerichoSims,6,4,3,4,0,0,0,0,2,27,75.0,0.0,2,2,0,0,4,1,-8,15,NewYorkKnicks
PreciousAchiuwa,6,9,3,5,0,1,0,0,2,21,50.0,0.0,4,5,0,0,0,1,13,14,NewYorkKnicks
QuentinGrimes,5,1,1,1,1,4,0,0,2,20,40.0,0.0,0,1,0,1,0,2,5,6,NewYorkKnicks
JoshHart,2,5,1,4,0,3,0,0,1,28,14.3,0.0,1,4,1,2,1,1,9,4,NewYorkKnicks
NewYorkKnicks,108,46,30,57,10,29,18,19,21,240,46.5,0.0,11,35,15,8,8,13,25,127,NewYorkKnicks
