PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
SpencerDinwiddie,29,5,5,8,5,10,4,6,9,38,55.6,66.7,1,4,1,0,0,3,25,32,BrooklynNets
MikalBridges,21,5,6,12,3,5,0,1,4,32,52.9,0.0,1,4,6,4,0,2,12,19,BrooklynNets
CameronJohnson,20,5,4,4,3,7,3,4,2,29,63.6,75.0,1,4,1,3,0,1,21,24,BrooklynNets
RoyceO&#039;Neale,13,4,0,0,4,6,1,2,1,34,66.7,50.0,0,4,1,0,0,4,15,14,BrooklynNets
Day&#039;RonSharpe,11,10,4,7,0,0,3,5,0,24,57.1,60.0,5,5,2,0,1,6,-2,15,BrooklynNets
LonnieWalker,11,2,1,3,3,6,0,0,1,20,44.4,0.0,0,2,2,2,0,0,6,9,BrooklynNets
NicClaxton,8,6,3,5,0,0,2,2,0,21,60.0,100.0,2,4,1,1,2,4,20,14,BrooklynNets
DennisSmith,6,3,3,6,0,1,0,0,5,19,42.9,0.0,1,2,1,2,0,3,9,11,BrooklynNets
DorianFinney-Smith,5,4,1,1,1,4,0,0,0,24,40.0,0.0,2,2,0,1,0,1,-6,7,BrooklynNets
BrooklynNets,124,44,27,46,19,39,13,20,22,240,54.1,0.0,13,31,15,13,3,24,100,145,BrooklynNets
FranzWagner,21,8,5,8,3,8,2,3,5,36,50.0,66.7,3,5,0,0,0,2,-8,25,OrlandoMagic
PaoloBanchero,19,6,2,8,4,7,3,6,3,35,40.0,50.0,0,6,2,2,1,0,-16,17,OrlandoMagic
GogaBitadze,14,3,6,6,0,1,2,2,1,24,85.7,100.0,1,2,0,2,0,4,-14,19,OrlandoMagic
JoeIngles,11,3,1,1,3,3,0,0,4,21,100.0,0.0,1,2,1,1,1,1,-10,19,OrlandoMagic
MoritzWagner,11,6,3,4,0,0,5,6,4,21,75.0,83.3,1,5,1,0,0,3,-7,18,OrlandoMagic
ColeAnthony,10,6,0,2,2,8,4,4,2,28,20.0,100.0,3,3,4,0,0,0,1,6,OrlandoMagic
JalenSuggs,10,2,2,6,2,7,0,0,2,32,30.8,0.0,0,2,3,2,1,2,-27,5,OrlandoMagic
JonathanIsaac,3,3,0,0,1,4,0,0,1,12,25.0,0.0,0,3,2,2,1,1,2,5,OrlandoMagic
CalebHoustan,3,0,0,0,1,1,0,0,0,5,100.0,0.0,0,0,0,0,0,1,-8,3,OrlandoMagic
AnthonyBlack,2,0,1,1,0,3,0,0,1,19,25.0,0.0,0,0,1,0,0,2,-4,-1,OrlandoMagic
ChumaOkeke,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-5,0,OrlandoMagic
JettHoward,0,0,0,0,0,4,0,0,0,4,0.0,0.0,0,0,0,0,0,0,-4,-4,OrlandoMagic
OrlandoMagic,104,37,20,36,16,46,16,21,23,240,43.9,0.0,9,28,14,9,4,16,-100,112,OrlandoMagic
