PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikalBridges,27,13,2,34,9-15,2-14,37.9%,3-5,60.0%,4,9,4,1,0,0,17,19,BrooklynNets
CameronJohnson,14,6,1,35,3-5,2-11,31.3%,2-2,100.0%,1,5,3,0,0,0,15,7,BrooklynNets
SpencerDinwiddie,12,4,3,31,3-5,0-5,30.0%,6-7,85.7%,0,4,0,2,1,2,13,14,BrooklynNets
NicClaxton,10,13,2,28,5-7,0-0,71.4%,0-0,-,4,9,0,0,4,2,8,27,BrooklynNets
RoyceO&#039;Neale,10,6,4,31,0-1,3-7,37.5%,1-2,50.0%,1,5,2,2,0,4,-2,14,BrooklynNets
Day&#039;RonSharpe,8,12,1,19,3-5,0-1,50.0%,2-2,100.0%,7,5,1,1,1,1,-4,19,BrooklynNets
DennisSmith,8,4,6,19,0-2,2-2,50.0%,2-2,100.0%,1,3,4,0,0,1,-10,12,BrooklynNets
DorianFinney-Smith,6,3,0,20,0-1,2-6,28.6%,0-0,-,2,1,2,0,0,5,7,2,BrooklynNets
LonnieWalker,5,2,2,14,1-5,1-3,25.0%,0-0,-,0,2,1,0,0,1,-1,2,BrooklynNets
TrendonWatford,2,3,1,9,1-3,0-0,33.3%,0-0,-,0,3,1,0,0,2,-3,3,BrooklynNets
BrooklynNets,102,72,22,240,25-49,12-49,37.8%,16-20,80.0%  ,24,48,20,6,6,18,40,119,BrooklynNets
BilalCoulibaly,20,7,3,34,4-5,4-7,66.7%,0-1,0.0%,1,6,2,4,0,0,2,27,WashingtonWizards
KyleKuzma,15,4,3,31,4-11,0-5,25.0%,7-10,70.0%,0,4,1,1,2,2,-29,9,WashingtonWizards
DeniAvdija,14,9,3,38,5-10,1-8,33.3%,1-2,50.0%,2,7,2,3,0,2,-1,14,WashingtonWizards
DaniloGallinari,12,3,3,20,2-4,1-3,42.9%,5-5,100.0%,0,3,0,1,0,1,14,15,WashingtonWizards
JordanPoole,12,5,2,32,3-4,2-8,41.7%,0-1,0.0%,0,5,3,0,1,6,-22,9,WashingtonWizards
LandryShamet,8,5,1,20,1-3,2-4,42.9%,0-0,-,1,4,1,0,0,1,12,9,WashingtonWizards
CoreyKispert,8,3,4,27,2-3,0-5,25.0%,4-4,100.0%,1,2,1,1,0,1,4,9,WashingtonWizards
DanielGafford,5,5,0,16,2-3,0-0,66.7%,1-2,50.0%,2,3,1,2,0,1,-4,9,WashingtonWizards
TyusJones,0,1,1,23,0-4,0-1,0.0%,0-0,-,0,1,1,2,0,1,-16,-2,WashingtonWizards
WashingtonWizards,94,46,20,240,23-47,10-41,37.5%,18-25,72.0%  ,9,37,12,14,3,15,-40,99,WashingtonWizards
