PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PatrickWilliams,22,5,7,9,2,5,2,2,3,38,7-9,2-5,64.3,2-2,100.0,1,4,0,2,0,3,-23,27,ChicagoBulls
DeMarDerozan,21,5,7,16,0,3,7,8,5,37,7-16,0-3,36.8,7-8,87.5,0,5,1,2,0,1,-18,19,ChicagoBulls
CobyWhite,16,5,3,13,2,6,4,4,2,33,3-13,2-6,26.3,4-4,100.0,0,5,2,0,0,3,-24,7,ChicagoBulls
AlexCaruso,15,7,3,4,3,7,0,0,2,32,3-4,3-7,54.5,0-0,0,2,5,1,1,0,1,-15,19,ChicagoBulls
AyoDosunmu,15,5,7,13,0,2,1,2,3,33,7-13,0-2,46.7,1-2,50.0,1,4,0,0,0,3,-9,14,ChicagoBulls
AndreDrummond,7,16,3,9,0,0,1,4,0,21,3-9,0-0,33.3,1-4,25.0,7,9,1,1,0,4,-8,14,ChicagoBulls
DalenTerry,6,3,2,3,0,0,2,2,1,18,2-3,0-0,66.7,2-2,100.0,1,2,2,1,3,1,29,11,ChicagoBulls
TerryTaylor,2,1,1,1,0,1,0,0,1,14,1-1,0-1,50.0,0-0,0,1,0,0,0,0,3,1,3,ChicagoBulls
AdamaSanogo,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,ChicagoBulls
JulianPhillips,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-1,0,ChicagoBulls
JevonCarter,0,0,0,2,0,3,0,0,2,12,0-2,0-3,0.0,0-0,0,0,0,0,0,1,1,-12,-2,ChicagoBulls
ChicagoBulls,104,47,33,70,7,27,17,22,19,240,33-70,7-27,41.2,17-22,0,13,34,7,7,4,20,-80,112,ChicagoBulls
MylesTurner,24,6,7,10,1,2,7,7,0,26,7-10,1-2,66.7,7-7,100.0,0,6,3,0,3,5,30,26,IndianaPacers
TyreseHaliburton,21,3,1,4,6,13,1,2,20,37,1-4,6-13,41.2,1-2,50.0,0,3,0,2,1,2,32,36,IndianaPacers
BuddyHield,19,6,2,3,5,10,0,0,2,33,2-3,5-10,53.8,0-0,0,0,6,3,1,1,3,22,20,IndianaPacers
JalenSmith,15,7,5,5,1,2,2,5,1,25,5-5,1-2,85.7,2-5,40.0,2,5,0,0,0,3,4,19,IndianaPacers
BennedictMathurin,15,5,4,6,1,3,4,5,1,26,4-6,1-3,55.6,4-5,80.0,2,3,3,0,1,1,2,14,IndianaPacers
AaronNesmith,12,5,0,3,4,6,0,0,1,34,0-3,4-6,44.4,0-0,0,0,5,1,1,2,4,25,15,IndianaPacers
AndrewNembhard,8,3,4,10,0,3,0,0,4,24,4-10,0-3,30.8,0-0,0,1,2,1,1,0,3,-19,6,IndianaPacers
ObiToppin,3,12,0,1,1,3,0,0,0,25,0-1,1-3,25.0,0-0,0,1,11,1,0,1,0,-11,12,IndianaPacers
IsaiahJackson,3,0,1,1,0,0,1,3,1,11,1-1,0-0,100.0,1-3,33.3,0,0,1,1,0,0,-5,2,IndianaPacers
IndianaPacers,120,47,24,43,19,42,15,22,30,240,24-43,19-42,50.6,15-22,0,6,41,13,6,9,21,80,150,IndianaPacers
