PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,22,5,2,12,2,6,12,13,6,35,22.2,92.3,0,5,1,1,0,0,-2,18,ClevelandCavaliers
JarrettAllen,21,14,9,12,0,0,3,4,3,37,75.0,75.0,5,9,2,3,2,3,-3,37,ClevelandCavaliers
EvanMobley,18,6,8,12,0,0,2,3,6,36,66.7,66.7,1,5,2,4,1,3,-5,28,ClevelandCavaliers
MaxStrus,13,4,2,4,3,7,0,0,2,34,45.5,0.0,0,4,3,1,0,2,-19,11,ClevelandCavaliers
GeorgesNiang,13,2,2,4,3,9,0,0,1,23,38.5,0.0,0,2,1,2,0,2,7,9,ClevelandCavaliers
CraigPorter,11,1,4,6,1,1,0,0,1,17,71.4,0.0,0,1,1,0,0,2,-10,10,ClevelandCavaliers
CarisLeVert,6,1,3,5,0,4,0,0,8,26,33.3,0.0,0,1,0,1,0,2,-2,10,ClevelandCavaliers
DariusGarland,6,1,2,5,0,1,2,2,3,14,33.3,100.0,0,1,2,1,0,1,-3,5,ClevelandCavaliers
IsaacOkoro,5,3,2,3,0,0,1,1,0,19,66.7,100.0,1,2,2,0,1,1,7,6,ClevelandCavaliers
ClevelandCavaliers,115,41,34,63,9,28,20,23,30,240,47.3,0.0,8,33,14,13,4,16,-30,134,ClevelandCavaliers
AnthonyDavis,32,13,13,20,0,0,6,7,3,38,65.0,85.7,5,8,5,2,3,3,3,40,LosAngelesLakers
LeBronJames,22,6,7,14,1,9,5,7,6,36,34.8,71.4,1,5,4,2,2,1,2,17,LosAngelesLakers
AustinReaves,15,5,3,6,1,2,6,6,10,32,50.0,100.0,1,4,2,2,0,1,-2,26,LosAngelesLakers
ChristianWood,13,3,3,4,2,3,1,1,0,17,71.4,100.0,1,2,1,0,0,1,-8,13,LosAngelesLakers
MaxChristie,12,5,3,3,2,4,0,0,3,33,71.4,0.0,1,4,1,0,0,3,6,17,LosAngelesLakers
JaxsonHayes,10,3,5,5,0,0,0,0,1,21,100.0,0.0,0,3,1,0,1,3,14,14,LosAngelesLakers
D&#039;AngeloRussell,10,5,2,6,2,6,0,0,5,32,33.3,0.0,0,5,4,2,0,3,3,10,LosAngelesLakers
TaureanPrince,7,4,2,5,1,3,0,0,6,32,37.5,0.0,0,4,0,1,2,0,12,15,LosAngelesLakers
LosAngelesLakers,121,45,38,63,9,27,18,21,34,240,52.2,0.0,9,36,19,9,8,15,30,152,LosAngelesLakers
