PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,32,16,6,16,2,7,14,14,9,36,6-16,2-7,34.8,14-14,100.0,3,13,4,1,0,2,3,39,DenverNuggets
AaronGordon,20,5,7,10,1,2,3,3,5,39,7-10,1-2,66.7,3-3,100.0,1,4,3,0,0,1,2,23,DenverNuggets
ReggieJackson,18,3,7,10,0,1,4,6,4,30,7-10,0-1,63.6,4-6,66.7,0,3,2,0,1,3,9,18,DenverNuggets
ChristianBraun,10,1,5,6,0,0,0,0,1,20,5-6,0-0,83.3,0-0,0,0,1,0,0,0,3,-3,11,DenverNuggets
MichaelPorter,10,5,2,3,2,8,0,2,0,34,2-3,2-8,36.4,0-2,0.0,1,4,2,1,1,3,4,6,DenverNuggets
KentaviousCaldwell-Pope,9,1,0,0,2,3,3,5,4,39,0-0,2-3,66.7,3-5,60.0,0,1,1,1,0,3,3,11,DenverNuggets
JalenPickett,5,2,1,1,1,2,0,0,2,17,1-1,1-2,66.7,0-0,0,0,2,2,1,0,2,-4,7,DenverNuggets
PeytonWatson,4,0,2,2,0,0,0,0,0,11,2-2,0-0,100.0,0-0,0,0,0,0,0,0,1,2,4,DenverNuggets
ZekeNnaji,3,3,1,2,0,0,1,2,0,12,1-2,0-0,50.0,1-2,50.0,1,2,0,0,0,1,0,4,DenverNuggets
JustinHoliday,0,0,0,0,0,0,0,0,1,2,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-1,1,DenverNuggets
DenverNuggets,111,36,31,50,8,23,25,32,26,240,31-50,8-23,53.4,25-32,0,6,30,14,4,2,19,15,124,DenverNuggets
PaulGeorge,35,7,9,15,4,11,5,5,3,40,9-15,4-11,50.0,5-5,100.0,0,7,1,3,0,4,-5,34,LAClippers
JamesHarden,21,2,4,7,3,8,4,4,4,35,4-7,3-8,46.7,4-4,100.0,0,2,1,0,0,3,-3,18,LAClippers
KawhiLeonard,15,2,3,11,2,3,3,4,2,38,3-11,2-3,35.7,3-4,75.0,0,2,3,5,0,1,0,11,LAClippers
NormanPowell,14,1,2,4,2,3,4,5,1,26,2-4,2-3,57.1,4-5,80.0,0,1,0,0,0,5,5,12,LAClippers
IvicaZubac,9,13,2,8,0,0,5,6,3,26,2-8,0-0,25.0,5-6,83.3,7,6,0,0,1,4,-3,19,LAClippers
RussellWestbrook,8,6,4,11,0,1,0,0,3,24,4-11,0-1,33.3,0-0,0,1,5,3,2,0,3,1,8,LAClippers
P.J.Tucker,6,5,0,0,2,3,0,0,0,21,0-0,2-3,66.7,0-0,0,2,3,1,0,0,1,-7,9,LAClippers
TeranceMann,0,6,0,1,0,0,0,0,5,28,0-1,0-0,0.0,0-0,0,4,2,1,0,0,3,-3,9,LAClippers
LAClippers,108,42,24,57,13,29,21,24,21,240,24-57,13-29,43.0,21-24,0,14,28,10,10,1,24,-15,120,LAClippers
