PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,29,13,11,36,9-17,3-5,54.5%,2-4,50.0%,3,10,2,1,1,2,15,41,DenverNuggets
JamalMurray,21,2,6,34,5-8,3-5,61.5%,2-2,100.0%,0,2,1,0,1,3,3,24,DenverNuggets
KentaviousCaldwell-Pope,20,2,1,36,6-9,2-3,66.7%,2-2,100.0%,1,1,3,3,1,5,10,20,DenverNuggets
AaronGordon,15,7,5,35,6-9,1-2,63.6%,0-0,-,2,5,0,2,1,0,6,26,DenverNuggets
MichaelPorter,12,12,2,30,3-4,2-9,38.5%,0-0,-,2,10,0,2,0,1,12,20,DenverNuggets
ReggieJackson,8,3,1,24,1-3,2-5,37.5%,0-0,-,0,3,2,1,0,0,11,6,DenverNuggets
ChristianBraun,5,3,2,19,2-4,0-1,40.0%,1-2,50.0%,1,2,1,0,1,1,5,6,DenverNuggets
ZekeNnaji,4,0,1,12,1-2,0-1,33.3%,2-2,100.0%,0,0,1,0,0,2,-3,2,DenverNuggets
PeytonWatson,3,0,0,11,0-0,1-3,33.3%,0-0,-,0,0,1,0,1,1,1,1,DenverNuggets
JalenPickett,2,0,0,1,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,DenverNuggets
BraxtonKey,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,DenverNuggets
CollinGillespie,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,DenverNuggets
DenverNuggets,119,42,29,240,34-57,14-34,52.7%,9-12,75.0%  ,9,33,11,9,6,15,60,148,DenverNuggets
LeBronJames,21,8,5,29,9-12,1-4,62.5%,0-1,0.0%,1,7,0,1,0,1,7,28,LosAngelesLakers
TaureanPrince,18,3,1,30,2-2,4-6,75.0%,2-2,100.0%,1,2,1,0,1,0,-14,20,LosAngelesLakers
AnthonyDavis,17,8,4,34,5-15,1-2,35.3%,4-4,100.0%,1,7,2,0,2,3,-17,18,LosAngelesLakers
AustinReaves,14,8,4,31,3-9,1-2,36.4%,5-7,71.4%,4,4,2,2,0,2,-14,17,LosAngelesLakers
D&#039;AngeloRussell,11,4,7,36,2-7,2-5,33.3%,1-2,50.0%,0,4,3,1,0,3,1,11,LosAngelesLakers
CameronReddish,7,4,0,18,1-2,1-2,50.0%,2-2,100.0%,2,2,0,0,1,2,7,10,LosAngelesLakers
ChristianWood,7,4,0,15,3-3,0-1,75.0%,1-2,50.0%,1,3,1,0,0,1,2,8,LosAngelesLakers
GabeVincent,6,1,2,22,3-4,0-4,37.5%,0-0,-,1,0,2,1,0,3,-17,3,LosAngelesLakers
RuiHachimura,6,3,0,15,3-7,0-3,30.0%,0-0,-,2,1,0,0,0,2,-8,2,LosAngelesLakers
JaxsonHayes,0,1,0,7,0-0,0-0,-,0-0,-,0,1,0,0,0,1,-7,1,LosAngelesLakers
MaxwellLewis,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,LosAngelesLakers
MaxChristie,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,LosAngelesLakers
LosAngelesLakers,107,44,23,240,31-61,10-29,45.6%,15-20,75.0%  ,13,31,11,5,4,18,-60,118,LosAngelesLakers
