PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,26,16,8,15,0,1,10,16,7,37,50.0,62.5,5,11,3,2,0,3,2,34,DenverNuggets
JamalMurray,23,3,2,5,6,10,1,4,7,37,53.3,25.0,0,3,2,1,1,1,13,23,DenverNuggets
MichaelPorter,20,8,4,7,4,12,0,0,2,35,42.1,0.0,3,5,1,0,0,2,18,18,DenverNuggets
AaronGordon,18,4,4,5,2,3,4,6,2,31,75.0,66.7,2,2,1,1,0,1,6,20,DenverNuggets
PeytonWatson,9,3,3,4,0,3,3,6,3,21,42.9,50.0,0,3,0,1,1,1,-6,10,DenverNuggets
KentaviousCaldwell-Pope,8,1,2,5,0,3,4,4,2,33,25.0,100.0,0,1,0,0,0,3,7,5,DenverNuggets
ReggieJackson,3,3,0,2,1,4,0,0,0,18,16.7,0.0,0,3,0,0,0,0,-14,1,DenverNuggets
DeAndreJordan,2,6,1,1,0,0,0,0,0,11,100.0,0.0,3,3,0,0,1,2,4,9,DenverNuggets
ChristianBraun,2,0,0,1,0,1,2,2,2,17,0.0,100.0,0,0,0,0,0,2,0,2,DenverNuggets
DenverNuggets,111,44,24,45,13,37,24,38,25,240,45.1,0.0,13,31,8,5,3,15,30,122,DenverNuggets
PaulReed,30,13,12,17,2,4,0,0,1,42,66.7,0.0,3,10,0,2,0,5,-12,39,Philadelphia76ers
KellyOubre,25,5,8,13,1,4,6,7,4,40,52.9,85.7,2,3,1,0,2,5,-8,26,Philadelphia76ers
PatrickBeverley,17,4,5,9,1,3,4,4,11,37,50.0,100.0,0,4,4,0,2,3,-14,24,Philadelphia76ers
MarcusMorris,17,4,6,11,1,5,2,2,2,33,43.8,100.0,0,4,1,0,0,2,-7,13,Philadelphia76ers
KenyonMartin,7,4,3,4,0,1,1,2,1,19,60.0,50.0,0,4,2,0,0,4,8,7,Philadelphia76ers
DanuelHouse,6,3,3,4,0,3,0,1,0,28,42.9,0.0,1,2,0,2,1,4,6,7,Philadelphia76ers
FurkanKorkmaz,3,1,0,0,1,2,0,0,3,9,50.0,0.0,0,1,0,1,0,0,8,7,Philadelphia76ers
NicolasBatum,0,4,0,1,0,0,0,0,2,26,0.0,0.0,0,4,1,0,0,3,-10,4,Philadelphia76ers
JadenSpringer,0,1,0,0,0,0,0,0,1,7,0.0,0.0,0,1,2,0,1,3,-1,1,Philadelphia76ers
Philadelphia76ers,105,39,37,59,6,22,13,16,25,240,53.1,0.0,6,33,12,5,6,29,-30,128,Philadelphia76ers
