PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,27,22,10,15,1,1,4,4,12,38,68.8,100.0,7,15,4,1,2,3,20,55,DenverNuggets
AaronGordon,18,4,6,8,1,1,3,3,5,28,77.8,100.0,2,2,3,0,0,4,20,22,DenverNuggets
KentaviousCaldwell-Pope,16,1,3,6,1,2,7,7,2,34,50.0,100.0,0,1,0,0,1,3,22,16,DenverNuggets
PeytonWatson,14,5,4,6,2,2,0,0,0,22,75.0,0.0,1,4,0,0,1,4,0,18,DenverNuggets
JamalMurray,13,9,2,6,3,15,0,0,10,33,23.8,0.0,4,5,2,0,2,1,9,16,DenverNuggets
ReggieJackson,13,0,4,6,1,3,2,3,3,24,55.6,66.7,0,0,0,0,0,3,-9,11,DenverNuggets
MichaelPorter,13,4,2,4,3,10,0,0,1,35,35.7,0.0,0,4,1,0,0,0,8,8,DenverNuggets
DeAndreJordan,2,1,1,1,0,0,0,0,0,5,100.0,0.0,1,0,0,0,0,1,-10,3,DenverNuggets
ChristianBraun,2,2,1,1,0,1,0,0,0,8,50.0,0.0,1,1,1,0,0,1,-7,2,DenverNuggets
CollinGillespie,2,0,1,1,0,0,0,0,0,1,100.0,0.0,0,0,0,0,0,0,2,2,DenverNuggets
JayHuff,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,2,1,DenverNuggets
JustinHoliday,0,0,0,1,0,1,0,0,1,12,0.0,0.0,0,0,0,1,0,0,1,0,DenverNuggets
BraxtonKey,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,2,0,DenverNuggets
DenverNuggets,120,53,34,55,12,36,16,17,34,240,50.5,0.0,17,36,12,3,6,20,60,154,DenverNuggets
ScootHenderson,30,5,5,8,3,7,11,12,2,37,53.3,91.7,2,3,2,0,0,3,7,27,PortlandTrailBlazers
AnferneeSimons,29,4,7,13,4,10,3,4,4,37,47.8,75.0,1,3,2,2,0,2,-20,24,PortlandTrailBlazers
MalcolmBrogdon,11,8,5,11,0,2,1,3,6,36,38.5,33.3,3,5,0,0,0,2,-10,15,PortlandTrailBlazers
DuopReath,10,4,1,2,2,2,2,4,1,21,75.0,50.0,1,3,1,1,1,3,6,13,PortlandTrailBlazers
ToumaniCamara,10,2,3,4,0,2,4,4,0,24,50.0,100.0,0,2,1,2,1,1,-11,11,PortlandTrailBlazers
DeandreAyton,8,3,3,6,0,0,2,2,1,27,50.0,100.0,1,2,0,0,1,1,-16,10,PortlandTrailBlazers
JabariWalker,7,8,3,6,0,1,1,1,0,21,42.9,100.0,4,4,1,0,0,2,-25,10,PortlandTrailBlazers
MatisseThybulle,3,1,0,1,1,4,0,0,0,23,20.0,0.0,0,1,0,1,1,2,5,2,PortlandTrailBlazers
KrisMurray,0,2,0,1,0,0,0,0,0,14,0.0,0.0,1,1,1,1,0,0,8,1,PortlandTrailBlazers
IbouBadji,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-2,0,PortlandTrailBlazers
JustinMinaya,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-2,0,PortlandTrailBlazers
PortlandTrailBlazers,108,41,27,52,10,28,24,30,14,240,46.3,0.0,15,26,9,7,4,16,-60,113,PortlandTrailBlazers
