PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,39,11,17,29,0,0,5,5,9,34,58.6,100.0,5,6,5,1,0,3,14,43,DenverNuggets
MichaelPorter,25,7,4,5,4,9,5,6,2,33,57.1,83.3,1,6,3,0,1,0,15,25,DenverNuggets
ReggieJackson,20,7,4,7,3,3,3,3,6,28,70.0,100.0,2,5,4,1,0,5,15,27,DenverNuggets
KentaviousCaldwell-Pope,16,1,3,3,2,4,4,4,6,31,71.4,100.0,0,1,3,1,0,3,6,19,DenverNuggets
JulianStrawther,10,1,2,4,2,4,0,0,4,19,50.0,0.0,0,1,1,3,0,4,7,13,DenverNuggets
DeAndreJordan,6,6,3,3,0,0,0,3,1,12,100.0,0.0,1,5,1,0,0,3,2,9,DenverNuggets
ChristianBraun,5,4,1,4,0,1,3,4,4,25,20.0,75.0,1,3,0,0,0,1,0,8,DenverNuggets
JustinHoliday,5,2,1,1,1,4,0,0,3,27,40.0,0.0,0,2,0,1,0,2,15,8,DenverNuggets
PeytonWatson,4,4,2,4,0,2,0,0,2,22,33.3,0.0,1,3,1,1,2,1,5,8,DenverNuggets
JayHuff,2,0,1,1,0,0,0,0,0,2,100.0,0.0,0,0,0,0,0,0,-4,2,DenverNuggets
BraxtonKey,0,1,0,0,0,1,0,0,1,2,0.0,0.0,0,1,0,0,0,0,-4,1,DenverNuggets
HunterTyson,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,0,-1,1,DenverNuggets
CollinGillespie,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-4,0,DenverNuggets
ZekeNnaji,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,-2,0,DenverNuggets
JalenPickett,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,1,0,0,1,-4,-1,DenverNuggets
DenverNuggets,132,47,38,61,12,28,20,25,38,240,56.2,0.0,13,34,20,8,3,25,60,163,DenverNuggets
VictorWembanyama,22,11,5,12,2,5,6,7,2,25,41.2,85.7,4,7,3,6,4,4,-10,31,SanAntonioSpurs
DevinVassell,19,1,3,6,4,7,1,1,3,26,53.8,100.0,0,1,0,1,0,1,5,18,SanAntonioSpurs
MalakiBranham,15,2,3,6,3,5,0,0,3,25,54.5,0.0,1,1,0,1,0,3,-15,16,SanAntonioSpurs
JulianChampagnie,13,1,1,2,3,6,2,4,1,17,50.0,50.0,0,1,0,0,1,1,2,10,SanAntonioSpurs
TreJones,10,4,4,7,0,1,2,2,6,22,50.0,100.0,0,4,1,0,0,2,14,15,SanAntonioSpurs
KeldonJohnson,10,1,3,5,0,2,4,5,2,31,42.9,80.0,0,1,0,0,0,1,-16,8,SanAntonioSpurs
CharlesBassey,9,6,3,5,0,0,3,3,2,15,60.0,100.0,2,4,1,0,1,3,-7,15,SanAntonioSpurs
ZachCollins,9,4,3,5,1,4,0,0,3,21,44.4,0.0,2,2,4,1,0,4,-14,8,SanAntonioSpurs
CediOsman,7,3,0,2,1,3,4,4,3,16,20.0,100.0,1,2,3,0,0,2,-9,6,SanAntonioSpurs
JeremySochan,4,2,2,5,0,1,0,0,3,17,33.3,0.0,0,2,3,0,0,0,-14,2,SanAntonioSpurs
DevonteGraham,2,0,1,1,0,1,0,0,3,7,50.0,0.0,0,0,0,0,0,0,8,4,SanAntonioSpurs
SandroMamukelashvili,0,0,0,0,0,0,0,0,2,7,0.0,0.0,0,0,0,1,0,1,8,3,SanAntonioSpurs
DougMcDermott,0,0,0,0,0,2,0,0,1,12,0.0,0.0,0,0,0,0,0,0,-12,-1,SanAntonioSpurs
SanAntonioSpurs,120,38,28,56,14,37,22,26,34,240,45.2,0.0,13,25,17,10,6,22,-60,135,SanAntonioSpurs
