PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,15,4,4,11,2,4,1,1,5,23,40.0,100.0,0,4,2,1,0,1,-33,14,DetroitPistons
IsaiahLivers,14,3,1,2,4,6,0,0,2,22,62.5,0.0,0,3,2,0,0,2,-12,14,DetroitPistons
AusarThompson,12,6,6,8,0,3,0,0,0,21,54.5,0.0,1,5,0,1,0,4,-23,14,DetroitPistons
IsaiahStewart,12,3,1,2,3,7,1,1,0,25,44.4,100.0,2,1,2,0,1,3,-20,9,DetroitPistons
MarcusSasser,9,1,2,6,1,2,2,2,8,28,37.5,100.0,0,1,1,2,1,2,-8,15,DetroitPistons
StanleyUmude,8,5,0,4,2,5,2,2,2,20,22.2,100.0,0,5,3,1,0,5,3,6,DetroitPistons
KillianHayes,7,1,3,6,0,3,1,1,8,22,33.3,100.0,0,1,0,2,0,2,8,12,DetroitPistons
JadenIvey,7,1,0,4,1,2,4,4,3,19,16.7,100.0,0,1,1,1,0,6,-17,6,DetroitPistons
JalenDuren,6,7,3,8,0,0,0,0,0,18,37.5,0.0,4,3,2,0,1,3,-20,7,DetroitPistons
AlecBurks,6,1,1,4,1,3,1,1,0,10,28.6,100.0,1,0,0,0,0,1,-8,2,DetroitPistons
JamesWiseman,4,5,2,2,0,0,0,0,0,12,100.0,0.0,1,4,1,0,0,2,0,8,DetroitPistons
MarvinBagley,4,2,2,4,0,0,0,2,0,14,50.0,0.0,1,1,0,0,0,0,-4,2,DetroitPistons
KevinKnox,3,0,0,0,1,1,0,0,0,6,100.0,0.0,0,0,0,0,0,0,4,3,DetroitPistons
DetroitPistons,107,43,25,61,15,36,12,14,28,240,41.2,0.0,11,32,14,8,3,31,-130,112,DetroitPistons
D&#039;AngeloRussell,35,4,8,10,5,7,4,5,9,34,76.5,80.0,0,4,3,1,2,0,31,43,LosAngelesLakers
AnthonyDavis,28,16,9,15,0,0,10,13,4,29,60.0,76.9,4,12,0,1,3,1,29,43,LosAngelesLakers
LeBronJames,25,8,7,13,2,6,5,5,3,29,47.4,100.0,2,6,1,0,0,0,26,25,LosAngelesLakers
ChristianWood,12,9,4,5,0,4,4,4,0,25,44.4,100.0,0,9,1,1,2,1,2,18,LosAngelesLakers
JalenHood,10,1,2,2,1,2,3,6,1,11,75.0,50.0,0,1,1,0,0,2,-6,7,LosAngelesLakers
TaureanPrince,9,1,0,0,3,4,0,0,1,23,75.0,0.0,0,1,1,1,0,0,26,10,LosAngelesLakers
AustinReaves,6,3,3,4,0,4,0,0,4,24,37.5,0.0,1,2,2,0,1,2,13,7,LosAngelesLakers
MaxChristie,5,2,0,1,0,2,5,5,2,22,0.0,100.0,0,2,2,0,1,1,13,5,LosAngelesLakers
D&#039;MoiHodge,3,0,0,1,1,2,0,0,0,5,33.3,0.0,0,0,0,1,0,1,-7,2,LosAngelesLakers
MaxwellLewis,0,0,0,0,0,0,0,0,2,7,0.0,0.0,0,0,0,2,0,1,-3,4,LosAngelesLakers
JaxsonHayes,0,1,0,0,0,0,0,0,0,7,0.0,0.0,0,1,0,0,1,0,-4,2,LosAngelesLakers
CameronReddish,0,3,0,1,0,2,0,0,2,20,0.0,0.0,0,3,1,0,0,2,13,1,LosAngelesLakers
AlexFudge,0,1,0,2,0,1,0,0,0,4,0.0,0.0,1,0,0,0,0,1,-3,-2,LosAngelesLakers
LosAngelesLakers,133,54,33,54,12,34,31,38,28,240,51.1,0.0,10,44,13,7,10,12,130,165,LosAngelesLakers
