PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BojanBogdanovic,33,1,2,33,6-10,5-9,57.9%,6-8,75.0%,0,1,1,1,0,1,-10,26,DetroitPistons
CadeCunningham,21,6,7,30,4-9,1-8,29.4%,10-12,83.3%,1,5,1,0,0,3,-23,19,DetroitPistons
AusarThompson,10,8,3,30,5-6,0-1,71.4%,0-0,-,2,6,0,1,0,3,-1,20,DetroitPistons
JamesWiseman,10,3,0,16,5-7,0-0,71.4%,0-0,-,0,3,1,1,1,6,-21,12,DetroitPistons
MarcusSasser,8,0,1,5,1-1,2-2,100.0%,0-0,-,0,0,1,0,0,0,6,8,DetroitPistons
KevinKnox,7,2,2,10,1-1,1-4,40.0%,2-2,100.0%,0,2,2,0,1,0,8,7,DetroitPistons
JadenIvey,7,2,1,21,2-5,0-3,25.0%,3-6,50.0%,0,2,0,0,1,2,-21,2,DetroitPistons
KillianHayes,6,3,6,32,3-8,0-0,37.5%,0-0,-,0,3,1,1,0,2,1,10,DetroitPistons
IsaiahStewart,4,4,2,22,1-2,0-1,33.3%,2-2,100.0%,2,2,2,0,0,3,-5,6,DetroitPistons
AlecBurks,3,3,0,13,0-4,1-3,14.3%,0-0,-,1,2,0,1,0,1,-8,1,DetroitPistons
IsaiahLivers,2,3,0,27,1-2,0-2,25.0%,0-0,-,0,3,0,1,0,1,-16,3,DetroitPistons
DetroitPistons,111,35,24,240,29-55,10-33,44.3%,23-30,76.7%  ,6,29,9,6,3,22,-90,114,DetroitPistons
JoelEmbiid,41,11,5,31,13-21,1-3,58.3%,12-12,100.0%,4,7,2,2,0,1,27,47,Philadelphia76ers
TobiasHarris,21,7,1,26,4-5,3-5,70.0%,4-4,100.0%,1,6,1,0,1,0,20,26,Philadelphia76ers
KellyOubre,17,3,1,23,5-5,2-4,77.8%,1-2,50.0%,0,3,2,2,0,2,18,18,Philadelphia76ers
De&#039;AnthonyMelton,10,6,1,21,2-5,2-4,44.4%,0-0,-,1,5,0,1,2,4,18,15,Philadelphia76ers
TyreseMaxey,9,4,9,33,2-7,0-6,15.4%,5-6,83.3%,1,3,1,0,0,1,22,9,Philadelphia76ers
RobertCovington,5,6,2,17,2-2,0-2,50.0%,1-1,100.0%,0,6,1,0,0,2,1,10,Philadelphia76ers
NicolasBatum,5,1,2,20,1-1,1-1,100.0%,0-0,-,0,1,0,0,0,3,6,8,Philadelphia76ers
PaulReed,5,4,0,13,1-3,0-0,33.3%,3-3,100.0%,1,3,3,0,0,2,-4,4,Philadelphia76ers
JadenSpringer,5,0,2,7,0-1,1-1,50.0%,2-4,50.0%,0,0,0,0,0,1,-12,4,Philadelphia76ers
MarcusMorris,4,8,2,16,2-2,0-0,100.0%,0-0,-,1,7,0,0,1,2,6,15,Philadelphia76ers
PatrickBeverley,3,1,1,13,0-1,1-2,33.3%,0-2,0.0%,0,1,0,0,0,2,17,1,Philadelphia76ers
KenyonMartin,2,2,1,4,1-1,0-0,100.0%,0-0,-,1,1,0,1,0,0,-6,6,Philadelphia76ers
MohamedBamba,2,0,0,3,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,-5,2,Philadelphia76ers
FurkanKorkmaz,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,-6,-1,Philadelphia76ers
DanuelHouse,0,0,1,7,0-2,0-1,0.0%,0-0,-,0,0,0,0,0,0,-12,-2,Philadelphia76ers
Philadelphia76ers,129,53,28,240,34-57,11-30,51.7%,28-34,82.4%  ,10,43,10,6,4,20,90,162,Philadelphia76ers
