PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,32,5,3,5,5,9,11,12,1,35,57.1,91.7,0,5,4,0,0,2,-3,27,GoldenStateWarriors
KlayThompson,20,3,2,5,5,11,1,1,3,31,43.8,100.0,0,3,1,0,0,1,-3,16,GoldenStateWarriors
DarioSaric,18,5,2,3,3,7,5,6,2,26,50.0,83.3,0,5,1,1,1,2,5,20,GoldenStateWarriors
ChrisPaul,15,6,1,2,3,5,4,4,12,34,57.1,100.0,1,5,1,2,0,4,12,31,GoldenStateWarriors
AndrewWiggins,12,7,1,7,2,3,4,4,1,30,30.0,100.0,4,3,0,0,0,2,-3,13,GoldenStateWarriors
KevonLooney,7,5,2,4,0,0,3,4,3,22,50.0,75.0,1,4,0,0,0,3,2,12,GoldenStateWarriors
MosesMoody,7,4,2,4,1,3,0,0,0,22,42.9,0.0,2,2,0,0,0,2,3,7,GoldenStateWarriors
JonathanKuminga,7,3,2,4,1,3,0,2,1,18,42.9,0.0,0,3,1,0,0,3,8,4,GoldenStateWarriors
BrandinPodziemski,3,5,0,0,1,2,0,0,3,18,50.0,0.0,0,5,0,0,0,2,3,10,GoldenStateWarriors
TrayceJackson-Davis,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0,0,0,0,0,1,0,GoldenStateWarriors
GoldenStateWarriors,121,43,15,34,21,43,28,33,26,240,46.8,0.0,8,35,8,3,1,21,25,140,GoldenStateWarriors
AlperenSengun,30,13,11,20,2,3,2,5,5,37,56.5,40.0,7,6,3,1,1,4,6,34,HoustonRockets
JabariSmithJr.,17,9,6,7,1,5,2,2,2,32,58.3,100.0,2,7,2,1,2,4,1,24,HoustonRockets
DillonBrooks,16,4,4,8,2,5,2,2,2,31,46.2,100.0,2,2,1,0,0,5,3,14,HoustonRockets
JalenGreen,16,3,4,6,2,9,2,2,2,23,40.0,100.0,0,3,1,0,0,3,-13,11,HoustonRockets
AaronHoliday,13,4,1,1,3,4,2,3,1,28,80.0,66.7,0,4,0,4,0,3,8,20,HoustonRockets
FredVanVleet,10,5,2,5,1,8,3,3,14,41,23.1,100.0,0,5,0,0,0,2,-3,19,HoustonRockets
Jae&#039;SeanTate,9,3,3,5,1,2,0,0,1,21,57.1,0.0,2,1,1,0,0,3,-7,9,HoustonRockets
JeffGreen,5,1,0,1,1,3,2,2,1,14,25.0,100.0,1,0,0,0,0,0,-11,4,HoustonRockets
ReggieBullock,0,5,0,0,0,2,0,0,0,8,0.0,0.0,1,4,0,0,0,0,-2,3,HoustonRockets
JockLandale,0,1,0,1,0,0,0,0,0,4,0.0,0.0,0,1,0,0,0,0,-7,0,HoustonRockets
HoustonRockets,116,48,31,54,13,41,15,19,28,240,46.3,0.0,15,33,8,6,3,24,-25,138,HoustonRockets
