PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AlperenSengun,30,16,11,20,0,0,8,9,5,37,55.0,88.9,7,9,4,4,0,2,-8,41,HoustonRockets
FredVanVleet,18,4,6,11,1,7,3,3,9,40,38.9,100.0,0,4,3,2,1,2,-11,20,HoustonRockets
TariEason,16,8,6,11,1,2,1,2,1,26,53.8,50.0,3,5,0,2,0,3,9,20,HoustonRockets
AaronHoliday,15,3,3,4,3,6,0,0,1,25,60.0,0.0,0,3,1,1,0,1,9,15,HoustonRockets
JabariSmithJr.,10,6,4,6,0,5,2,2,0,34,36.4,100.0,2,4,0,1,1,4,-13,11,HoustonRockets
DillonBrooks,9,1,4,8,0,1,1,1,1,22,44.4,100.0,1,0,0,1,0,0,-15,7,HoustonRockets
AmenThompson,7,4,3,5,0,0,1,1,0,12,60.0,100.0,2,2,1,2,0,1,9,10,HoustonRockets
Jae&#039;SeanTate,5,1,2,3,0,0,1,2,0,14,66.7,50.0,0,1,0,1,0,1,4,5,HoustonRockets
JalenGreen,5,1,2,4,0,3,1,2,2,20,28.6,50.0,0,1,0,1,0,0,-19,3,HoustonRockets
JeffGreen,2,0,1,1,0,0,0,0,0,11,100.0,0.0,0,0,1,0,0,2,5,1,HoustonRockets
HoustonRockets,117,44,42,73,5,24,18,22,19,240,48.5,0.0,15,29,10,15,2,16,-30,133,HoustonRockets
TyreseHaliburton,33,6,6,8,7,13,0,1,10,38,61.9,0.0,1,5,3,1,0,0,15,38,IndianaPacers
MylesTurner,18,5,3,6,2,3,6,7,1,24,55.6,85.7,1,4,0,0,2,5,4,21,IndianaPacers
JalenSmith,12,8,4,7,1,4,1,1,1,23,45.5,100.0,2,6,1,1,2,3,11,17,IndianaPacers
IsaiahJackson,11,8,3,3,0,0,5,5,0,20,100.0,100.0,3,5,1,1,3,3,3,22,IndianaPacers
AndrewNembhard,11,2,4,5,1,1,0,0,6,34,83.3,0.0,0,2,6,0,0,1,10,12,IndianaPacers
BuddyHield,11,5,1,3,3,11,0,0,5,33,28.6,0.0,1,4,0,0,0,1,-10,11,IndianaPacers
AaronNesmith,10,5,1,2,2,4,2,2,2,30,50.0,100.0,1,4,3,0,0,5,17,11,IndianaPacers
BennedictMathurin,10,4,1,4,2,5,2,2,0,24,33.3,100.0,0,4,3,1,0,2,-6,6,IndianaPacers
ObiToppin,7,2,1,1,1,2,2,3,3,15,66.7,66.7,1,1,3,1,0,2,-14,8,IndianaPacers
IndianaPacers,123,45,24,39,19,43,18,21,28,240,52.4,0.0,10,35,20,5,7,22,30,146,IndianaPacers
