PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenGreen,34,2,4,30,10-13,3-13,50.0%,5-5,100.0%,1,1,1,1,0,0,11,27,HoustonRockets
JabariSmithJr.,18,9,2,27,3-6,3-4,60.0%,3-4,75.0%,0,9,0,0,1,2,4,25,HoustonRockets
FredVanVleet,16,7,4,39,1-4,4-8,41.7%,2-3,66.7%,1,6,1,2,0,0,22,20,HoustonRockets
DillonBrooks,13,5,1,27,4-9,0-5,28.6%,5-5,100.0%,1,4,1,1,0,4,-2,9,HoustonRockets
AlperenSengun,11,7,3,32,3-8,1-1,44.4%,2-3,66.7%,1,6,2,0,3,5,21,16,HoustonRockets
AaronHoliday,7,3,2,17,2-2,1-4,50.0%,0-0,-,0,3,0,0,0,3,2,9,HoustonRockets
TariEason,6,5,2,19,0-1,2-3,50.0%,0-0,-,1,4,1,1,1,2,24,12,HoustonRockets
Jae&#039;SeanTate,2,9,4,26,1-1,0-3,25.0%,0-0,-,1,8,0,1,0,4,26,13,HoustonRockets
JockLandale,2,1,0,4,1-1,0-0,100.0%,0-0,-,0,1,0,0,0,0,-3,3,HoustonRockets
JeenathanWilliams,2,0,0,3,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,-4,1,HoustonRockets
JeffGreen,0,1,0,12,0-2,0-1,0.0%,0-0,-,0,1,0,0,1,1,2,-1,HoustonRockets
ReggieBullock,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,-3,-1,HoustonRockets
HoustonRockets,111,50,22,240,26-49,14-43,43.5%,17-20,85.0%  ,6,44,6,6,6,22,100,133,HoustonRockets
DesmondBane,23,7,4,26,4-6,2-6,50.0%,9-10,90.0%,1,6,2,1,0,4,-15,26,MemphisGrizzlies
JarenJacksonJr.,23,7,0,37,7-17,0-4,33.3%,9-12,75.0%,1,6,2,1,1,4,-20,13,MemphisGrizzlies
ZiaireWilliams,13,2,0,20,2-5,2-5,40.0%,3-3,100.0%,0,2,0,0,0,2,-27,9,MemphisGrizzlies
SantiagoAldama,8,2,0,22,1-2,1-3,40.0%,3-3,100.0%,0,2,0,0,1,5,-4,8,MemphisGrizzlies
DerrickRose,7,1,2,16,0-1,1-2,33.3%,4-4,100.0%,0,1,2,0,0,0,-3,6,MemphisGrizzlies
BismackBiyombo,5,5,2,31,2-4,0-0,50.0%,1-2,50.0%,0,5,1,1,2,0,-10,11,MemphisGrizzlies
JacobGilyard,5,1,4,24,1-2,1-4,33.3%,0-0,-,1,0,0,0,0,1,-14,6,MemphisGrizzlies
DavidRoddy,4,6,1,22,2-6,0-1,28.6%,0-0,-,0,6,2,0,0,0,-5,4,MemphisGrizzlies
KennyLofton,3,0,2,4,1-3,0-1,25.0%,1-1,100.0%,0,0,0,0,1,0,3,3,MemphisGrizzlies
JohnKonchar,0,11,2,29,0-2,0-4,0.0%,0-0,-,5,6,0,0,2,3,-11,9,MemphisGrizzlies
GregoryJackson,0,3,0,4,0-2,0-1,0.0%,0-0,-,1,2,0,0,0,0,3,0,MemphisGrizzlies
VinceWilliamsJr.,0,1,0,4,0-0,0-1,0.0%,0-0,-,0,1,0,0,0,0,3,0,MemphisGrizzlies
MemphisGrizzlies,91,47,17,240,20-50,7-32,32.9%,30-35,85.7%  ,10,37,9,3,7,19,-100,95,MemphisGrizzlies
