PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenGreen,23,2,2,4,3,5,10,12,2,26,55.6,83.3,0,2,3,1,1,0,13,20,HoustonRockets
AlperenSengun,17,8,7,11,0,2,3,4,12,26,53.8,75.0,2,6,1,1,0,3,30,30,HoustonRockets
AaronHoliday,13,3,6,6,0,0,1,1,1,21,100.0,100.0,0,3,2,1,0,1,16,16,HoustonRockets
JabariSmithJr.,13,4,2,3,3,5,0,0,0,22,62.5,0.0,0,4,0,0,1,4,10,15,HoustonRockets
FredVanVleet,11,4,0,3,3,5,2,2,5,27,37.5,100.0,0,4,1,0,0,1,34,14,HoustonRockets
DillonBrooks,9,6,2,3,1,3,2,2,1,28,50.0,100.0,0,6,1,0,0,1,34,12,HoustonRockets
Jae&#039;SeanTate,8,4,1,1,2,4,0,0,1,21,60.0,0.0,1,3,0,2,0,2,28,13,HoustonRockets
CamWhitmore,7,1,3,4,0,1,1,2,1,12,60.0,50.0,0,1,0,1,0,1,-12,7,HoustonRockets
JeffGreen,6,1,2,2,0,0,2,4,0,5,100.0,50.0,0,1,0,1,0,1,12,6,HoustonRockets
NateHinton,6,0,0,2,2,2,0,0,0,7,50.0,0.0,0,0,0,0,0,1,-11,4,HoustonRockets
JockLandale,5,1,1,1,1,2,0,0,1,16,66.7,0.0,1,0,2,1,0,2,6,5,HoustonRockets
JermaineSamuels,4,3,2,2,0,0,0,0,0,12,100.0,0.0,1,2,0,0,1,1,-12,8,HoustonRockets
ReggieBullock,0,1,0,0,0,1,0,0,2,12,0.0,0.0,0,1,0,0,0,1,-12,2,HoustonRockets
BobanMarjanovic,0,1,0,2,0,1,0,0,2,7,0.0,0.0,0,1,0,0,1,0,-11,1,HoustonRockets
HoustonRockets,122,39,28,44,15,31,21,27,28,240,57.3,0.0,5,34,10,8,4,19,125,153,HoustonRockets
KeonEllis,15,2,1,1,4,6,1,4,1,14,71.4,25.0,1,1,0,1,0,1,10,14,SacramentoKings
KevinHuerter,13,3,2,2,3,8,0,1,2,25,50.0,0.0,0,3,3,1,0,0,-26,10,SacramentoKings
KeeganMurray,12,5,3,5,2,6,0,0,1,28,45.5,0.0,0,5,2,1,0,3,-18,11,SacramentoKings
ColbyJones,10,5,4,6,0,0,2,2,1,13,66.7,100.0,3,2,0,0,0,1,4,14,SacramentoKings
JaValeMcGee,10,3,4,5,0,0,2,2,0,10,80.0,100.0,3,0,2,0,0,4,-11,10,SacramentoKings
DomantasSabonis,8,8,3,4,0,0,2,3,5,30,75.0,66.7,3,5,4,0,0,4,-24,15,SacramentoKings
JordanFord,5,1,1,2,1,1,0,0,1,8,66.7,0.0,0,1,0,0,0,0,9,6,SacramentoKings
MalikMonk,5,1,1,3,1,3,0,0,2,15,33.3,0.0,0,1,1,1,0,3,-16,4,SacramentoKings
ChrisDuarte,5,1,0,2,1,1,2,4,2,15,33.3,50.0,0,1,1,0,0,1,-8,3,SacramentoKings
DavionMitchell,5,1,1,6,1,5,0,0,2,27,18.2,0.0,1,0,0,0,1,2,-30,0,SacramentoKings
KesslerEdwards,4,1,0,2,1,2,1,2,2,12,25.0,50.0,0,1,0,1,0,1,11,4,SacramentoKings
HarrisonBarnes,3,0,1,2,0,4,1,2,1,22,16.7,50.0,0,0,0,0,0,0,-21,-2,SacramentoKings
SashaVezenkov,2,0,1,1,0,3,0,0,1,12,25.0,0.0,0,0,0,0,0,2,-15,0,SacramentoKings
AlexLen,0,3,0,0,0,1,0,0,1,8,0.0,0.0,1,2,0,0,1,0,10,4,SacramentoKings
SacramentoKings,97,34,22,41,14,40,11,20,22,240,44.4,0.0,12,22,13,5,2,22,-125,93,SacramentoKings
