PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MylesTurner,22,6,8,13,0,5,6,7,1,37,44.4,85.7,0,6,2,1,0,3,-9,17,IndianaPacers
T.J.McConnell,17,1,6,10,1,1,2,2,7,21,63.6,100.0,0,1,3,0,0,3,10,18,IndianaPacers
PascalSiakam,16,10,7,16,0,0,2,2,4,33,43.8,100.0,2,8,1,0,0,1,-5,20,IndianaPacers
AndrewNembhard,15,1,6,6,1,3,0,0,7,27,77.8,0.0,0,1,2,0,0,1,-15,19,IndianaPacers
AaronNesmith,13,9,4,6,1,7,2,2,0,34,38.5,100.0,4,5,1,0,0,3,-4,13,IndianaPacers
BennedictMathurin,11,5,2,6,1,2,4,5,3,28,37.5,80.0,0,5,1,0,0,2,2,12,IndianaPacers
BenSheppard,5,1,1,1,1,1,0,0,1,12,100.0,0.0,1,0,0,1,0,1,7,8,IndianaPacers
ObiToppin,4,2,2,4,0,0,0,0,0,17,50.0,0.0,0,2,0,0,0,0,4,4,IndianaPacers
BuddyHield,3,1,1,1,0,2,1,1,1,22,33.3,100.0,0,1,0,2,1,1,-15,6,IndianaPacers
IsaiahJackson,3,2,1,3,0,0,1,2,0,9,33.3,50.0,0,2,0,0,0,1,0,2,IndianaPacers
IndianaPacers,109,38,38,66,5,21,18,21,24,240,49.4,0.0,7,31,10,4,1,16,-25,119,IndianaPacers
NikolaJokic,31,13,10,15,3,4,2,2,10,37,68.4,100.0,2,11,1,0,1,3,9,48,DenverNuggets
JamalMurray,31,8,8,15,3,9,6,6,7,37,45.8,100.0,2,6,3,0,0,1,17,30,DenverNuggets
KentaviousCaldwell-Pope,14,5,3,6,2,6,2,2,0,35,41.7,100.0,2,3,1,1,0,3,7,12,DenverNuggets
ReggieJackson,13,2,5,7,1,4,0,0,2,24,54.5,0.0,0,2,2,2,1,3,-14,13,DenverNuggets
AaronGordon,9,1,3,4,0,1,3,3,1,32,60.0,100.0,0,1,0,0,2,3,5,11,DenverNuggets
PeytonWatson,7,2,1,2,1,2,2,2,0,19,50.0,100.0,0,2,2,1,2,1,-3,8,DenverNuggets
MichaelPorter,5,4,1,4,1,5,0,0,1,31,22.2,0.0,0,4,0,0,1,1,7,4,DenverNuggets
ChristianBraun,2,4,1,1,0,2,0,0,0,15,33.3,0.0,3,1,0,1,1,0,-1,6,DenverNuggets
DeAndreJordan,2,3,1,1,0,0,0,2,1,11,100.0,0.0,2,1,1,0,1,2,-2,4,DenverNuggets
DenverNuggets,114,42,33,55,11,33,15,17,22,240,50.0,0.0,11,31,10,5,9,17,25,136,DenverNuggets
