PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JordanNwora,19,5,6,6,2,5,1,1,1,23,6-6,2-5,72.7,1-1,100.0,2,3,1,2,0,3,18,23,IndianaPacers
BennedictMathurin,14,6,3,9,1,3,5,5,3,25,3-9,1-3,33.3,5-5,100.0,0,6,0,1,0,6,-7,16,IndianaPacers
TyreseHaliburton,12,2,3,11,1,3,3,3,3,25,3-11,1-3,28.6,3-3,100.0,0,2,4,0,1,2,-30,4,IndianaPacers
BruceBrown,11,5,3,5,1,2,2,2,1,22,3-5,1-2,57.1,2-2,100.0,0,5,1,0,1,3,-20,14,IndianaPacers
T.J.McConnell,11,4,5,8,0,1,1,3,5,21,5-8,0-1,55.6,1-3,33.3,1,3,2,0,0,1,2,12,IndianaPacers
MylesTurner,10,4,3,7,0,3,4,6,3,23,3-7,0-3,30.0,4-6,66.7,3,1,1,1,3,2,-20,11,IndianaPacers
JalenSmith,10,4,3,4,1,1,1,2,0,13,3-4,1-1,80.0,1-2,50.0,2,2,2,0,0,3,-9,10,IndianaPacers
BenSheppard,7,0,1,2,1,3,2,2,2,16,1-2,1-3,40.0,2-2,100.0,0,0,1,2,0,0,25,7,IndianaPacers
JaraceWalker,7,0,3,3,0,3,1,1,1,14,3-3,0-3,50.0,1-1,100.0,0,0,1,1,1,2,15,6,IndianaPacers
IsaiahJackson,6,4,1,2,0,0,4,6,1,12,1-2,0-0,50.0,4-6,66.7,1,3,0,3,1,2,17,12,IndianaPacers
ObiToppin,6,4,3,5,0,3,0,0,2,16,3-5,0-3,37.5,0-0,0,2,2,2,0,0,2,-14,5,IndianaPacers
BuddyHield,3,1,0,0,1,4,0,0,2,15,0-0,1-4,25.0,0-0,0,0,1,1,0,0,4,-15,2,IndianaPacers
AaronNesmith,0,1,0,2,0,0,0,0,0,15,0-2,0-0,0.0,0-0,0,0,1,0,0,0,2,-22,-1,IndianaPacers
IndianaPacers,116,42,34,64,8,31,24,31,24,240,34-64,8-31,44.2,24-31,0,13,29,16,10,7,32,-60,121,IndianaPacers
PaoloBanchero,24,3,9,14,0,0,6,7,0,27,9-14,0-0,64.3,6-7,85.7,1,2,1,1,2,1,28,23,OrlandoMagic
FranzWagner,19,7,6,12,0,2,7,7,1,22,6-12,0-2,42.9,7-7,100.0,1,6,0,2,0,2,26,21,OrlandoMagic
JalenSuggs,18,3,5,6,1,2,5,6,1,18,5-6,1-2,75.0,5-6,83.3,1,2,0,1,0,1,20,20,OrlandoMagic
MoritzWagner,16,3,5,9,1,1,3,4,2,21,5-9,1-1,60.0,3-4,75.0,3,0,1,0,0,3,3,15,OrlandoMagic
ColeAnthony,15,5,4,9,1,3,4,4,3,25,4-9,1-3,41.7,4-4,100.0,0,5,4,0,1,4,11,13,OrlandoMagic
GaryHarris,13,0,1,3,3,3,2,2,2,22,1-3,3-3,66.7,2-2,100.0,0,0,0,2,0,1,10,15,OrlandoMagic
GogaBitadze,8,8,3,5,0,0,2,2,2,22,3-5,0-0,60.0,2-2,100.0,1,7,0,1,4,2,21,21,OrlandoMagic
AnthonyBlack,7,5,1,3,0,2,5,6,1,24,1-3,0-2,20.0,5-6,83.3,0,5,2,0,2,5,-6,8,OrlandoMagic
JonathanIsaac,5,3,2,5,0,0,1,2,0,14,2-5,0-0,40.0,1-2,50.0,1,2,0,1,1,1,-1,6,OrlandoMagic
ChumaOkeke,3,1,0,1,1,1,0,0,0,8,0-1,1-1,50.0,0-0,0,0,1,0,0,0,0,-15,3,OrlandoMagic
JoeIngles,0,4,0,0,0,2,0,0,6,18,0-0,0-2,0.0,0-0,0,0,4,2,2,0,1,4,8,OrlandoMagic
CalebHoustan,0,0,0,0,0,1,0,0,2,8,0-0,0-1,0.0,0-0,0,0,0,2,0,0,1,-18,-1,OrlandoMagic
JettHoward,0,0,0,0,0,2,0,0,1,7,0-0,0-2,0.0,0-0,0,0,0,2,0,0,0,-11,-3,OrlandoMagic
AdmiralSchofield,0,0,0,0,0,1,0,2,0,5,0-0,0-1,0.0,0-2,0.0,0,0,1,0,0,1,-12,-4,OrlandoMagic
OrlandoMagic,128,47,36,67,7,20,35,42,21,240,36-67,7-20,49.4,35-42,0,12,35,18,10,10,23,60,145,OrlandoMagic
