PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseHaliburton,23,2,8,27,6-12,3-7,47.4%,2-2,100.0%,0,2,2,1,1,1,27,23,IndianaPacers
BuddyHield,19,2,2,21,2-2,5-6,87.5%,0-0,-,0,2,4,1,0,1,22,19,IndianaPacers
ObiToppin,19,2,1,27,5-8,1-3,54.5%,6-6,100.0%,0,2,1,2,0,3,25,18,IndianaPacers
MylesTurner,15,11,2,21,4-6,1-1,71.4%,4-4,100.0%,4,7,0,0,1,3,19,27,IndianaPacers
AaronNesmith,15,2,2,16,2-4,3-4,62.5%,2-2,100.0%,1,1,0,2,0,0,17,18,IndianaPacers
BennedictMathurin,10,3,2,22,4-6,0-2,50.0%,2-2,100.0%,1,2,1,1,0,2,14,11,IndianaPacers
JalenSmith,9,7,2,12,3-3,1-1,100.0%,0-0,-,1,6,1,0,0,3,10,17,IndianaPacers
AndrewNembhard,9,2,8,16,0-2,3-5,42.9%,0-0,-,0,2,2,0,0,3,11,13,IndianaPacers
IsaiahJackson,7,3,1,15,3-3,0-0,100.0%,1-1,100.0%,2,1,0,0,2,5,12,13,IndianaPacers
BruceBrown,7,5,4,24,2-4,1-3,42.9%,0-0,-,0,5,0,0,0,1,21,12,IndianaPacers
BenSheppard,7,2,0,12,2-3,1-4,42.9%,0-0,-,0,2,0,0,0,1,9,5,IndianaPacers
JordanNwora,6,4,0,9,1-1,1-2,66.7%,1-2,50.0%,0,4,2,0,0,0,6,6,IndianaPacers
T.J.McConnell,4,3,4,9,1-2,0-0,50.0%,2-2,100.0%,0,3,1,0,0,1,6,9,IndianaPacers
JaraceWalker,2,1,2,9,0-1,0-0,0.0%,2-2,100.0%,0,1,0,0,0,0,6,4,IndianaPacers
IndianaPacers,152,49,38,240,35-57,20-38,57.9%,22-23,95.7%  ,9,40,14,7,4,24,205,195,IndianaPacers
DougMcDermott,17,1,4,20,1-3,4-6,55.6%,3-4,75.0%,0,1,0,0,0,1,-18,17,SanAntonioSpurs
KeldonJohnson,16,3,3,23,6-12,0-0,50.0%,4-5,80.0%,1,2,1,0,0,1,-19,14,SanAntonioSpurs
ZachCollins,14,5,2,20,5-6,1-2,75.0%,1-3,33.3%,2,3,2,0,0,2,-12,15,SanAntonioSpurs
VictorWembanyama,13,10,0,21,1-7,2-5,25.0%,5-6,83.3%,1,9,2,1,2,1,-9,14,SanAntonioSpurs
CharlesBassey,10,3,1,17,5-5,0-0,100.0%,0-0,-,2,1,1,3,0,3,-26,16,SanAntonioSpurs
MalakiBranham,8,0,2,28,3-4,0-2,50.0%,2-2,100.0%,0,0,0,0,0,0,-28,7,SanAntonioSpurs
CediOsman,6,3,2,19,1-4,1-2,33.3%,1-2,50.0%,1,2,1,1,0,1,-22,6,SanAntonioSpurs
JeremySochan,6,3,1,21,3-8,0-1,33.3%,0-0,-,1,2,2,0,0,2,-18,2,SanAntonioSpurs
SandroMamukelashvili,5,4,1,9,2-2,0-2,50.0%,1-2,50.0%,2,2,0,0,0,0,-6,7,SanAntonioSpurs
TreJones,4,1,8,19,1-3,0-2,20.0%,2-2,100.0%,1,0,1,0,0,1,-21,8,SanAntonioSpurs
JulianChampagnie,4,2,0,17,2-5,0-3,25.0%,0-0,-,0,2,1,0,2,0,-15,1,SanAntonioSpurs
DominickBarlow,4,0,0,8,1-4,0-0,25.0%,2-2,100.0%,0,0,0,0,0,1,-1,1,SanAntonioSpurs
DevonteGraham,2,1,1,12,0-1,0-1,0.0%,2-2,100.0%,1,0,0,2,1,0,-9,5,SanAntonioSpurs
BlakeWesley,2,0,1,8,1-4,0-0,25.0%,0-0,-,0,0,0,0,0,2,-1,0,SanAntonioSpurs
SanAntonioSpurs,111,36,26,240,32-68,8-26,42.6%,23-30,76.7%  ,12,24,11,7,5,15,-205,113,SanAntonioSpurs
