PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KawhiLeonard,25,11,11,15,0,1,3,3,10,38,11-15,0-1,68.8,3-3,100.0,2,9,2,2,1,0,15,42,LAClippers
JamesHarden,23,2,4,9,4,8,3,5,10,39,4-9,4-8,47.1,3-5,60.0,1,1,1,1,1,3,10,25,LAClippers
NormanPowell,17,5,7,10,1,4,0,0,2,27,7-10,1-4,57.1,0-0,0,0,5,1,0,2,0,10,19,LAClippers
PaulGeorge,17,5,7,10,1,2,0,0,3,30,7-10,1-2,66.7,0-0,0,1,4,4,0,1,2,7,18,LAClippers
TeranceMann,17,1,5,6,2,4,1,2,1,23,5-6,2-4,70.0,1-2,50.0,1,0,2,1,0,4,1,14,LAClippers
RussellWestbrook,16,6,3,8,3,3,1,1,3,18,3-8,3-3,54.5,1-1,100.0,0,6,3,2,0,1,1,19,LAClippers
AmirCoffey,9,2,0,1,3,3,0,0,0,24,0-1,3-3,75.0,0-0,0,0,2,0,1,0,2,9,11,LAClippers
DanielTheis,3,2,1,1,0,2,1,1,2,21,1-1,0-2,33.3,1-1,100.0,1,1,0,1,0,5,-2,6,LAClippers
MasonPlumlee,0,2,0,1,0,0,0,0,2,19,0-1,0-0,0.0,0-0,0,0,2,1,0,0,0,4,2,LAClippers
KobeBrown,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,LAClippers
LAClippers,127,36,38,61,14,27,9,12,33,240,38-61,14-27,59.1,9-12,0,6,30,14,8,5,17,55,156,LAClippers
D&#039;AngeloRussell,27,5,5,11,4,10,5,6,10,40,5-11,4-10,42.9,5-6,83.3,2,3,5,0,1,3,-7,25,LosAngelesLakers
AnthonyDavis,26,12,12,19,0,1,2,2,2,36,12-19,0-1,60.0,2-2,100.0,4,8,1,0,0,2,-9,31,LosAngelesLakers
JarredVanderbilt,12,9,4,9,0,1,4,4,2,25,4-9,0-1,40.0,4-4,100.0,6,3,2,3,1,3,-9,19,LosAngelesLakers
AustinReaves,12,2,3,6,2,8,0,0,5,34,3-6,2-8,35.7,0-0,0,0,2,3,2,1,3,-8,10,LosAngelesLakers
RuiHachimura,11,3,4,7,1,1,0,0,2,30,4-7,1-1,62.5,0-0,0,1,2,0,1,1,1,-8,15,LosAngelesLakers
TaureanPrince,11,3,2,4,2,6,1,1,2,33,2-4,2-6,40.0,1-1,100.0,0,3,1,2,2,2,-5,13,LosAngelesLakers
CameronReddish,9,0,1,1,2,4,1,4,1,16,1-1,2-4,60.0,1-4,25.0,0,0,1,1,3,1,-1,8,LosAngelesLakers
ChristianWood,6,7,2,2,0,0,2,5,3,14,2-2,0-0,100.0,2-5,40.0,0,7,1,0,0,0,-5,12,LosAngelesLakers
MaxwellLewis,2,0,1,1,0,0,0,0,0,1,1-1,0-0,100.0,0-0,0,0,0,0,0,0,0,0,2,LosAngelesLakers
JaxsonHayes,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,LosAngelesLakers
JalenHood,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,1,0,0,0,0,-1,LosAngelesLakers
MaxChristie,0,0,0,0,0,1,0,0,0,10,0-0,0-1,0.0,0-0,0,0,0,0,0,0,0,-3,-1,LosAngelesLakers
LosAngelesLakers,116,41,34,60,11,32,15,22,27,240,34-60,11-32,48.9,15-22,0,13,28,15,9,9,15,-55,133,LosAngelesLakers
