PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,27,7,2,8,6,9,5,6,7,33,2-8,6-9,47.1,5-6,83.3,1,6,3,2,0,2,15,30,LAClippers
RussellWestbrook,18,6,8,12,0,4,2,2,7,33,8-12,0-4,50.0,2-2,100.0,0,6,3,5,1,4,16,26,LAClippers
NormanPowell,17,3,3,3,2,5,5,7,3,29,3-3,2-5,62.5,5-7,71.4,0,3,3,0,0,4,-2,15,LAClippers
BonesHyland,17,0,2,7,4,7,1,2,3,32,2-7,4-7,42.9,1-2,50.0,0,0,1,1,0,4,8,11,LAClippers
MasonPlumlee,10,7,5,7,0,0,0,2,2,22,5-7,0-0,71.4,0-2,0.0,2,5,2,0,1,4,-5,14,LAClippers
IvicaZubac,9,9,4,8,0,0,1,2,1,23,4-8,0-0,50.0,1-2,50.0,2,7,1,0,1,1,19,14,LAClippers
KawhiLeonard,8,8,3,8,0,3,2,2,3,33,3-8,0-3,27.3,2-2,100.0,2,6,1,2,0,1,18,12,LAClippers
KobeBrown,7,3,2,2,1,2,0,0,1,19,2-2,1-2,75.0,0-0,0,1,2,0,0,1,4,11,11,LAClippers
JordanMiller,3,0,0,0,1,1,0,0,0,3,0-0,1-1,100.0,0-0,0,0,0,0,0,0,1,2,3,LAClippers
MoussaDiabate,2,1,1,2,0,0,0,0,2,3,1-2,0-0,50.0,0-0,0,1,0,1,0,0,0,2,3,LAClippers
AmirCoffey,0,0,0,1,0,0,0,0,0,10,0-1,0-0,0.0,0-0,0,0,0,1,0,0,1,-4,-2,LAClippers
LAClippers,118,44,30,58,14,31,16,23,29,240,30-58,14-31,49.4,16-23,0,9,35,16,10,4,26,80,137,LAClippers
PaoloBanchero,15,4,4,10,1,3,4,8,4,32,4-10,1-3,38.5,4-8,50.0,0,4,3,4,0,3,-15,12,OrlandoMagic
FranzWagner,14,8,4,6,2,7,0,0,3,32,4-6,2-7,46.2,0-0,0,1,7,3,0,1,4,5,16,OrlandoMagic
MoritzWagner,13,1,4,5,0,2,5,6,1,14,4-5,0-2,57.1,5-6,83.3,0,1,1,1,1,2,1,12,OrlandoMagic
MarkelleFultz,12,5,6,11,0,0,0,1,1,32,6-11,0-0,54.5,0-1,0.0,1,4,2,1,0,3,-16,11,OrlandoMagic
JalenSuggs,11,6,4,5,1,5,0,0,3,32,4-5,1-5,50.0,0-0,0,2,4,3,1,1,5,-12,14,OrlandoMagic
ColeAnthony,10,2,3,4,0,2,4,6,1,18,3-4,0-2,50.0,4-6,66.7,0,2,1,0,0,3,-18,7,OrlandoMagic
GaryHarris,9,2,1,1,2,4,1,3,2,18,1-1,2-4,60.0,1-3,33.3,0,2,0,1,0,1,0,10,OrlandoMagic
WendellCarter,7,8,2,6,0,2,3,6,3,30,2-6,0-2,25.0,3-6,50.0,1,7,2,1,0,2,-16,8,OrlandoMagic
CalebHoustan,6,0,1,1,1,4,1,1,0,4,1-1,1-4,40.0,1-1,100.0,0,0,0,0,0,0,-1,3,OrlandoMagic
JettHoward,2,1,1,1,0,0,0,0,0,4,1-1,0-0,100.0,0-0,0,0,1,0,0,0,0,-1,3,OrlandoMagic
ChumaOkeke,2,1,1,1,0,0,0,0,0,4,1-1,0-0,100.0,0-0,0,1,0,1,0,0,0,-1,2,OrlandoMagic
GogaBitadze,1,1,0,0,0,0,1,2,3,4,0-0,0-0,0,1-2,50.0,1,0,0,0,0,0,-1,4,OrlandoMagic
JoeIngles,0,1,0,0,0,1,0,0,1,13,0-0,0-1,0.0,0-0,0,0,1,0,0,0,0,-4,1,OrlandoMagic
AnthonyBlack,0,0,0,0,0,0,0,0,1,4,0-0,0-0,0,0-0,0,0,0,0,0,0,1,-1,1,OrlandoMagic
OrlandoMagic,102,40,31,51,7,30,19,33,23,240,31-51,7-30,46.9,19-33,0,7,33,16,9,3,24,-80,104,OrlandoMagic
