PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LeBronJames,26,9,5,10,4,9,4,7,7,36,47.4,57.1,2,7,3,0,0,0,7,26,LosAngelesLakers
AustinReaves,17,6,6,9,1,5,2,3,6,31,50.0,66.7,1,5,2,0,0,5,-3,19,LosAngelesLakers
D&#039;AngeloRussell,15,3,3,7,2,4,3,3,5,24,45.5,100.0,0,3,1,0,1,1,1,17,LosAngelesLakers
TaureanPrince,14,6,4,5,2,5,0,0,2,37,60.0,0.0,1,5,1,0,0,3,15,17,LosAngelesLakers
AnthonyDavis,10,13,4,10,0,0,2,2,4,36,40.0,100.0,2,11,3,1,1,3,0,20,LosAngelesLakers
RuiHachimura,9,3,3,9,1,2,0,0,1,26,36.4,0.0,2,1,1,0,0,3,-8,5,LosAngelesLakers
MaxChristie,7,2,2,3,1,4,0,0,0,23,42.9,0.0,0,2,0,0,0,0,-19,5,LosAngelesLakers
JaxsonHayes,2,4,1,1,0,0,0,2,0,11,100.0,0.0,1,3,0,0,0,1,7,4,LosAngelesLakers
ChristianWood,1,5,0,1,0,0,1,2,1,15,0.0,50.0,0,5,0,0,0,1,-15,5,LosAngelesLakers
LosAngelesLakers,101,53,28,55,11,29,12,19,26,240,46.4,0.0,10,43,11,1,2,17,-15,118,LosAngelesLakers
LukaDoncic,30,12,7,14,3,12,7,8,8,39,38.5,87.5,0,12,0,2,0,2,-11,35,DallasMavericks
KyrieIrving,28,6,7,14,4,8,2,2,2,35,50.0,100.0,1,5,2,2,0,0,14,25,DallasMavericks
JoshGreen,15,3,3,4,3,6,0,0,1,22,60.0,0.0,0,3,0,0,0,1,10,15,DallasMavericks
TimHardawayJr.,7,2,0,2,2,8,1,2,3,30,20.0,50.0,1,1,0,1,0,0,11,4,DallasMavericks
DerrickJones,6,2,0,0,2,4,0,0,0,19,50.0,0.0,1,1,0,0,2,4,-10,8,DallasMavericks
GrantWilliams,6,3,0,0,2,9,0,0,2,32,22.2,0.0,1,2,0,0,1,4,-7,5,DallasMavericks
RichaunHolmes,4,10,1,2,0,0,2,4,1,23,50.0,50.0,3,7,0,0,1,3,3,13,DallasMavericks
DanteExum,4,0,2,3,0,2,0,0,0,9,40.0,0.0,0,0,0,0,0,2,7,1,DallasMavericks
DereckLively,2,10,1,3,0,0,0,0,3,19,33.3,0.0,4,6,1,0,0,0,1,12,DallasMavericks
JadenHardy,2,0,1,4,0,1,0,0,0,7,20.0,0.0,0,0,0,0,0,0,-2,-2,DallasMavericks
DwightPowell,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0,0,1,0,0,2,-3,0,DallasMavericks
DallasMavericks,104,50,22,46,16,50,12,16,21,240,39.6,0.0,12,38,5,5,4,18,13,116,DallasMavericks
