PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
D&#039;AngeloRussell,29,4,3,36,6-13,5-7,55.0%,2-2,100.0%,1,3,1,0,0,0,16,26,LosAngelesLakers
AnthonyDavis,28,12,9,33,12-17,0-0,70.6%,4-5,80.0%,5,7,1,1,1,2,21,44,LosAngelesLakers
LeBronJames,25,8,8,33,7-12,3-7,52.6%,2-2,100.0%,1,7,3,1,0,1,20,30,LosAngelesLakers
AustinReaves,14,3,7,30,4-6,2-2,75.0%,0-0,-,0,3,3,1,0,2,20,20,LosAngelesLakers
TaureanPrince,9,1,1,21,3-5,0-3,37.5%,3-5,60.0%,0,1,0,0,0,4,13,4,LosAngelesLakers
JarredVanderbilt,7,9,1,26,1-2,0-1,33.3%,5-8,62.5%,1,8,1,1,0,3,10,12,LosAngelesLakers
RuiHachimura,6,4,1,22,1-2,1-4,33.3%,1-2,50.0%,1,3,0,2,0,1,-1,8,LosAngelesLakers
MaxChristie,5,2,0,14,1-1,1-1,100.0%,0-0,-,0,2,0,0,0,0,4,7,LosAngelesLakers
SkylarMays,2,0,1,5,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,-6,2,LosAngelesLakers
ChristianWood,2,2,1,17,1-2,0-3,20.0%,0-0,-,0,2,1,1,0,0,-6,1,LosAngelesLakers
JaxsonHayes,0,0,1,5,0-1,0-0,0.0%,0-0,-,0,0,0,1,0,1,-6,1,LosAngelesLakers
LosAngelesLakers,127,45,33,240,37-63,12-28,53.8%,17-24,70.8%  ,9,36,10,8,1,15,85,155,LosAngelesLakers
LukaDoncic,33,13,10,36,10-15,2-9,50.0%,7-9,77.8%,0,13,4,2,2,2,-15,42,DallasMavericks
DereckLively,16,11,2,28,8-9,0-0,88.9%,0-0,-,5,6,2,1,0,2,-5,27,DallasMavericks
KyrieIrving,12,5,6,32,3-11,1-5,25.0%,3-3,100.0%,0,5,2,0,0,2,-14,9,DallasMavericks
TimHardawayJr.,12,4,1,28,5-10,0-7,29.4%,2-2,100.0%,2,2,4,1,0,2,-10,2,DallasMavericks
DerrickJones,8,1,0,27,1-1,2-2,100.0%,0-0,-,1,0,0,0,1,2,-25,10,DallasMavericks
GrantWilliams,8,3,2,26,0-0,2-6,33.3%,2-2,100.0%,0,3,0,0,0,3,-1,9,DallasMavericks
JadenHardy,7,0,0,20,2-2,1-5,42.9%,0-0,-,0,0,1,0,0,0,-7,2,DallasMavericks
MaximilianKleber,6,1,3,21,0-0,2-3,66.7%,0-0,-,1,0,1,0,2,5,-17,10,DallasMavericks
BrandonWilliams,5,1,2,5,1-1,1-2,66.7%,0-0,-,0,1,0,0,0,0,6,7,DallasMavericks
A.J.Lawson,2,0,0,5,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,6,2,DallasMavericks
DwightPowell,1,4,0,7,0-0,0-0,-,1-2,50.0%,2,2,1,0,0,1,6,3,DallasMavericks
SethCurry,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,-9,-2,DallasMavericks
DallasMavericks,110,43,26,240,31-51,11-40,46.2%,15-18,83.3%  ,11,32,15,4,5,19,-85,121,DallasMavericks
