PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DesmondBane,30,6,9,10,3,7,3,4,3,37,9-10,3-7,70.6,3-4,75.0,2,4,2,3,0,3,0,34,MemphisGrizzlies
JarenJacksonJr.,30,9,7,14,3,6,7,9,4,34,7-14,3-6,50.0,7-9,77.8,2,7,1,0,2,3,-25,32,MemphisGrizzlies
MarcusSmart,23,5,4,7,5,10,0,0,9,35,4-7,5-10,52.9,0-0,0,1,4,6,3,0,6,-1,26,MemphisGrizzlies
DavidRoddy,9,5,4,7,0,1,1,2,2,29,4-7,0-1,50.0,1-2,50.0,1,4,0,0,1,2,-2,12,MemphisGrizzlies
ZiaireWilliams,8,7,1,4,2,4,0,0,2,33,1-4,2-4,37.5,0-0,0,1,6,3,1,0,2,-21,10,MemphisGrizzlies
XavierTillman,6,7,3,9,0,5,0,3,1,29,3-9,0-5,21.4,0-3,0.0,2,5,0,2,1,0,4,3,MemphisGrizzlies
JohnKonchar,3,4,0,0,1,2,0,0,1,19,0-0,1-2,50.0,0-0,0,1,3,0,0,0,2,-3,7,MemphisGrizzlies
DerrickRose,1,1,0,3,0,1,1,2,0,14,0-3,0-1,0.0,1-2,50.0,0,1,0,0,0,1,-18,-3,MemphisGrizzlies
GregoryJackson,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,MemphisGrizzlies
KennyLofton,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,MemphisGrizzlies
VinceWilliamsJr.,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,MemphisGrizzlies
JacobGilyard,0,0,0,1,0,0,0,0,0,1,0-1,0-0,0.0,0-0,0,0,0,0,0,0,0,0,-1,MemphisGrizzlies
JakeLaRavia,0,0,0,0,0,1,0,0,0,6,0-0,0-1,0.0,0-0,0,0,0,0,0,0,3,-9,-1,MemphisGrizzlies
MemphisGrizzlies,110,44,28,55,14,37,12,20,22,240,28-55,14-37,45.7,12-20,0,10,34,12,9,4,22,-75,119,MemphisGrizzlies
LukaDoncic,35,12,5,10,6,12,7,10,12,40,5-10,6-12,50.0,7-10,70.0,0,12,6,1,1,4,6,41,DallasMavericks
DerrickJones,22,4,3,4,4,6,4,6,0,27,3-4,4-6,70.0,4-6,66.7,0,4,1,0,0,0,12,20,DallasMavericks
TimHardawayJr.,21,5,5,7,3,7,2,2,0,29,5-7,3-7,57.1,2-2,100.0,0,5,1,0,0,1,6,19,DallasMavericks
GrantWilliams,15,3,0,0,4,8,3,4,2,31,0-0,4-8,50.0,3-4,75.0,1,2,1,0,0,1,18,14,DallasMavericks
JoshGreen,12,2,3,6,2,4,0,0,3,34,3-6,2-4,50.0,0-0,0,1,1,1,1,0,0,4,12,DallasMavericks
MaximilianKleber,7,5,1,1,1,3,2,2,2,22,1-1,1-3,50.0,2-2,100.0,1,4,2,1,0,2,7,11,DallasMavericks
JadenHardy,6,0,0,2,2,4,0,0,1,10,0-2,2-4,33.3,0-0,0,0,0,1,0,0,1,-7,2,DallasMavericks
SethCurry,3,2,0,2,1,3,0,0,2,15,0-2,1-3,20.0,0-0,0,0,2,1,1,1,2,14,4,DallasMavericks
DereckLively,2,6,1,2,0,0,0,0,0,14,1-2,0-0,50.0,0-0,0,1,5,0,0,1,5,-2,8,DallasMavericks
DanteExum,2,4,1,3,0,0,0,0,2,6,1-3,0-0,33.3,0-0,0,0,4,0,0,0,0,7,6,DallasMavericks
DwightPowell,0,5,0,0,0,0,0,0,0,12,0-0,0-0,0,0-0,0,2,3,1,0,4,1,10,8,DallasMavericks
DallasMavericks,125,48,19,37,23,47,18,24,24,240,19-37,23-47,50.0,18-24,0,6,42,15,4,7,17,75,145,DallasMavericks
