PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DesmondBane,31,6,6,14,5,12,4,5,7,36,6-14,5-12,42.3,4-5,80.0,0,6,2,1,0,1,-7,27,MemphisGrizzlies
JarenJacksonJr.,21,8,6,6,2,4,3,3,1,33,6-6,2-4,80.0,3-3,100.0,2,6,7,1,0,4,-8,22,MemphisGrizzlies
JaMorant,20,5,6,13,1,3,5,6,8,34,6-13,1-3,43.8,5-6,83.3,0,5,2,0,0,0,15,21,MemphisGrizzlies
ZiaireWilliams,16,1,3,5,3,4,1,2,2,18,3-5,3-4,66.7,1-2,50.0,0,1,2,1,2,2,6,16,MemphisGrizzlies
SantiagoAldama,13,3,2,2,3,5,0,0,2,25,2-2,3-5,71.4,0-0,0,0,3,2,1,0,0,24,15,MemphisGrizzlies
JohnKonchar,6,6,0,0,2,4,0,0,1,21,0-0,2-4,50.0,0-0,0,1,5,0,1,2,1,11,14,MemphisGrizzlies
XavierTillman,5,5,2,3,0,0,1,4,2,21,2-3,0-0,66.7,1-4,25.0,3,2,1,0,1,2,10,8,MemphisGrizzlies
VinceWilliamsJr.,2,4,1,2,0,3,0,0,3,35,1-2,0-3,20.0,0-0,0,1,3,2,3,1,2,14,7,MemphisGrizzlies
BismackBiyombo,2,3,1,4,0,0,0,1,1,17,1-4,0-0,25.0,0-1,0.0,1,2,0,0,1,2,0,3,MemphisGrizzlies
MemphisGrizzlies,116,44,27,49,16,35,14,21,27,240,27-49,16-35,51.2,14-21,0,9,35,18,8,7,14,65,133,MemphisGrizzlies
ObiToppin,22,5,3,5,5,9,1,2,1,28,3-5,5-9,57.1,1-2,50.0,2,3,1,2,0,3,9,22,IndianaPacers
TyreseHaliburton,17,4,5,7,2,12,1,2,14,38,5-7,2-12,36.8,1-2,50.0,0,4,4,0,0,2,1,18,IndianaPacers
MylesTurner,15,6,5,8,0,2,5,5,2,36,5-8,0-2,50.0,5-5,100.0,3,3,4,1,4,5,-2,19,IndianaPacers
BuddyHield,15,6,0,1,5,13,0,0,4,32,0-1,5-13,35.7,0-0,0,2,4,2,2,0,2,4,16,IndianaPacers
AaronNesmith,14,5,1,4,4,8,0,0,0,28,1-4,4-8,41.7,0-0,0,1,4,2,4,3,1,-23,17,IndianaPacers
AndrewNembhard,6,1,0,1,2,3,0,0,1,16,0-1,2-3,50.0,0-0,0,0,1,1,2,0,2,-10,7,IndianaPacers
BennedictMathurin,6,4,3,6,0,4,0,0,3,19,3-6,0-4,30.0,0-0,0,2,2,1,1,0,0,-22,6,IndianaPacers
BruceBrown,4,4,1,3,0,1,2,2,2,28,1-3,0-1,25.0,2-2,100.0,1,3,0,0,1,4,-6,8,IndianaPacers
IsaiahJackson,2,3,1,2,0,0,0,0,0,12,1-2,0-0,50.0,0-0,0,1,2,0,0,1,2,-11,5,IndianaPacers
T.J.McConnell,2,1,1,1,0,0,0,0,1,4,1-1,0-0,100.0,0-0,0,0,1,1,0,0,0,-5,3,IndianaPacers
IndianaPacers,103,44,20,38,18,52,9,11,28,240,20-38,18-52,42.2,9-11,0,14,30,16,12,9,21,-65,121,IndianaPacers
