PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JimmyButler,21,4,6,14,2,5,3,3,3,36,6-14,2-5,42.1,3-3,100.0,3,1,1,2,0,1,1,18,MiamiHeat
TerryRozier,17,7,7,12,0,5,3,3,5,38,7-12,0-5,41.2,3-3,100.0,1,6,2,2,0,4,-4,19,MiamiHeat
BamAdebayo,14,13,5,13,0,0,4,4,3,35,5-13,0-0,38.5,4-4,100.0,4,9,2,3,0,1,-8,23,MiamiHeat
JoshRichardson,14,3,4,5,2,8,0,0,4,33,4-5,2-8,46.2,0-0,0,0,3,0,0,0,2,-8,14,MiamiHeat
CalebMartin,11,4,5,7,0,2,1,2,2,31,5-7,0-2,55.6,1-2,50.0,1,3,0,1,0,3,-7,13,MiamiHeat
JaimeJaquez,7,4,2,8,1,3,0,0,4,26,2-8,1-3,27.3,0-0,0,3,1,3,0,0,2,-9,4,MiamiHeat
KevinLove,6,7,0,0,2,4,0,0,3,15,0-0,2-4,50.0,0-0,0,0,7,2,0,0,1,-2,12,MiamiHeat
HaywoodHighsmith,5,3,1,2,1,3,0,0,0,27,1-2,1-3,40.0,0-0,0,0,3,0,1,0,5,-3,6,MiamiHeat
MiamiHeat,95,45,30,61,8,30,11,12,24,240,30-61,8-30,41.8,11-12,0,12,33,10,9,0,19,-40,109,MiamiHeat
KawhiLeonard,25,11,5,10,3,6,6,6,4,35,5-10,3-6,50.0,6-6,100.0,3,8,3,2,2,2,-6,33,LAClippers
JamesHarden,21,8,2,4,5,9,2,4,11,42,2-4,5-9,53.8,2-4,50.0,0,8,4,1,1,1,10,30,LAClippers
NormanPowell,16,1,4,5,2,7,2,2,1,28,4-5,2-7,50.0,2-2,100.0,0,1,0,0,0,1,9,12,LAClippers
PaulGeorge,15,7,0,3,3,10,6,6,4,33,0-3,3-10,23.1,6-6,100.0,0,7,4,1,1,2,7,14,LAClippers
TeranceMann,7,5,2,3,1,2,0,0,1,20,2-3,1-2,60.0,0-0,0,2,3,0,0,0,1,-1,11,LAClippers
MasonPlumlee,5,9,1,2,0,0,3,4,0,26,1-2,0-0,50.0,3-4,75.0,2,7,0,0,0,0,11,12,LAClippers
AmirCoffey,5,3,1,2,1,1,0,0,0,23,1-2,1-1,66.7,0-0,0,1,2,0,1,1,3,9,9,LAClippers
RussellWestbrook,5,1,1,5,1,4,0,0,2,15,1-5,1-4,22.2,0-0,0,0,1,3,1,0,0,1,-1,LAClippers
IvicaZubac,4,3,2,4,0,0,0,0,0,18,2-4,0-0,50.0,0-0,0,1,2,1,0,0,2,0,4,LAClippers
LAClippers,103,48,18,38,16,39,19,22,23,240,18-38,16-39,44.2,19-22,0,9,39,15,6,5,12,40,124,LAClippers
