PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BamAdebayo,25,11,9,16,0,0,7,7,6,37,9-16,0-0,56.3,7-7,100.0,5,6,1,0,2,1,-6,36,MiamiHeat
JaimeJaquez,21,5,3,4,3,5,6,9,2,34,3-4,3-5,66.7,6-9,66.7,0,5,3,0,0,4,-4,19,MiamiHeat
HaywoodHighsmith,19,5,2,7,5,7,0,0,2,35,2-7,5-7,50.0,0-0,0,2,3,0,1,0,2,-1,20,MiamiHeat
TylerHerro,17,5,6,16,1,5,2,4,6,36,6-16,1-5,33.3,2-4,50.0,0,5,1,3,0,1,9,14,MiamiHeat
NikolaJovic,15,5,2,3,3,5,2,2,4,33,2-3,3-5,62.5,2-2,100.0,0,5,1,1,1,3,13,22,MiamiHeat
KevinLove,12,5,3,4,0,2,6,6,2,20,3-4,0-2,50.0,6-6,100.0,1,4,1,0,0,0,-14,15,MiamiHeat
JoshRichardson,8,1,1,2,2,5,0,0,2,21,1-2,2-5,42.9,0-0,0,0,1,2,1,0,2,-19,6,MiamiHeat
DuncanRobinson,3,1,0,1,1,7,0,0,1,25,0-1,1-7,12.5,0-0,0,0,1,1,2,0,0,-18,-1,MiamiHeat
MiamiHeat,120,40,26,53,15,36,23,28,25,240,26-53,15-36,46.1,23-28,0,9,31,11,8,3,13,-40,131,MiamiHeat
ShaiGilgeous-Alexander,28,2,9,12,2,5,4,5,8,34,9-12,2-5,64.7,4-5,80.0,0,2,3,1,1,3,-3,30,OklahomaCityThunder
ChetHolmgren,23,9,9,10,1,5,2,3,2,33,9-10,1-5,66.7,2-3,66.7,0,9,2,0,3,4,3,29,OklahomaCityThunder
JalenWilliams,19,9,7,11,1,3,2,2,12,35,7-11,1-3,57.1,2-2,100.0,1,8,1,1,0,2,13,34,OklahomaCityThunder
LuguentzDort,14,2,3,6,2,4,2,4,0,26,3-6,2-4,50.0,2-4,50.0,0,2,0,0,0,3,-3,9,OklahomaCityThunder
IsaiahJoe,11,2,1,1,3,6,0,0,0,22,1-1,3-6,57.1,0-0,0,1,1,1,0,0,1,-4,9,OklahomaCityThunder
JoshGiddey,9,7,2,4,1,2,2,2,2,20,2-4,1-2,50.0,2-2,100.0,0,7,2,1,0,0,7,14,OklahomaCityThunder
CasonWallace,8,2,1,1,2,4,0,0,1,18,1-1,2-4,60.0,0-0,0,1,1,1,0,0,2,9,8,OklahomaCityThunder
KenrichWilliams,7,6,2,2,1,2,0,0,2,17,2-2,1-2,75.0,0-0,0,1,5,2,0,0,0,6,12,OklahomaCityThunder
VasilijeMicic,4,1,2,2,0,0,0,0,5,15,2-2,0-0,100.0,0-0,0,0,1,0,1,0,1,16,11,OklahomaCityThunder
JaylinWilliams,3,2,0,0,1,2,0,0,4,12,0-0,1-2,50.0,0-0,0,0,2,0,0,0,2,3,8,OklahomaCityThunder
AaronWiggins,2,0,1,4,0,0,0,0,0,8,1-4,0-0,25.0,0-0,0,0,0,0,0,0,1,-7,-1,OklahomaCityThunder
OklahomaCityThunder,128,45,37,53,14,33,12,16,36,240,37-53,14-33,59.3,12-16,0,4,41,13,4,4,19,40,163,OklahomaCityThunder
