PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JonasValanciunas,24,12,9,11,0,1,6,7,1,31,75.0,85.7,2,10,1,1,2,3,15,35,NewOrleansPelicans
C.J.McCollum,19,3,7,10,1,8,2,2,8,38,44.4,100.0,1,2,1,2,1,1,16,22,NewOrleansPelicans
TreyMurphyIII,18,3,3,3,4,10,0,0,1,22,53.8,0.0,1,2,0,1,1,0,9,18,NewOrleansPelicans
HerbertJones,17,4,3,4,3,4,2,2,0,31,75.0,100.0,2,2,1,3,1,1,14,22,NewOrleansPelicans
BrandonIngram,14,5,3,10,0,4,8,8,7,34,21.4,100.0,0,5,4,1,0,3,10,12,NewOrleansPelicans
ZionWilliamson,12,4,4,9,0,0,4,5,7,26,44.4,80.0,1,3,1,0,1,2,12,17,NewOrleansPelicans
NajiMarshall,10,6,2,3,1,1,3,3,0,19,75.0,100.0,2,4,2,0,0,1,5,13,NewOrleansPelicans
JordanHawkins,3,0,0,1,1,2,0,0,0,15,33.3,0.0,0,0,1,0,0,1,-9,0,NewOrleansPelicans
CodyZeller,2,3,0,0,0,0,2,2,1,13,0.0,100.0,1,2,0,0,0,1,2,6,NewOrleansPelicans
DysonDaniels,2,2,1,3,0,1,0,0,1,12,25.0,0.0,0,2,0,0,0,2,1,2,NewOrleansPelicans
NewOrleansPelicans,121,42,32,54,10,31,27,29,26,240,49.4,0.0,10,32,11,8,6,15,75,147,NewOrleansPelicans
DevinVassell,14,0,3,5,2,7,2,2,1,27,41.7,100.0,0,0,3,2,0,2,-16,7,SanAntonioSpurs
JeremySochan,13,3,2,9,2,4,3,4,4,31,30.8,75.0,0,3,2,0,0,2,-9,8,SanAntonioSpurs
JulianChampagnie,12,5,1,1,3,6,1,1,3,22,57.1,100.0,1,4,3,0,0,3,-7,14,SanAntonioSpurs
ZachCollins,12,5,2,6,1,5,5,6,3,24,27.3,83.3,3,2,3,2,1,2,-18,11,SanAntonioSpurs
KeldonJohnson,11,7,3,4,1,3,2,2,3,33,57.1,100.0,1,6,2,1,0,2,-7,17,SanAntonioSpurs
CediOsman,11,2,2,4,2,5,1,2,5,27,44.4,50.0,0,2,0,0,1,3,-17,13,SanAntonioSpurs
TreJones,10,3,2,5,2,4,0,0,3,23,44.4,0.0,1,2,2,0,0,1,-10,9,SanAntonioSpurs
MalakiBranham,10,2,2,4,2,3,0,0,0,22,57.1,0.0,0,2,3,0,0,1,2,6,SanAntonioSpurs
CharlesBassey,8,11,4,4,0,0,0,0,3,19,100.0,0.0,1,10,1,0,3,4,5,24,SanAntonioSpurs
SandroMamukelashvili,3,1,0,1,1,2,0,0,1,6,33.3,0.0,1,0,0,0,0,1,0,3,SanAntonioSpurs
DominickBarlow,2,0,1,1,0,0,0,0,0,3,100.0,0.0,0,0,0,0,0,0,1,2,SanAntonioSpurs
BlakeWesley,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0,0,0,0,0,0,1,2,SanAntonioSpurs
SanAntonioSpurs,106,39,22,44,16,39,14,17,28,240,45.8,0.0,8,31,19,5,5,21,-75,116,SanAntonioSpurs
