PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenBrunson,36,6,14,25,1,6,5,6,10,45,14-25,1-6,48.4,5-6,83.3,2,4,3,0,0,1,-5,32,NewYorkKnicks
DonteDiVincenzo,26,6,4,6,6,16,0,0,4,40,4-6,6-16,45.5,0-0,0,1,5,0,0,1,6,1,25,NewYorkKnicks
JoshHart,12,11,3,10,2,6,0,0,4,42,3-10,2-6,31.3,0-0,0,4,7,2,1,0,3,-12,15,NewYorkKnicks
PreciousAchiuwa,10,8,4,8,0,3,2,2,0,42,4-8,0-3,36.4,2-2,100.0,4,4,1,0,1,2,-10,11,NewYorkKnicks
MilesMcBride,10,2,2,4,1,4,3,4,1,20,2-4,1-4,37.5,3-4,75.0,0,2,1,0,0,2,-3,6,NewYorkKnicks
IsaiahHartenstein,6,15,2,9,0,0,2,2,2,33,2-9,0-0,22.2,2-2,100.0,6,9,0,0,2,5,-3,18,NewYorkKnicks
MalachiFlynn,3,0,1,2,0,0,1,1,0,3,1-2,0-0,50.0,1-1,100.0,0,0,0,0,0,0,-3,2,NewYorkKnicks
JerichoSims,2,3,1,1,0,0,0,0,0,15,1-1,0-0,100.0,0-0,0,1,2,0,0,0,1,-5,5,NewYorkKnicks
NewYorkKnicks,105,52,31,65,10,35,13,15,21,240,31-65,10-35,41.0,13-15,0,18,34,7,1,4,20,-40,114,NewYorkKnicks
LeBronJames,24,5,8,14,2,5,2,2,5,40,8-14,2-5,52.6,2-2,100.0,1,4,1,2,1,1,11,27,LosAngelesLakers
AustinReaves,22,6,3,7,3,6,7,8,7,39,3-7,3-6,46.2,7-8,87.5,0,6,1,0,2,3,8,28,LosAngelesLakers
TaureanPrince,16,2,3,4,3,6,1,1,2,33,3-4,3-6,60.0,1-1,100.0,0,2,2,0,1,3,7,15,LosAngelesLakers
D&#039;AngeloRussell,16,1,3,7,2,7,4,4,4,27,3-7,2-7,35.7,4-4,100.0,0,1,0,0,1,4,-6,13,LosAngelesLakers
AnthonyDavis,12,18,4,11,0,1,4,4,5,36,4-11,0-1,33.3,4-4,100.0,2,16,0,1,4,2,6,32,LosAngelesLakers
JaxsonHayes,10,1,3,3,0,0,4,5,3,13,3-3,0-0,100.0,4-5,80.0,0,1,0,1,0,0,1,14,LosAngelesLakers
RuiHachimura,7,4,3,3,0,2,1,2,1,19,3-3,0-2,60.0,1-2,50.0,0,4,1,0,0,2,3,8,LosAngelesLakers
MaxChristie,6,1,0,0,2,2,0,1,1,26,0-0,2-2,100.0,0-1,0.0,0,1,0,0,2,1,12,9,LosAngelesLakers
ChristianWood,0,0,0,0,0,2,0,0,0,7,0-0,0-2,0.0,0-0,0,0,0,0,0,0,0,-2,-2,LosAngelesLakers
LosAngelesLakers,113,45,27,49,12,31,23,27,28,240,27-49,12-31,48.8,23-27,0,4,41,6,4,11,16,40,144,LosAngelesLakers
