PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenBrunson,36,3,12,21,3,5,3,3,7,37,12-21,3-5,57.7,3-3,100.0,0,3,3,0,1,2,-16,33,NewYorkKnicks
JuliusRandle,26,8,8,15,0,2,10,10,1,34,8-15,0-2,47.1,10-10,100.0,1,7,3,1,0,3,-3,24,NewYorkKnicks
R.J.Barrett,13,7,3,12,2,5,1,2,1,29,3-12,2-5,29.4,1-2,50.0,1,6,1,0,1,1,-8,8,NewYorkKnicks
IsaiahHartenstein,12,13,4,5,0,0,4,4,1,33,4-5,0-0,80.0,4-4,100.0,7,6,1,1,0,4,-14,25,NewYorkKnicks
DonteDiVincenzo,11,2,1,1,3,6,0,0,2,24,1-1,3-6,57.1,0-0,0,1,1,1,1,0,3,-2,12,NewYorkKnicks
ImmanuelQuickley,7,2,1,3,1,5,2,2,1,22,1-3,1-5,25.0,2-2,100.0,0,2,1,0,0,1,-11,3,NewYorkKnicks
QuentinGrimes,2,2,1,2,0,1,0,0,0,16,1-2,0-1,33.3,0-0,0,0,2,0,1,0,2,-5,3,NewYorkKnicks
TajGibson,2,1,1,1,0,1,0,0,1,15,1-1,0-1,50.0,0-0,0,1,0,0,0,0,2,-5,3,NewYorkKnicks
JoshHart,2,2,1,3,0,3,0,0,3,26,1-3,0-3,16.7,0-0,0,0,2,1,1,0,3,-19,2,NewYorkKnicks
MilesMcBride,0,1,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,1,0,0,0,0,-3,1,NewYorkKnicks
JacobToppin,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,NewYorkKnicks
RyanArcidiacono,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,1,-3,0,NewYorkKnicks
DmytroSkapintsev,0,0,0,1,0,0,0,0,0,1,0-1,0-0,0.0,0-0,0,0,0,0,0,0,0,-3,-1,NewYorkKnicks
CharlesBrown,0,0,0,0,0,1,0,0,0,1,0-0,0-1,0.0,0-0,0,0,0,0,0,0,0,-3,-1,NewYorkKnicks
NewYorkKnicks,111,41,32,64,9,29,20,21,17,240,32-64,9-29,44.1,20-21,0,11,30,11,5,2,22,-95,112,NewYorkKnicks
GiannisAntetokounmpo,28,7,11,17,0,0,6,8,7,32,11-17,0-0,64.7,6-8,75.0,2,5,5,1,1,4,3,31,MilwaukeeBucks
BobbyPortis,23,11,6,10,3,4,2,2,1,27,6-10,3-4,64.3,2-2,100.0,2,9,2,2,0,4,17,30,MilwaukeeBucks
KhrisMiddleton,20,5,7,12,2,4,0,0,5,33,7-12,2-4,56.3,0-0,0,1,4,3,0,0,4,17,20,MilwaukeeBucks
DamianLillard,19,9,3,9,3,7,4,5,7,34,3-9,3-7,37.5,4-5,80.0,3,6,3,1,0,3,3,22,MilwaukeeBucks
MalikBeasley,19,6,2,4,5,9,0,0,1,31,2-4,5-9,53.8,0-0,0,1,5,0,0,0,3,19,20,MilwaukeeBucks
PatConnaughton,8,8,1,1,2,5,0,0,0,22,1-1,2-5,50.0,0-0,0,0,8,0,0,0,0,7,13,MilwaukeeBucks
CameronPayne,8,1,1,1,1,1,3,4,1,14,1-1,1-1,100.0,3-4,75.0,0,1,0,0,0,0,16,9,MilwaukeeBucks
BrookLopez,5,3,1,5,0,2,3,4,1,35,1-5,0-2,14.3,3-4,75.0,1,2,0,0,1,3,15,3,MilwaukeeBucks
AndreJacksonJr.,0,2,0,0,0,0,0,0,2,11,0-0,0-0,0,0-0,0,2,0,1,0,0,1,-2,3,MilwaukeeBucks
MarJonBeauchamp,0,1,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,1,0,0,0,0,0,1,MilwaukeeBucks
A.J.Green,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,MilwaukeeBucks
ChrisLivingston,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,MilwaukeeBucks
MilwaukeeBucks,130,53,32,59,16,32,18,23,25,240,32-59,16-32,52.7,18-23,0,12,41,14,4,2,22,95,152,MilwaukeeBucks
