PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,32,9,10,20,1,3,9,9,4,33,47.8,100.0,1,8,5,3,0,2,17,31,OklahomaCityThunder
JoshGiddey,21,7,9,16,0,2,3,5,3,28,50.0,60.0,3,4,1,1,1,1,10,21,OklahomaCityThunder
JalenWilliams,19,7,7,11,1,3,2,2,6,31,57.1,100.0,0,7,2,1,1,2,13,26,OklahomaCityThunder
ChetHolmgren,14,4,0,0,4,5,2,2,3,24,80.0,100.0,0,4,3,2,4,5,9,23,OklahomaCityThunder
OusmaneDieng,10,1,2,2,2,2,0,1,2,18,100.0,0.0,1,0,1,0,0,0,-2,11,OklahomaCityThunder
IsaiahJoe,9,0,0,1,3,5,0,0,0,20,50.0,0.0,0,0,1,0,0,1,2,5,OklahomaCityThunder
LuguentzDort,7,2,2,3,1,4,0,0,0,26,42.9,0.0,0,2,0,2,1,1,12,8,OklahomaCityThunder
DavisBertans,6,1,0,0,1,2,3,3,0,13,50.0,100.0,0,1,0,0,0,1,8,6,OklahomaCityThunder
CasonWallace,4,4,1,1,0,1,2,2,2,22,50.0,100.0,0,4,1,0,0,2,-2,8,OklahomaCityThunder
OlivierSarr,2,9,0,0,0,0,2,4,1,21,0.0,50.0,1,8,0,0,3,2,9,13,OklahomaCityThunder
TreMann,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-8,0,OklahomaCityThunder
AleksejPokusevski,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0,0,1,0,0,2,-8,-3,OklahomaCityThunder
OklahomaCityThunder,124,44,31,54,13,29,23,28,21,240,53.0,0.0,6,38,15,9,10,19,60,149,OklahomaCityThunder
JadenIvey,20,2,3,7,4,6,2,2,3,19,53.8,100.0,1,1,1,1,1,5,-4,20,DetroitPistons
CadeCunningham,17,2,2,8,3,7,4,5,5,35,33.3,80.0,0,2,7,0,0,1,-14,6,DetroitPistons
AusarThompson,15,10,6,12,0,2,3,4,3,31,42.9,75.0,7,3,3,1,3,4,-13,20,DetroitPistons
MarvinBagley,13,4,3,4,0,0,7,8,1,24,75.0,87.5,1,3,0,0,0,1,0,16,DetroitPistons
IsaiahStewart,12,7,2,6,2,3,2,2,1,31,44.4,100.0,0,7,2,0,0,2,-7,13,DetroitPistons
AlecBurks,11,2,1,5,3,4,0,0,7,21,44.4,0.0,1,1,0,0,0,3,-9,15,DetroitPistons
KillianHayes,10,4,3,7,1,4,1,2,7,27,36.4,50.0,0,4,1,1,1,3,-15,14,DetroitPistons
JalenDuren,8,7,4,11,0,0,0,1,1,23,36.4,0.0,3,4,1,1,0,3,-8,8,DetroitPistons
MarcusSasser,6,2,0,2,2,2,0,0,2,14,50.0,0.0,0,2,0,1,0,1,-1,9,DetroitPistons
JaredRhoden,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0,1,0,0,0,0,8,1,DetroitPistons
StanleyUmude,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,1,0,0,8,1,DetroitPistons
JoeHarris,0,0,0,1,0,0,0,0,1,10,0.0,0.0,0,0,1,0,0,2,-5,-1,DetroitPistons
DetroitPistons,112,41,24,63,15,28,19,24,31,240,42.9,0.0,13,28,16,6,5,25,-60,122,DetroitPistons
