PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TyreseMaxey,23,3,5,15,3,8,4,6,5,31,5-15,3-8,34.8,4-6,66.7,1,2,1,3,0,2,-15,16,Philadelphia76ers
TerquavionSmith,17,0,1,1,5,6,0,1,1,9,1-1,5-6,85.7,0-1,0.0,0,0,0,0,0,2,8,16,Philadelphia76ers
KellyOubre,16,4,3,9,0,5,10,10,0,25,3-9,0-5,21.4,10-10,100.0,1,3,0,1,0,3,-11,10,Philadelphia76ers
JadenSpringer,11,5,4,6,0,1,3,3,3,26,4-6,0-1,57.1,3-3,100.0,3,2,1,1,0,1,-7,16,Philadelphia76ers
KenyonMartin,11,4,4,7,1,2,0,0,4,21,4-7,1-2,55.6,0-0,0,0,4,0,0,0,1,1,15,Philadelphia76ers
FurkanKorkmaz,10,4,2,3,1,1,3,4,1,27,2-3,1-1,75.0,3-4,75.0,0,4,0,1,0,1,-8,14,Philadelphia76ers
PatrickBeverley,9,3,3,5,1,3,0,0,9,20,3-5,1-3,50.0,0-0,0,0,3,2,0,1,1,-15,16,Philadelphia76ers
DanuelHouse,8,3,4,5,0,1,0,0,1,20,4-5,0-1,66.7,0-0,0,0,3,0,0,0,2,-6,10,Philadelphia76ers
MohamedBamba,5,6,2,4,0,0,1,2,0,16,2-4,0-0,50.0,1-2,50.0,3,3,0,0,0,1,-6,8,Philadelphia76ers
RickyCouncilIV,5,5,1,3,1,1,0,1,1,12,1-3,1-1,50.0,0-1,0.0,1,4,0,0,0,0,8,8,Philadelphia76ers
MarcusMorris,4,3,2,4,0,1,0,0,1,19,2-4,0-1,40.0,0-0,0,0,3,1,1,0,1,-9,5,Philadelphia76ers
PaulReed,2,4,1,5,0,0,0,0,0,15,1-5,0-0,20.0,0-0,0,2,2,0,0,0,2,-15,2,Philadelphia76ers
Philadelphia76ers,121,45,32,67,12,29,21,27,26,240,32-67,12-29,45.8,21-27,0,11,34,7,7,1,17,-75,136,Philadelphia76ers
CamThomas,40,3,9,15,5,11,7,8,5,36,9-15,5-11,53.8,7-8,87.5,1,2,3,1,0,3,23,33,BrooklynNets
MikalBridges,23,3,2,4,5,12,4,5,4,32,2-4,5-12,43.8,4-5,80.0,1,2,1,0,0,1,25,19,BrooklynNets
LonnieWalker,20,2,5,8,3,8,1,1,3,30,5-8,3-8,50.0,1-1,100.0,1,1,0,0,0,3,12,17,BrooklynNets
CameronJohnson,13,7,3,3,2,9,1,1,3,33,3-3,2-9,41.7,1-1,100.0,2,5,3,2,1,0,-1,16,BrooklynNets
NicClaxton,12,15,4,4,0,0,4,6,4,26,4-4,0-0,100.0,4-6,66.7,3,12,1,0,4,1,18,32,BrooklynNets
TrendonWatford,9,3,3,4,1,1,0,0,1,9,3-4,1-1,80.0,0-0,0,1,2,0,0,0,0,-8,12,BrooklynNets
RoyceO&#039;Neale,8,4,1,1,2,4,0,0,2,26,1-1,2-4,60.0,0-0,0,1,3,1,0,0,2,-5,11,BrooklynNets
HarryGiles,8,4,2,5,1,1,1,2,2,8,2-5,1-1,50.0,1-2,50.0,2,2,0,0,0,3,-12,10,BrooklynNets
SpencerDinwiddie,3,3,0,0,1,5,0,0,6,26,0-0,1-5,20.0,0-0,0,0,3,0,0,0,3,16,8,BrooklynNets
BenSimmons,0,9,0,0,0,0,0,0,5,14,0-0,0-0,0,0-0,0,1,8,1,0,0,4,7,13,BrooklynNets
BrooklynNets,136,55,29,44,20,51,18,23,35,240,29-44,20-51,51.6,18-23,0,14,41,11,3,5,20,75,171,BrooklynNets
