PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,32,13,8,18,1,3,13,16,5,41,8-18,1-3,42.9,13-16,81.3,3,10,6,2,5,6,3,36,Philadelphia76ers
TyreseMaxey,30,4,8,16,3,12,5,7,6,47,8-16,3-12,39.3,5-7,71.4,0,4,1,1,0,2,-8,21,Philadelphia76ers
TobiasHarris,23,2,4,8,3,5,6,6,2,43,4-8,3-5,53.8,6-6,100.0,0,2,0,2,0,3,-6,23,Philadelphia76ers
De&#039;AnthonyMelton,13,6,4,8,1,6,2,3,3,41,4-8,1-6,35.7,2-3,66.7,4,2,1,2,0,3,1,13,Philadelphia76ers
DanuelHouse,7,0,1,3,1,2,2,2,0,12,1-3,1-2,40.0,2-2,100.0,0,0,1,0,0,0,3,3,Philadelphia76ers
NicolasBatum,5,4,1,1,1,4,0,0,2,27,1-1,1-4,40.0,0-0,0,0,4,2,0,0,5,-3,6,Philadelphia76ers
PaulReed,4,3,2,4,0,0,0,0,0,9,2-4,0-0,50.0,0-0,0,2,1,0,1,0,1,-5,6,Philadelphia76ers
RobertCovington,3,7,0,1,1,2,0,0,1,14,0-1,1-2,33.3,0-0,0,3,4,1,2,2,0,-3,12,Philadelphia76ers
PatrickBeverley,2,4,1,1,0,1,0,0,0,21,1-1,0-1,50.0,0-0,0,1,3,1,2,1,3,11,7,Philadelphia76ers
MarcusMorris,0,0,0,0,0,0,0,0,0,3,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-1,0,Philadelphia76ers
JadenSpringer,0,1,0,1,0,0,0,0,0,7,0-1,0-0,0.0,0-0,0,1,0,1,0,0,2,-7,-1,Philadelphia76ers
Philadelphia76ers,119,46,29,61,11,35,28,34,19,265,29-61,11-35,41.7,28-34,0,15,31,14,12,8,25,-15,126,Philadelphia76ers
DariusGarland,32,5,8,19,2,6,10,11,8,43,8-19,2-6,40.0,10-11,90.9,1,4,4,3,0,1,4,28,ClevelandCavaliers
JarrettAllen,26,13,12,20,0,0,2,2,3,35,12-20,0-0,60.0,2-2,100.0,6,7,2,0,0,4,-6,32,ClevelandCavaliers
MaxStrus,20,5,2,5,5,10,1,2,6,44,2-5,5-10,46.7,1-2,50.0,2,3,2,2,1,5,-4,23,ClevelandCavaliers
EvanMobley,18,12,6,10,0,0,6,6,3,38,6-10,0-0,60.0,6-6,100.0,0,12,4,0,1,4,-4,26,ClevelandCavaliers
CraigPorter,12,3,5,9,0,0,2,2,9,27,5-9,0-0,55.6,2-2,100.0,0,3,1,0,1,0,21,20,ClevelandCavaliers
GeorgesNiang,12,7,3,5,2,4,0,0,0,26,3-5,2-4,55.6,0-0,0,0,7,1,0,0,2,12,14,ClevelandCavaliers
TristanThompson,2,3,1,1,0,0,0,2,2,15,1-1,0-0,100.0,0-2,0.0,1,2,0,1,1,0,4,7,ClevelandCavaliers
DeanWade,0,8,0,0,0,4,0,0,2,31,0-0,0-4,0.0,0-0,0,4,4,1,3,0,5,-12,8,ClevelandCavaliers
SamMerrill,0,0,0,0,0,1,0,0,0,6,0-0,0-1,0.0,0-0,0,0,0,0,0,0,0,0,-1,ClevelandCavaliers
ClevelandCavaliers,122,61,37,69,9,25,21,25,33,265,37-69,9-25,48.9,21-25,0,16,45,15,9,4,21,15,157,ClevelandCavaliers
