PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,28,13,8,20,0,2,12,13,7,35,8-20,0-2,36.4,12-13,92.3,5,8,4,0,1,2,22,30,Philadelphia76ers
TobiasHarris,23,7,8,11,2,6,1,2,3,40,8-11,2-6,58.8,1-2,50.0,0,7,2,3,0,1,6,26,Philadelphia76ers
KellyOubre,23,5,3,7,5,6,2,3,0,30,3-7,5-6,61.5,2-3,66.7,3,2,0,1,0,3,8,23,Philadelphia76ers
TyreseMaxey,18,1,7,13,0,3,4,4,4,40,7-13,0-3,43.8,4-4,100.0,0,1,1,2,0,1,6,15,Philadelphia76ers
FurkanKorkmaz,10,1,3,5,1,2,1,1,0,22,3-5,1-2,57.1,1-1,100.0,0,1,1,3,0,0,16,10,Philadelphia76ers
PaulReed,6,5,3,4,0,0,0,0,0,12,3-4,0-0,75.0,0-0,0,3,2,1,0,1,2,-5,10,Philadelphia76ers
De&#039;AnthonyMelton,4,5,0,3,1,3,1,2,5,21,0-3,1-3,16.7,1-2,50.0,0,5,1,1,0,4,10,8,Philadelphia76ers
PatrickBeverley,2,5,1,3,0,3,0,0,1,28,1-3,0-3,16.7,0-0,0,3,2,2,2,1,3,10,4,Philadelphia76ers
JadenSpringer,0,2,0,1,0,0,0,0,1,9,0-1,0-0,0.0,0-0,0,1,1,1,0,0,1,8,1,Philadelphia76ers
MohamedBamba,0,2,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,2,1,0,0,1,-2,1,Philadelphia76ers
RobertCovington,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-2,0,Philadelphia76ers
KenyonMartin,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,1,-2,0,Philadelphia76ers
Philadelphia76ers,114,46,33,67,9,25,21,25,21,240,33-67,9-25,45.7,21-25,0,15,31,14,12,3,19,75,128,Philadelphia76ers
ScottieBarnes,24,8,7,9,2,7,4,4,8,35,7-9,2-7,56.3,4-4,100.0,2,6,1,0,0,4,-11,32,TorontoRaptors
OguguaAnunoby,16,4,5,8,2,4,0,0,1,33,5-8,2-4,58.3,0-0,0,1,3,3,0,1,2,5,14,TorontoRaptors
DennisSchroder,13,3,3,7,1,2,4,6,10,31,3-7,1-2,44.4,4-6,66.7,0,3,3,1,0,0,-7,17,TorontoRaptors
PascalSiakam,10,3,5,8,0,3,0,0,6,33,5-8,0-3,45.5,0-0,0,1,2,2,0,0,5,-14,11,TorontoRaptors
JakobPoeltl,9,9,4,8,0,0,1,1,2,28,4-8,0-0,50.0,1-1,100.0,2,7,4,0,1,2,-9,13,TorontoRaptors
GaryTrentJr.,8,5,0,3,2,5,2,4,0,23,0-3,2-5,25.0,2-4,50.0,0,5,3,1,0,1,-15,3,TorontoRaptors
ChrisBoucher,6,4,2,2,0,2,2,2,0,13,2-2,0-2,50.0,2-2,100.0,2,2,1,0,1,3,-5,8,TorontoRaptors
MalachiFlynn,6,3,0,2,2,3,0,0,1,17,0-2,2-3,40.0,0-0,0,1,2,1,2,0,2,-8,8,TorontoRaptors
JalenMcDaniels,5,1,1,1,1,2,0,0,0,9,1-1,1-2,66.7,0-0,0,0,1,0,0,0,0,4,5,TorontoRaptors
GarrettTemple,2,0,1,1,0,0,0,0,0,2,1-1,0-0,100.0,0-0,0,0,0,0,0,0,0,1,2,TorontoRaptors
ThaddeusYoung,0,1,0,0,0,0,0,2,1,2,0-0,0-0,0,0-2,0.0,0,1,0,0,0,0,1,0,TorontoRaptors
GradeyDick,0,0,0,2,0,0,0,0,1,14,0-2,0-0,0.0,0-0,0,0,0,1,0,0,1,-17,-2,TorontoRaptors
TorontoRaptors,99,41,28,51,10,28,13,19,30,240,28-51,10-28,48.1,13-19,0,9,32,19,4,3,20,-75,111,TorontoRaptors
