PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,48,11,17,23,0,2,14,14,6,31,17-23,0-2,68.0,14-14,100.0,2,9,1,1,1,2,15,58,Philadelphia76ers
TyreseMaxey,22,1,6,7,3,9,1,1,11,32,6-7,3-9,56.3,1-1,100.0,0,1,0,1,1,2,9,29,Philadelphia76ers
TobiasHarris,18,5,6,9,0,2,6,6,5,31,6-9,0-2,54.5,6-6,100.0,1,4,2,1,0,1,9,22,Philadelphia76ers
De&#039;AnthonyMelton,14,3,1,5,4,5,0,0,4,26,1-5,4-5,50.0,0-0,0,0,3,1,1,0,1,2,16,Philadelphia76ers
NicolasBatum,11,2,1,1,3,4,0,0,0,17,1-1,3-4,80.0,0-0,0,0,2,0,1,0,1,30,13,Philadelphia76ers
RobertCovington,7,0,1,1,1,1,2,2,0,4,1-1,1-1,100.0,2-2,100.0,0,0,0,3,1,2,0,11,Philadelphia76ers
PatrickBeverley,6,4,1,1,1,2,1,1,5,12,1-1,1-2,66.7,1-1,100.0,2,2,1,1,1,0,27,15,Philadelphia76ers
PaulReed,6,6,3,3,0,0,0,0,2,14,3-3,0-0,100.0,0-0,0,2,4,1,1,0,1,9,14,Philadelphia76ers
MarcusMorris,3,1,1,2,0,0,1,1,0,6,1-2,0-0,50.0,1-1,100.0,0,1,0,0,1,0,7,4,Philadelphia76ers
KellyOubre,3,5,1,3,0,2,1,2,1,27,1-3,0-2,20.0,1-2,50.0,1,4,3,1,1,2,-6,3,Philadelphia76ers
DanuelHouse,3,0,1,1,0,1,1,1,0,7,1-1,0-1,50.0,1-1,100.0,0,0,2,0,0,0,-9,0,Philadelphia76ers
MohamedBamba,2,2,0,0,0,0,2,2,0,4,0-0,0-0,0,2-2,100.0,0,2,2,0,1,1,-6,3,Philadelphia76ers
JadenSpringer,2,1,0,3,0,1,2,4,0,12,0-3,0-1,0.0,2-4,50.0,1,0,1,1,0,1,4,-3,Philadelphia76ers
FurkanKorkmaz,1,3,0,0,0,2,1,2,2,14,0-0,0-2,0.0,1-2,50.0,1,2,1,0,0,1,5,2,Philadelphia76ers
KenyonMartin,0,1,0,1,0,0,0,0,1,4,0-1,0-0,0.0,0-0,0,0,1,0,0,0,0,-6,1,Philadelphia76ers
Philadelphia76ers,146,45,39,60,12,31,32,36,37,240,39-60,12-31,56.0,32-36,0,10,35,15,12,7,15,90,188,Philadelphia76ers
KyleKuzma,28,6,8,15,4,5,0,1,4,30,8-15,4-5,60.0,0-1,0.0,2,4,2,0,1,2,-4,28,WashingtonWizards
JordanPoole,23,1,4,6,4,9,3,3,6,31,4-6,4-9,53.3,3-3,100.0,0,1,2,0,1,4,-4,22,WashingtonWizards
DeniAvdija,16,5,3,4,2,4,4,4,6,28,3-4,2-4,62.5,4-4,100.0,1,4,1,1,0,1,-10,24,WashingtonWizards
DanielGafford,12,7,6,7,0,0,0,0,3,30,6-7,0-0,85.7,0-0,0,3,4,4,0,5,5,-4,22,WashingtonWizards
TyusJones,12,1,3,9,2,4,0,0,6,33,3-9,2-4,38.5,0-0,0,0,1,0,2,0,2,-4,13,WashingtonWizards
BilalCoulibaly,10,3,2,4,1,3,3,3,0,19,2-4,1-3,42.9,3-3,100.0,0,3,0,0,1,3,-15,10,WashingtonWizards
RyanRollins,6,5,3,4,0,1,0,0,3,10,3-4,0-1,60.0,0-0,0,1,4,5,2,0,2,1,9,WashingtonWizards
AnthonyGill,5,1,2,2,0,1,1,2,0,8,2-2,0-1,66.7,1-2,50.0,1,0,0,1,2,0,6,7,WashingtonWizards
EugeneOmoruyi,4,4,0,0,1,2,1,2,2,11,0-0,1-2,50.0,1-2,50.0,0,4,3,0,0,4,-2,5,WashingtonWizards
DelonWright,4,0,2,2,0,1,0,0,0,5,2-2,0-1,66.7,0-0,0,0,0,0,0,0,0,-15,3,WashingtonWizards
JonathanDavis,4,3,2,8,0,0,0,0,1,14,2-8,0-0,25.0,0-0,0,2,1,0,0,0,0,-6,2,WashingtonWizards
CoreyKispert,3,1,0,0,0,2,3,4,0,14,0-0,0-2,0.0,3-4,75.0,0,1,2,0,0,2,-21,-1,WashingtonWizards
DaniloGallinari,1,1,0,0,0,2,1,1,0,4,0-0,0-2,0.0,1-1,100.0,0,1,0,0,0,0,-9,0,WashingtonWizards
MikeMuscala,0,0,0,1,0,0,0,0,0,3,0-1,0-0,0.0,0-0,0,0,0,0,0,0,1,-3,-1,WashingtonWizards
WashingtonWizards,128,38,35,62,14,34,16,20,31,240,35-62,14-34,51.0,16-20,0,10,28,19,6,10,26,-90,143,WashingtonWizards
