PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DevinBooker,32,1,10,15,2,6,6,10,4,38,10-15,2-6,57.1,6-10,60.0,0,1,1,0,0,3,5,23,PhoenixSuns
KevinDurant,28,10,10,16,1,5,5,7,1,39,10-16,1-5,52.4,5-7,71.4,0,10,5,1,2,3,8,25,PhoenixSuns
BradleyBeal,25,10,8,14,2,8,3,5,3,38,8-14,2-8,45.5,3-5,60.0,2,8,4,3,0,3,9,23,PhoenixSuns
JusufNurkic,10,10,5,8,0,1,0,1,4,32,5-8,0-1,55.6,0-1,0.0,5,5,2,2,0,4,10,19,PhoenixSuns
GraysonAllen,8,3,0,0,2,4,2,2,3,34,0-0,2-4,50.0,2-2,100.0,0,3,0,1,1,2,2,14,PhoenixSuns
BolBol,4,6,2,2,0,1,0,0,1,17,2-2,0-1,66.7,0-0,0,0,6,1,0,1,2,8,10,PhoenixSuns
EricGordon,3,4,0,1,1,3,0,0,1,22,0-1,1-3,25.0,0-0,0,0,4,0,0,0,2,17,5,PhoenixSuns
DrewEubanks,2,5,1,3,0,0,0,0,0,16,1-3,0-0,33.3,0-0,0,1,4,0,1,1,0,-2,7,PhoenixSuns
JordanGoodwin,2,0,0,0,0,0,2,2,0,1,0-0,0-0,0,2-2,100.0,0,0,0,0,0,0,-3,2,PhoenixSuns
YutaWatanabe,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-3,0,PhoenixSuns
JoshOkogie,0,0,0,0,0,0,0,0,0,4,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-11,0,PhoenixSuns
PhoenixSuns,114,49,36,59,8,28,18,27,17,240,36-59,8-28,50.6,18-27,0,8,41,13,8,5,19,40,128,PhoenixSuns
GiannisAntetokounmpo,34,10,12,21,1,3,7,13,6,39,12-21,1-3,54.2,7-13,53.8,4,6,5,0,0,5,1,28,MilwaukeeBucks
MalikBeasley,22,4,1,3,6,14,2,2,2,36,1-3,6-14,41.2,2-2,100.0,2,2,3,0,0,1,0,15,MilwaukeeBucks
PatConnaughton,12,6,1,1,3,5,1,2,6,32,1-1,3-5,66.7,1-2,50.0,0,6,0,0,0,4,-15,21,MilwaukeeBucks
CameronPayne,11,4,3,6,1,4,2,4,3,23,3-6,1-4,40.0,2-4,50.0,0,4,1,2,0,2,-3,11,MilwaukeeBucks
JaeCrowder,10,6,4,5,0,4,2,2,3,40,4-5,0-4,44.4,2-2,100.0,0,6,1,2,1,4,-8,16,MilwaukeeBucks
KhrisMiddleton,6,3,1,2,1,1,1,2,1,8,1-2,1-1,66.7,1-2,50.0,0,3,1,1,0,1,-1,8,MilwaukeeBucks
RobinLopez,6,1,3,7,0,1,0,0,0,18,3-7,0-1,37.5,0-0,0,1,0,0,1,2,2,-13,5,MilwaukeeBucks
BobbyPortis,5,9,1,5,1,4,0,0,2,31,1-5,1-4,22.2,0-0,0,3,6,1,4,1,1,3,13,MilwaukeeBucks
A.J.Green,0,1,0,0,0,4,0,0,0,13,0-0,0-4,0.0,0-0,0,0,1,0,0,0,1,-4,-3,MilwaukeeBucks
MilwaukeeBucks,106,44,26,50,13,40,15,25,23,240,26-50,13-40,43.3,15-25,0,10,34,12,10,4,21,-40,114,MilwaukeeBucks
