PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KevinDurant,26,2,11,16,1,3,1,2,7,37,11-16,1-3,63.2,1-2,50.0,0,2,5,2,0,0,3,24,PhoenixSuns
EricGordon,20,2,4,5,4,9,0,0,6,36,4-5,4-9,57.1,0-0,0,0,2,4,0,0,1,8,18,PhoenixSuns
GraysonAllen,19,7,0,2,5,7,4,4,3,37,0-2,5-7,55.6,4-4,100.0,1,6,2,0,1,2,-12,24,PhoenixSuns
JusufNurkic,12,12,2,5,2,5,2,2,4,30,2-5,2-5,40.0,2-2,100.0,0,12,0,1,2,4,-8,25,PhoenixSuns
YutaWatanabe,11,3,1,1,3,7,0,0,2,19,1-1,3-7,50.0,0-0,0,1,2,2,1,0,1,-6,11,PhoenixSuns
JoshOkogie,11,2,2,6,1,4,4,5,2,30,2-6,1-4,30.0,4-5,80.0,1,1,2,0,2,1,-3,7,PhoenixSuns
NassirLittle,6,2,0,1,2,2,0,0,1,18,0-1,2-2,66.7,0-0,0,0,2,1,2,0,5,2,9,PhoenixSuns
JordanGoodwin,6,4,3,5,0,2,0,0,0,15,3-5,0-2,42.9,0-0,0,2,2,1,1,0,3,-2,6,PhoenixSuns
DrewEubanks,3,9,1,3,0,0,1,2,4,17,1-3,0-0,33.3,1-2,50.0,1,8,2,1,2,1,13,14,PhoenixSuns
PhoenixSuns,114,43,24,44,18,39,12,15,29,240,24-44,18-39,50.6,12-15,0,6,37,19,8,7,18,-5,138,PhoenixSuns
KeldonJohnson,27,3,6,11,4,9,3,4,4,33,6-11,4-9,50.0,3-4,75.0,1,2,0,2,0,1,1,25,SanAntonioSpurs
VictorWembanyama,18,8,4,6,2,6,4,5,1,28,4-6,2-6,50.0,4-5,80.0,3,5,5,0,4,3,-3,19,SanAntonioSpurs
DevinVassell,18,6,4,9,3,8,1,2,5,36,4-9,3-8,41.2,1-2,50.0,1,5,3,3,0,0,-1,18,SanAntonioSpurs
ZachCollins,14,5,5,8,1,3,1,1,4,27,5-8,1-3,54.5,1-1,100.0,1,4,2,1,3,3,8,20,SanAntonioSpurs
TreJones,10,2,3,3,0,1,4,4,3,24,3-3,0-1,75.0,4-4,100.0,0,2,0,1,1,0,13,16,SanAntonioSpurs
CediOsman,9,2,3,5,1,2,0,1,1,19,3-5,1-2,57.1,0-1,0.0,0,2,0,1,0,0,6,9,SanAntonioSpurs
JeremySochan,8,7,3,7,0,1,2,3,5,30,3-7,0-1,37.5,2-3,66.7,1,6,0,0,0,5,-7,14,SanAntonioSpurs
DougMcDermott,6,1,0,1,2,2,0,0,1,15,0-1,2-2,66.7,0-0,0,0,1,0,1,0,1,0,8,SanAntonioSpurs
MalakiBranham,3,0,0,3,1,4,0,0,0,9,0-3,1-4,14.3,0-0,0,0,0,1,1,0,0,2,-3,SanAntonioSpurs
CharlesBassey,2,3,1,2,0,0,0,0,1,15,1-2,0-0,50.0,0-0,0,1,2,1,0,1,4,-13,5,SanAntonioSpurs
JulianChampagnie,0,0,0,0,0,1,0,0,0,3,0-0,0-1,0.0,0-0,0,0,0,0,0,0,0,-1,-1,SanAntonioSpurs
SanAntonioSpurs,115,37,29,55,14,37,15,20,25,240,29-55,14-37,46.7,15-20,0,8,29,12,10,9,17,5,130,SanAntonioSpurs
