PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JeramiGrant,30,8,12,22,2,4,0,0,1,36,53.8,0.0,4,4,2,0,0,1,12,25,PortlandTrailBlazers
AnferneeSimons,20,4,7,13,1,7,3,4,4,39,40.0,75.0,0,4,0,0,0,2,11,15,PortlandTrailBlazers
DuopReath,17,7,5,5,2,4,1,1,3,25,77.8,100.0,2,5,1,0,0,4,5,24,PortlandTrailBlazers
MalcolmBrogdon,16,5,4,6,2,6,2,2,6,30,50.0,100.0,0,5,0,1,0,2,-2,22,PortlandTrailBlazers
ScootHenderson,7,3,1,4,0,2,5,5,3,23,16.7,100.0,1,2,5,0,0,0,-13,3,PortlandTrailBlazers
ToumaniCamara,6,6,3,4,0,0,0,0,1,20,75.0,0.0,2,4,0,0,0,2,5,12,PortlandTrailBlazers
JabariWalker,4,6,0,3,1,1,1,2,0,30,25.0,50.0,0,6,0,1,0,2,-6,7,PortlandTrailBlazers
MatisseThybulle,3,0,0,1,1,3,0,0,3,21,25.0,0.0,0,0,0,0,0,3,-3,3,PortlandTrailBlazers
IbouBadji,2,2,1,1,0,0,0,0,0,13,100.0,0.0,1,1,0,0,2,0,2,6,PortlandTrailBlazers
KrisMurray,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0,1,0,0,0,-1,-1,PortlandTrailBlazers
PortlandTrailBlazers,105,41,33,59,9,27,12,14,21,240,48.8,0.0,10,31,9,2,2,16,10,116,PortlandTrailBlazers
MikalBridges,21,4,4,9,3,9,4,6,4,34,38.9,66.7,0,4,1,0,1,4,-3,16,BrooklynNets
SpencerDinwiddie,19,2,2,4,3,4,6,7,7,32,62.5,85.7,0,2,1,1,0,2,12,24,BrooklynNets
CameronJohnson,13,3,5,6,1,3,0,0,5,27,66.7,0.0,1,2,0,0,1,1,1,19,BrooklynNets
LonnieWalker,13,1,2,3,3,7,0,0,0,19,50.0,0.0,0,1,1,1,0,0,10,9,BrooklynNets
NicClaxton,12,12,4,5,0,0,4,10,0,32,80.0,40.0,2,10,1,3,1,3,-4,20,BrooklynNets
CamThomas,8,0,0,3,2,4,2,2,4,22,28.6,100.0,0,0,1,0,0,0,-1,6,BrooklynNets
DorianFinney-Smith,7,5,1,1,1,4,2,2,1,32,40.0,100.0,1,4,1,2,0,1,-7,11,BrooklynNets
TrendonWatford,6,0,0,0,2,3,0,0,2,8,66.7,0.0,0,0,1,0,0,1,-1,6,BrooklynNets
DennisSmith,2,3,1,3,0,1,0,0,2,14,25.0,0.0,2,1,1,2,0,1,-14,5,BrooklynNets
RoyceO&#039;Neale,2,3,1,1,0,3,0,0,3,20,25.0,0.0,0,3,2,0,0,1,-3,3,BrooklynNets
BrooklynNets,103,33,20,35,15,38,18,27,28,240,47.9,0.0,6,27,10,9,3,14,-10,119,BrooklynNets
