PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnferneeSimons,24,3,5,38,6-10,4-9,52.6%,0-0,-,0,3,3,0,0,0,-11,20,PortlandTrailBlazers
DeandreAyton,20,11,1,35,10-17,0-0,58.8%,0-0,-,3,8,1,1,1,3,-10,26,PortlandTrailBlazers
JeramiGrant,18,3,4,38,7-13,0-1,50.0%,4-4,100.0%,0,3,0,2,0,3,2,20,PortlandTrailBlazers
ScootHenderson,15,0,4,22,5-9,1-2,54.5%,2-2,100.0%,0,0,2,0,0,1,5,12,PortlandTrailBlazers
MalcolmBrogdon,14,6,6,36,3-6,2-6,41.7%,2-2,100.0%,1,5,3,1,0,3,9,17,PortlandTrailBlazers
DuopReath,10,4,1,13,2-4,2-2,66.7%,0-0,-,2,2,1,1,0,3,13,13,PortlandTrailBlazers
JabariWalker,8,5,2,16,2-2,1-2,75.0%,1-1,100.0%,1,4,1,1,0,3,-6,14,PortlandTrailBlazers
MatisseThybulle,6,3,1,19,0-0,2-6,33.3%,0-0,-,1,2,0,1,0,2,13,7,PortlandTrailBlazers
ToumaniCamara,4,4,2,23,2-3,0-0,66.7%,0-0,-,1,3,0,2,0,2,0,11,PortlandTrailBlazers
PortlandTrailBlazers,119,45,26,240,37-64,12-28,53.3%,9-9,100.0%  ,13,32,11,9,1,20,15,140,PortlandTrailBlazers
GiannisAntetokounmpo,27,8,4,38,10-14,0-2,62.5%,7-11,63.6%,3,5,6,3,1,5,6,27,MilwaukeeBucks
DamianLillard,25,6,7,40,6-10,3-13,39.1%,4-4,100.0%,2,4,4,1,0,2,6,21,MilwaukeeBucks
KhrisMiddleton,21,2,8,34,6-8,3-5,69.2%,0-0,-,0,2,1,0,1,3,7,27,MilwaukeeBucks
BrookLopez,19,4,3,36,3-4,4-10,50.0%,1-1,100.0%,0,4,0,1,2,1,1,22,MilwaukeeBucks
BobbyPortis,11,6,0,22,4-5,1-2,71.4%,0-0,-,2,4,1,0,0,0,-11,14,MilwaukeeBucks
MalikBeasley,7,6,1,29,2-2,1-6,37.5%,0-0,-,0,6,0,1,0,3,6,10,MilwaukeeBucks
JaeCrowder,6,5,2,19,1-1,1-5,33.3%,1-2,50.0%,2,3,0,0,1,1,-11,9,MilwaukeeBucks
PatConnaughton,0,1,0,14,0-0,0-0,-,0-0,-,0,1,1,1,0,2,-10,1,MilwaukeeBucks
CameronPayne,0,1,2,8,0-3,0-2,0.0%,0-0,-,1,0,0,0,0,0,-9,-2,MilwaukeeBucks
MilwaukeeBucks,116,42,27,240,32-47,13-45,48.9%,13-18,72.2%  ,11,31,13,7,5,17,-15,129,MilwaukeeBucks
