PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KeeganMurray,47,8,2,36,4-8,12-15,69.6%,3-4,75.0%,1,7,0,2,0,1,33,51,SacramentoKings
DomantasSabonis,20,10,8,35,9-9,0-1,90.0%,2-4,50.0%,2,8,6,2,0,1,34,31,SacramentoKings
MalikMonk,18,4,8,26,2-4,4-12,37.5%,2-2,100.0%,0,4,1,0,1,0,-3,20,SacramentoKings
HarrisonBarnes,16,4,2,33,3-6,3-5,54.5%,1-1,100.0%,2,2,0,1,0,1,5,18,SacramentoKings
KevinHuerter,11,3,5,25,2-2,2-4,66.7%,1-2,50.0%,1,2,0,0,0,4,26,16,SacramentoKings
DavionMitchell,4,0,1,18,2-4,0-1,40.0%,0-0,-,0,0,0,0,0,3,-8,2,SacramentoKings
JaValeMcGee,4,0,0,4,2-3,0-0,66.7%,0-0,-,0,0,1,0,0,1,-4,2,SacramentoKings
SashaVezenkov,3,4,2,11,0-1,1-2,33.3%,0-0,-,0,4,0,0,0,0,-7,7,SacramentoKings
KeonEllis,2,1,7,26,0-0,0-3,0.0%,2-2,100.0%,0,1,3,1,0,2,23,5,SacramentoKings
TreyLyles,0,8,0,18,0-0,0-2,0.0%,0-0,-,1,7,2,0,1,4,1,5,SacramentoKings
JuanToscano-Anderson,0,2,1,2,0-1,0-0,0.0%,0-0,-,1,1,0,0,0,0,1,2,SacramentoKings
KesslerEdwards,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,1,0,SacramentoKings
ChrisDuarte,0,1,0,4,0-2,0-0,0.0%,0-0,-,0,1,1,0,0,0,3,-2,SacramentoKings
SacramentoKings,125,45,36,240,24-40,22-45,54.1%,11-15,73.3%  ,8,37,14,6,2,17,105,157,SacramentoKings
CollinSexton,28,3,1,33,8-12,2-6,55.6%,6-7,85.7%,1,2,1,1,0,2,-27,23,UtahJazz
LauriMarkkanen,18,6,3,28,5-8,2-5,53.8%,2-2,100.0%,1,5,2,0,0,2,-2,19,UtahJazz
TalenHorton-Tucker,12,3,5,26,2-7,2-4,36.4%,2-3,66.7%,1,2,1,3,0,0,-2,14,UtahJazz
TaylorHendricks,12,3,1,21,1-3,2-5,37.5%,4-5,80.0%,1,2,0,1,0,0,8,11,UtahJazz
KrisDunn,11,4,3,27,4-6,1-4,50.0%,0-0,-,1,3,6,1,1,1,-13,9,UtahJazz
KellyOlynyk,9,5,13,29,3-5,1-2,57.1%,0-0,-,0,5,1,1,1,3,-18,25,UtahJazz
SimoneFontecchio,7,2,0,25,2-4,1-5,33.3%,0-0,-,0,2,0,0,0,0,-23,3,UtahJazz
OchaiAgbaji,5,4,0,23,1-4,1-3,28.6%,0-0,-,3,1,0,1,0,2,2,5,UtahJazz
WalkerKessler,2,3,1,18,0-0,0-0,-,2-4,50.0%,1,2,1,0,1,2,-28,4,UtahJazz
MicahPotter,0,4,0,4,0-0,0-1,0.0%,0-0,-,0,4,0,0,0,0,-1,3,UtahJazz
JohnnyJuzang,0,0,1,4,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,-1,-1,UtahJazz
UtahJazz,104,37,28,240,26-49,12-37,44.2%,16-21,76.2%  ,9,28,12,8,3,12,-105,115,UtahJazz
