PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ZachCollins,28,8,7,9,3,5,5,6,5,34,7-9,3-5,71.4,5-6,83.3,2,6,3,3,1,5,19,37,SanAntonioSpurs
VictorWembanyama,27,9,10,18,2,8,1,1,0,30,10-18,2-8,46.2,1-1,100.0,1,8,4,2,0,3,-31,20,SanAntonioSpurs
KeldonJohnson,21,9,2,7,5,9,2,2,7,36,2-7,5-9,43.8,2-2,100.0,0,9,3,1,1,1,-12,27,SanAntonioSpurs
MalakiBranham,10,0,4,7,0,3,2,2,5,28,4-7,0-3,40.0,2-2,100.0,0,0,0,0,0,1,-18,9,SanAntonioSpurs
JulianChampagnie,9,2,0,1,2,4,3,4,3,25,0-1,2-4,40.0,3-4,75.0,1,1,2,0,1,3,-9,9,SanAntonioSpurs
JeremySochan,8,8,2,8,1,3,1,2,6,37,2-8,1-3,27.3,1-2,50.0,1,7,2,1,0,4,-3,12,SanAntonioSpurs
SandroMamukelashvili,6,3,1,2,0,0,4,4,2,12,1-2,0-0,50.0,4-4,100.0,1,2,1,0,0,1,21,9,SanAntonioSpurs
DougMcDermott,6,0,1,2,1,2,1,2,3,16,1-2,1-2,50.0,1-2,50.0,0,0,0,0,0,1,16,6,SanAntonioSpurs
CediOsman,3,2,0,1,1,2,0,0,2,15,0-1,1-2,33.3,0-0,0,0,2,0,0,0,1,-7,5,SanAntonioSpurs
CharlesBassey,2,1,1,1,0,0,0,0,0,2,1-1,0-0,100.0,0-0,0,0,1,0,0,0,0,-6,3,SanAntonioSpurs
BlakeWesley,0,0,0,0,0,0,0,0,0,4,0-0,0-0,0,0-0,0,0,0,0,0,0,1,-15,0,SanAntonioSpurs
SanAntonioSpurs,120,47,28,56,15,36,19,23,33,240,28-56,15-36,46.7,19-23,0,7,40,15,7,3,21,-45,137,SanAntonioSpurs
De&#039;AaronFox,43,8,9,13,5,11,10,13,7,41,9-13,5-11,58.3,10-13,76.9,0,8,1,1,1,2,3,46,SacramentoKings
DomantasSabonis,27,14,7,10,2,3,7,8,7,35,7-10,2-3,69.2,7-8,87.5,2,12,4,0,1,5,6,40,SacramentoKings
MalikMonk,20,4,1,2,6,9,0,0,8,26,1-2,6-9,63.6,0-0,0,1,3,1,1,0,3,13,28,SacramentoKings
KevinHuerter,9,1,3,5,1,4,0,0,2,25,3-5,1-4,44.4,0-0,0,0,1,0,3,0,2,-1,10,SacramentoKings
HarrisonBarnes,7,2,1,1,1,6,2,3,1,26,1-1,1-6,28.6,2-3,66.7,0,2,1,1,0,2,5,4,SacramentoKings
KeeganMurray,6,6,3,6,0,4,0,0,3,38,3-6,0-4,30.0,0-0,0,1,5,2,1,0,2,19,7,SacramentoKings
ChrisDuarte,6,3,0,1,2,3,0,0,0,15,0-1,2-3,50.0,0-0,0,0,3,2,2,0,2,-8,7,SacramentoKings
SashaVezenkov,5,4,1,2,1,2,0,0,0,17,1-2,1-2,50.0,0-0,0,0,4,0,0,0,3,10,7,SacramentoKings
JaValeMcGee,4,0,2,2,0,0,0,0,1,8,2-2,0-0,100.0,0-0,0,0,0,1,0,0,1,-1,4,SacramentoKings
KeonEllis,2,0,1,1,0,0,0,0,2,10,1-1,0-0,100.0,0-0,0,0,0,1,1,0,0,-1,4,SacramentoKings
SacramentoKings,129,49,28,43,18,42,19,24,31,240,28-43,18-42,54.1,19-24,0,8,41,14,10,2,22,45,157,SacramentoKings
