PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PascalSiakam,36,5,8,12,5,8,5,6,2,40,65.0,83.3,0,5,1,1,0,3,1,35,TorontoRaptors
ScottieBarnes,20,6,6,12,1,5,5,7,5,36,41.2,71.4,1,5,0,1,1,3,-5,21,TorontoRaptors
R.J.Barrett,19,9,5,10,1,2,6,8,1,29,50.0,75.0,3,6,5,0,0,5,-7,16,TorontoRaptors
JakobPoeltl,14,11,5,8,0,0,4,7,4,37,62.5,57.1,4,7,4,0,3,4,3,22,TorontoRaptors
ImmanuelQuickley,14,6,3,8,2,5,2,3,3,28,38.5,66.7,0,6,0,2,0,4,7,16,TorontoRaptors
DennisSchroder,12,3,2,2,1,5,5,7,8,30,42.9,71.4,0,3,1,0,0,2,12,16,TorontoRaptors
GaryTrentJr.,9,6,2,5,1,5,2,2,2,26,30.0,100.0,2,4,0,1,0,1,-1,11,TorontoRaptors
ChrisBoucher,0,1,0,0,0,0,0,0,0,11,0.0,0.0,0,1,0,0,0,0,1,1,TorontoRaptors
ThaddeusYoung,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,4,0,TorontoRaptors
TorontoRaptors,124,47,31,57,11,30,29,40,25,240,48.3,0.0,10,37,11,5,4,22,15,138,TorontoRaptors
CarisLeVert,31,4,10,13,2,7,5,5,4,29,60.0,100.0,0,4,0,0,0,0,1,31,ClevelandCavaliers
DonovanMitchell,26,7,4,12,4,9,6,6,7,38,38.1,100.0,1,6,3,4,0,4,7,28,ClevelandCavaliers
JarrettAllen,16,11,5,11,0,0,6,8,4,34,45.5,75.0,3,8,0,1,0,4,-3,24,ClevelandCavaliers
IsaacOkoro,16,1,5,6,0,4,6,7,3,27,50.0,85.7,0,1,1,2,1,4,-18,16,ClevelandCavaliers
SamMerrill,16,3,2,3,4,8,0,0,1,17,54.5,0.0,0,3,1,0,0,2,-2,14,ClevelandCavaliers
GeorgesNiang,8,4,4,4,0,1,0,0,2,16,80.0,0.0,0,4,1,0,0,5,-3,12,ClevelandCavaliers
MaxStrus,6,6,0,2,2,5,0,0,3,37,28.6,0.0,0,6,3,1,1,4,9,9,ClevelandCavaliers
DeanWade,2,3,1,1,0,1,0,0,0,21,50.0,0.0,0,3,0,1,0,2,5,5,ClevelandCavaliers
TristanThompson,0,3,0,0,0,0,0,0,1,14,0.0,0.0,2,1,0,0,0,3,0,4,ClevelandCavaliers
CraigPorter,0,1,0,1,0,1,0,0,0,6,0.0,0.0,0,1,0,0,0,1,-11,-1,ClevelandCavaliers
ClevelandCavaliers,121,43,31,53,12,36,23,26,25,240,48.3,0.0,6,37,9,9,2,29,-15,142,ClevelandCavaliers
