PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,20,12,7,15,1,4,3,3,2,37,42.1,100.0,4,8,4,2,1,3,1,22,TorontoRaptors
PascalSiakam,20,6,9,15,0,6,2,3,3,35,42.9,66.7,1,5,0,1,0,1,-2,17,TorontoRaptors
JakobPoeltl,14,10,6,8,0,0,2,3,1,28,75.0,66.7,5,5,2,0,1,3,-5,21,TorontoRaptors
DennisSchroder,10,1,3,7,1,3,1,1,8,32,40.0,100.0,0,1,1,1,0,1,1,13,TorontoRaptors
OguguaAnunoby,10,3,2,3,2,9,0,0,1,30,33.3,0.0,0,3,2,2,1,0,0,7,TorontoRaptors
MalachiFlynn,6,1,3,3,0,2,0,0,0,15,60.0,0.0,0,1,1,1,0,1,-9,5,TorontoRaptors
ChrisBoucher,4,7,1,4,0,0,2,2,1,17,25.0,100.0,3,4,1,0,1,2,-3,9,TorontoRaptors
GradeyDick,4,6,2,4,0,3,0,0,0,21,28.6,0.0,1,5,0,2,0,3,-9,7,TorontoRaptors
GaryTrentJr.,3,1,1,6,0,1,1,3,2,19,14.3,33.3,0,1,0,1,0,2,-10,-1,TorontoRaptors
JalenMcDaniels,0,0,0,0,0,1,0,0,1,5,0.0,0.0,0,0,0,0,0,1,-4,0,TorontoRaptors
TorontoRaptors,91,47,34,65,4,29,11,15,19,240,40.4,0.0,14,33,11,10,4,17,-40,100,TorontoRaptors
JeramiGrant,22,6,6,10,2,8,4,4,0,37,44.4,100.0,1,5,2,1,1,2,8,18,PortlandTrailBlazers
MalcolmBrogdon,21,3,6,14,3,7,0,1,5,29,42.9,0.0,1,2,1,0,0,2,9,15,PortlandTrailBlazers
ShaedonSharpe,14,5,2,5,2,5,4,4,3,38,40.0,100.0,2,3,4,1,2,3,4,15,PortlandTrailBlazers
ScootHenderson,11,4,4,6,0,6,3,4,7,34,33.3,75.0,0,4,4,2,0,6,1,11,PortlandTrailBlazers
DeandreAyton,10,23,5,9,0,0,0,0,2,32,55.6,0.0,7,16,1,1,2,1,7,33,PortlandTrailBlazers
MatisseThybulle,9,0,0,0,3,4,0,0,2,19,75.0,0.0,0,0,0,0,0,1,-5,10,PortlandTrailBlazers
SkylarMays,5,0,1,1,1,3,0,0,1,11,50.0,0.0,0,0,0,1,0,0,3,5,PortlandTrailBlazers
JabariWalker,4,3,2,3,0,0,0,0,0,16,66.7,0.0,0,3,1,0,1,2,1,6,PortlandTrailBlazers
ToumaniCamara,3,7,1,2,0,2,1,2,0,23,25.0,50.0,2,5,1,0,1,2,12,6,PortlandTrailBlazers
PortlandTrailBlazers,99,51,27,50,11,35,12,15,20,240,44.7,0.0,13,38,14,6,7,19,40,119,PortlandTrailBlazers
