PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KeyonteGeorge,19,5,3,6,3,8,4,6,3,31,3-6,3-8,42.9,4-6,66.7,1,4,2,2,0,0,-1,17,UtahJazz
JordanClarkson,16,4,2,7,2,9,6,6,10,32,2-7,2-9,25.0,6-6,100.0,0,4,1,0,0,1,-3,17,UtahJazz
WalkerKessler,14,8,7,9,0,0,0,1,3,26,7-9,0-0,77.8,0-1,0.0,1,7,0,0,2,4,3,24,UtahJazz
SimoneFontecchio,14,4,1,1,3,8,3,4,2,28,1-1,3-8,44.4,3-4,75.0,0,4,0,2,0,3,-1,16,UtahJazz
OchaiAgbaji,12,0,1,1,3,6,1,1,0,16,1-1,3-6,57.1,1-1,100.0,0,0,0,0,0,1,5,9,UtahJazz
JohnCollins,12,3,2,4,2,6,2,3,0,29,2-4,2-6,40.0,2-3,66.7,1,2,1,0,0,1,-2,7,UtahJazz
CollinSexton,11,2,1,3,3,6,0,0,0,18,1-3,3-6,44.4,0-0,0,1,1,4,2,0,2,6,6,UtahJazz
OmerYurtseven,7,10,1,2,1,2,2,2,2,22,1-2,1-2,50.0,2-2,100.0,5,5,2,0,2,4,-1,17,UtahJazz
TalenHorton-Tucker,5,3,2,6,0,3,1,1,7,19,2-6,0-3,22.2,1-1,100.0,0,3,0,0,0,2,0,8,UtahJazz
KellyOlynyk,4,4,0,1,0,0,4,4,4,19,0-1,0-0,0.0,4-4,100.0,0,4,0,0,0,5,4,11,UtahJazz
UtahJazz,114,43,20,40,17,48,23,28,31,240,20-40,17-48,42.0,23-28,0,9,34,10,6,4,23,10,132,UtahJazz
ZionWilliamson,26,4,8,15,1,1,7,9,7,34,8-15,1-1,56.3,7-9,77.8,1,3,0,1,0,2,3,29,NewOrleansPelicans
BrandonIngram,25,4,11,20,0,2,3,4,5,35,11-20,0-2,50.0,3-4,75.0,0,4,2,0,0,3,4,20,NewOrleansPelicans
JonasValanciunas,14,13,5,9,0,1,4,6,2,30,5-9,0-1,50.0,4-6,66.7,5,8,0,0,1,3,3,23,NewOrleansPelicans
NajiMarshall,14,9,5,9,1,3,1,2,3,28,5-9,1-3,50.0,1-2,50.0,2,7,1,3,0,3,6,21,NewOrleansPelicans
JordanHawkins,13,5,2,5,3,6,0,0,0,25,2-5,3-6,45.5,0-0,0,1,4,0,0,0,1,-8,12,NewOrleansPelicans
HerbertJones,10,4,2,2,2,5,0,0,0,32,2-2,2-5,57.1,0-0,0,0,4,3,1,0,4,-10,9,NewOrleansPelicans
JoseAlvarado,4,1,2,3,0,0,0,0,2,14,2-3,0-0,66.7,0-0,0,0,1,0,0,0,2,3,6,NewOrleansPelicans
LarryNance,3,4,1,1,0,0,1,2,2,9,1-1,0-0,100.0,1-2,50.0,2,2,1,0,0,1,-5,7,NewOrleansPelicans
DysonDaniels,2,3,1,2,0,4,0,0,4,24,1-2,0-4,16.7,0-0,0,0,3,1,0,0,4,-6,3,NewOrleansPelicans
CodyZeller,1,1,0,0,0,0,1,2,2,9,0-0,0-0,0,1-2,50.0,0,1,0,0,0,2,0,3,NewOrleansPelicans
NewOrleansPelicans,112,48,37,66,7,22,17,25,27,240,37-66,7-22,50.0,17-25,0,11,37,8,5,1,25,-10,133,NewOrleansPelicans
