PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JordanClarkson,24,4,6,11,2,5,6,8,6,31,50.0,75.0,2,2,2,0,0,4,-4,22,UtahJazz
LauriMarkkanen,19,10,4,9,2,6,5,6,1,32,40.0,83.3,2,8,1,2,0,1,-7,21,UtahJazz
JohnCollins,15,11,5,8,1,3,2,2,2,31,54.5,100.0,3,8,0,1,0,3,-9,24,UtahJazz
CollinSexton,9,3,2,7,0,2,5,7,0,20,22.2,71.4,0,3,3,0,0,3,-10,0,UtahJazz
WalkerKessler,8,8,4,5,0,0,0,0,0,22,80.0,0.0,4,4,1,0,1,3,-14,15,UtahJazz
KeyonteGeorge,8,2,2,2,1,3,1,1,2,19,60.0,100.0,0,2,1,0,0,0,-9,9,UtahJazz
TalenHorton-Tucker,8,1,1,5,2,4,0,0,4,22,33.3,0.0,0,1,1,0,1,1,-5,7,UtahJazz
KrisDunn,8,1,3,5,0,1,2,4,2,16,50.0,50.0,0,1,4,2,0,0,-16,4,UtahJazz
KellyOlynyk,5,6,2,3,0,0,1,1,4,17,66.7,100.0,3,3,1,1,0,3,-5,14,UtahJazz
OchaiAgbaji,5,3,1,4,1,2,0,0,0,19,33.3,0.0,0,3,0,0,0,2,-11,4,UtahJazz
SimoneFontecchio,2,1,1,1,0,1,0,0,1,2,50.0,0.0,1,0,0,0,0,0,2,3,UtahJazz
LukaSamanic,2,0,1,1,0,1,0,0,0,2,50.0,0.0,0,0,0,0,0,0,2,1,UtahJazz
TaylorHendricks,1,1,0,0,0,0,1,2,0,2,0.0,50.0,0,1,0,0,0,0,2,1,UtahJazz
OmerYurtseven,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0,1,0,0,0,0,2,1,UtahJazz
BriceSensabaugh,0,2,0,2,0,0,0,0,0,2,0.0,0.0,1,1,0,0,0,0,2,0,UtahJazz
UtahJazz,114,54,32,63,9,28,23,31,22,240,45.1,0.0,16,38,14,6,2,20,-80,126,UtahJazz
HarrisonBarnes,33,4,6,9,5,7,6,6,2,33,68.8,100.0,0,4,1,1,0,2,10,34,SacramentoKings
DomantasSabonis,22,12,7,12,1,2,5,7,5,32,57.1,71.4,6,6,3,1,2,3,5,31,SacramentoKings
De&#039;AaronFox,18,5,5,11,1,7,5,6,6,33,33.3,83.3,2,3,3,1,1,4,14,15,SacramentoKings
KeeganMurray,15,8,1,4,4,9,1,1,1,30,38.5,100.0,2,6,0,1,2,4,12,19,SacramentoKings
MalikMonk,10,2,2,3,2,9,0,0,7,23,33.3,0.0,1,1,2,0,2,2,12,11,SacramentoKings
ChrisDuarte,9,2,0,1,3,4,0,0,1,15,60.0,0.0,1,1,0,0,0,3,5,10,SacramentoKings
JaValeMcGee,8,1,4,4,0,0,0,0,1,13,100.0,0.0,0,1,0,0,1,0,13,11,SacramentoKings
SashaVezenkov,8,2,1,1,2,5,0,0,0,16,50.0,0.0,1,1,0,2,0,1,9,9,SacramentoKings
KevinHuerter,7,5,2,4,1,5,0,0,2,24,33.3,0.0,2,3,1,0,0,3,6,7,SacramentoKings
DavionMitchell,0,3,0,1,0,2,0,0,4,14,0.0,0.0,0,3,1,0,0,3,4,3,SacramentoKings
ColbyJones,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,0,-2,1,SacramentoKings
KeonEllis,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-2,0,SacramentoKings
AlexLen,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-2,0,SacramentoKings
KesslerEdwards,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-2,-1,SacramentoKings
JordanFord,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-2,-1,SacramentoKings
SacramentoKings,130,45,28,51,19,51,17,20,29,240,46.1,0.0,15,30,11,6,8,25,80,149,SacramentoKings
