PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DesmondBane,37,4,8,38,7-15,7-13,50.0%,2-3,66.7%,0,4,3,1,2,3,1,34,MemphisGrizzlies
BismackBiyombo,15,14,0,34,5-10,0-0,50.0%,5-6,83.3%,8,6,0,1,0,4,-5,24,MemphisGrizzlies
JacobGilyard,14,5,8,34,1-1,4-9,50.0%,0-0,-,3,2,2,1,0,2,-12,21,MemphisGrizzlies
JarenJacksonJr.,14,4,2,23,7-11,0-2,53.8%,0-0,-,2,2,2,0,0,2,-11,12,MemphisGrizzlies
LukeKennard,14,1,1,21,1-2,4-9,45.5%,0-0,-,0,1,0,0,1,1,-13,11,MemphisGrizzlies
MarcusSmart,8,1,2,25,3-5,0-4,33.3%,2-2,100.0%,0,1,1,0,1,6,10,5,MemphisGrizzlies
DavidRoddy,7,3,0,19,2-4,1-5,33.3%,0-0,-,1,2,2,0,0,1,-6,2,MemphisGrizzlies
JohnKonchar,6,1,2,21,0-2,2-4,33.3%,0-0,-,0,1,0,2,0,0,-7,7,MemphisGrizzlies
SantiagoAldama,6,2,0,13,1-2,1-1,66.7%,1-2,50.0%,0,2,0,0,0,1,2,6,MemphisGrizzlies
KennyLofton,0,2,0,12,0-1,0-1,0.0%,0-0,-,0,2,1,0,1,3,11,0,MemphisGrizzlies
MemphisGrizzlies,121,38,23,240,27-53,19-48,45.5%,10-13,76.9%  ,15,23,11,5,5,23,-30,122,MemphisGrizzlies
LauriMarkkanen,26,7,1,37,4-4,4-9,61.5%,6-6,100.0%,0,7,3,2,2,3,-1,30,UtahJazz
JordanClarkson,26,4,4,36,7-11,2-5,56.3%,6-6,100.0%,2,2,3,2,1,1,14,27,UtahJazz
JohnCollins,18,3,0,38,2-3,3-3,83.3%,5-7,71.4%,0,3,3,0,4,2,8,19,UtahJazz
OchaiAgbaji,15,6,1,30,3-3,3-5,75.0%,0-0,-,1,5,1,1,2,3,3,22,UtahJazz
TalenHorton-Tucker,13,3,2,18,1-2,3-5,57.1%,2-2,100.0%,1,2,1,1,1,2,5,16,UtahJazz
CollinSexton,10,2,6,18,3-6,0-2,37.5%,4-4,100.0%,1,1,3,1,0,0,3,11,UtahJazz
KeyonteGeorge,7,3,11,30,1-6,1-6,16.7%,2-2,100.0%,0,3,2,0,1,1,1,10,UtahJazz
KellyOlynyk,6,8,2,21,2-3,0-0,66.7%,2-2,100.0%,2,6,2,1,1,3,5,15,UtahJazz
SimoneFontecchio,6,2,1,12,0-1,2-2,66.7%,0-0,-,1,1,1,2,0,2,-8,9,UtahJazz
UtahJazz,127,42,28,240,23-39,18-37,53.9%,27-29,93.1%  ,10,32,20,10,12,17,30,159,UtahJazz
