PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NazReid,25,8,1,28,6-7,4-7,71.4%,1-1,100.0%,1,7,0,2,0,3,30,32,MinnesotaTimberwolves
AnthonyEdwards,19,2,7,33,4-10,3-5,46.7%,2-2,100.0%,0,2,2,0,0,3,21,18,MinnesotaTimberwolves
RudyGobert,14,14,1,31,7-9,0-0,77.8%,0-0,-,4,10,2,1,0,1,14,26,MinnesotaTimberwolves
MikeConley,14,4,5,29,4-4,2-6,60.0%,0-0,-,2,2,0,1,0,1,21,20,MinnesotaTimberwolves
KyleAnderson,12,2,4,23,5-6,0-0,83.3%,2-2,100.0%,0,2,2,2,0,1,7,17,MinnesotaTimberwolves
Karl-AnthonyTowns,12,10,2,31,4-8,1-4,41.7%,1-2,50.0%,0,10,1,1,0,3,6,16,MinnesotaTimberwolves
NickeilAlexander-Walker,5,3,3,23,1-2,1-6,25.0%,0-0,-,0,3,3,1,2,3,8,5,MinnesotaTimberwolves
JordanMcLaughlin,3,0,4,6,0-2,1-1,33.3%,0-0,-,0,0,0,0,0,1,-4,5,MinnesotaTimberwolves
ShakeMilton,2,1,2,17,1-2,0-2,25.0%,0-1,0.0%,0,1,2,0,0,0,-4,-1,MinnesotaTimberwolves
TroyBrown,0,2,1,15,0-0,0-2,0.0%,0-0,-,0,2,2,1,0,1,-5,0,MinnesotaTimberwolves
LeonardMiller,0,1,0,2,0-1,0-0,0.0%,0-0,-,0,1,0,0,0,0,-7,0,MinnesotaTimberwolves
JoshMinott,0,0,0,2,0-1,0-1,0.0%,0-0,-,0,0,0,0,1,0,-7,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,106,47,30,240,32-52,12-34,51.2%,6-8,75.0%  ,7,40,14,9,3,17,80,137,MinnesotaTimberwolves
TylerHerro,22,5,4,40,4-12,4-11,34.8%,2-2,100.0%,0,5,0,0,0,1,-16,16,MiamiHeat
BamAdebayo,19,3,2,33,7-13,0-1,50.0%,5-10,50.0%,1,2,4,0,0,4,-10,8,MiamiHeat
NikolaJovic,8,11,4,21,1-2,2-4,50.0%,0-0,-,0,11,0,1,0,2,6,21,MiamiHeat
JamalCain,8,5,0,25,4-5,0-3,50.0%,0-0,-,3,2,0,2,0,1,-23,11,MiamiHeat
DuncanRobinson,8,3,1,29,1-2,2-10,25.0%,0-0,-,1,2,1,1,0,1,-18,3,MiamiHeat
JaimeJaquez,7,3,1,18,2-2,1-2,75.0%,0-0,-,0,3,3,0,0,0,5,7,MiamiHeat
DruSmith,5,1,4,22,1-3,1-1,50.0%,0-0,-,0,1,1,1,0,1,-12,8,MiamiHeat
ThomasBryant,5,5,1,12,2-4,0-0,50.0%,1-2,50.0%,3,2,1,0,0,1,-8,7,MiamiHeat
ColeSwider,5,1,0,2,1-1,1-2,66.7%,0-0,-,0,1,0,0,0,0,7,5,MiamiHeat
KyleLowry,3,4,7,32,0-1,1-5,16.7%,0-0,-,1,3,4,1,0,1,-20,6,MiamiHeat
OrlandoRobinson,0,1,0,4,0-2,0-0,0.0%,0-0,-,0,1,0,0,1,0,2,0,MiamiHeat
R.J.Hampton,0,0,0,2,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,7,-1,MiamiHeat
MiamiHeat,90,42,24,240,23-48,12-39,40.2%,8-14,57.1%  ,9,33,14,6,1,12,-80,91,MiamiHeat
