PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ColeAnthony,20,8,2,24,7-10,1-2,66.7%,3-3,100.0%,1,7,0,0,0,2,17,26,OrlandoMagic
FranzWagner,19,3,2,27,2-4,3-7,45.5%,6-6,100.0%,2,1,3,1,0,1,10,16,OrlandoMagic
PaoloBanchero,12,5,5,28,3-5,0-1,50.0%,6-7,85.7%,0,5,1,1,0,2,13,18,OrlandoMagic
GaryHarris,11,5,0,17,4-4,1-4,62.5%,0-0,-,3,2,0,0,1,0,8,14,OrlandoMagic
JonathanIsaac,11,4,0,14,3-3,1-3,66.7%,2-3,66.7%,1,3,2,0,1,2,10,11,OrlandoMagic
MarkelleFultz,10,4,2,25,5-9,0-0,55.6%,0-0,-,3,1,1,3,0,0,12,14,OrlandoMagic
WendellCarter,8,8,1,27,4-8,0-2,40.0%,0-0,-,4,4,2,2,0,3,8,11,OrlandoMagic
JalenSuggs,8,4,0,21,1-5,2-7,25.0%,0-0,-,1,3,0,0,0,2,5,3,OrlandoMagic
GogaBitadze,7,3,0,5,2-2,0-0,100.0%,3-4,75.0%,1,2,1,1,0,1,9,9,OrlandoMagic
AnthonyBlack,5,0,1,5,2-2,0-0,100.0%,1-1,100.0%,0,0,0,0,2,0,9,8,OrlandoMagic
CalebHoustan,3,1,0,5,0-0,1-2,50.0%,0-0,-,0,1,0,0,0,0,9,3,OrlandoMagic
MoritzWagner,2,4,0,15,0-0,0-1,0.0%,2-2,100.0%,0,4,3,0,1,4,13,3,OrlandoMagic
JoeIngles,0,4,5,18,0-0,0-3,0.0%,0-0,-,0,4,1,0,0,3,9,5,OrlandoMagic
ChumaOkeke,0,3,0,5,0-0,0-1,0.0%,0-0,-,0,3,0,0,0,0,9,2,OrlandoMagic
JettHoward,0,0,1,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,9,0,OrlandoMagic
OrlandoMagic,116,56,19,240,33-52,9-34,48.8%,23-26,88.5%  ,16,40,14,8,5,20,150,143,OrlandoMagic
AlperenSengun,14,8,6,28,6-10,0-1,54.5%,2-4,50.0%,2,6,1,0,0,4,-2,20,HoustonRockets
DillonBrooks,14,4,2,26,1-1,4-6,71.4%,0-0,-,0,4,2,1,0,4,-15,17,HoustonRockets
FredVanVleet,14,1,5,34,1-7,4-6,38.5%,0-0,-,0,1,3,1,0,0,-3,10,HoustonRockets
JalenGreen,10,1,0,30,2-9,0-1,20.0%,6-7,85.7%,0,1,4,1,1,2,-12,0,HoustonRockets
AmenThompson,8,5,2,21,2-3,1-7,30.0%,1-2,50.0%,1,4,4,0,0,2,-34,3,HoustonRockets
JabariSmithJr.,7,5,1,26,3-5,0-4,33.3%,1-2,50.0%,1,4,1,1,0,6,-8,6,HoustonRockets
Jae&#039;SeanTate,5,2,0,15,1-1,1-1,100.0%,0-0,-,0,2,0,1,1,1,-11,9,HoustonRockets
JeffGreen,4,3,1,14,2-3,0-1,50.0%,0-1,0.0%,3,0,1,0,0,2,-11,4,HoustonRockets
JeenathanWilliams,4,0,0,5,2-2,0-1,66.7%,0-0,-,0,0,0,0,0,0,-9,3,HoustonRockets
ReggieBullock,3,1,0,11,0-0,1-1,100.0%,0-0,-,0,1,0,1,1,1,-5,6,HoustonRockets
JockLandale,3,0,2,9,0-0,1-2,50.0%,0-0,-,0,0,1,0,0,1,-9,3,HoustonRockets
JermaineSamuels,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,1,-10,0,HoustonRockets
AaronHoliday,0,0,0,5,0-2,0-1,0.0%,0-0,-,0,0,0,0,0,0,-9,-3,HoustonRockets
CamWhitmore,0,1,0,10,0-2,0-2,0.0%,0-0,-,0,1,1,0,0,0,-12,-4,HoustonRockets
HoustonRockets,86,31,19,240,20-45,12-34,40.5%,10-16,62.5%  ,7,24,18,6,3,24,-150,74,HoustonRockets
