PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
RickyCouncilIV,17,0,0,10,3-4,1-3,57.1%,8-8,100.0%,0,0,0,0,0,1,4,14,Philadelphia76ers
KenyonMartin,15,5,2,29,4-7,2-3,60.0%,1-1,100.0%,1,4,1,1,0,1,-9,18,Philadelphia76ers
TobiasHarris,13,7,3,29,6-13,0-1,42.9%,1-1,100.0%,0,7,1,0,1,1,-22,15,Philadelphia76ers
PatrickBeverley,13,3,5,23,4-6,1-2,62.5%,2-2,100.0%,0,3,3,0,0,1,-17,15,Philadelphia76ers
TyreseMaxey,12,2,3,30,3-7,2-7,35.7%,0-0,-,0,2,3,1,1,2,-27,7,Philadelphia76ers
KellyOubre,11,3,0,25,4-11,1-4,33.3%,0-0,-,1,2,1,0,1,2,-15,4,Philadelphia76ers
JadenSpringer,8,4,1,23,3-6,0-3,33.3%,2-2,100.0%,2,2,1,2,1,2,-11,9,Philadelphia76ers
TerquavionSmith,7,1,2,10,2-4,1-4,37.5%,0-0,-,0,1,1,1,0,0,4,5,Philadelphia76ers
PaulReed,6,8,4,31,3-5,0-1,50.0%,0-0,-,4,4,0,2,2,3,-8,19,Philadelphia76ers
KennyLofton,2,1,0,5,1-2,0-2,25.0%,0-0,-,0,1,0,0,0,0,-4,0,Philadelphia76ers
FurkanKorkmaz,0,4,0,16,0-1,0-2,0.0%,0-0,-,3,1,1,0,2,0,-5,2,Philadelphia76ers
MohamedBamba,0,2,1,9,0-0,0-0,-,0-0,-,0,2,2,0,0,3,-5,1,Philadelphia76ers
Philadelphia76ers,104,43,21,240,33-66,8-32,41.8%,14-14,100.0%  ,12,31,14,7,8,16,-115,109,Philadelphia76ers
AndrewWiggins,21,10,1,23,7-11,2-3,64.3%,1-2,50.0%,4,6,0,1,1,1,17,28,GoldenStateWarriors
JonathanKuminga,18,6,5,29,7-11,0-3,50.0%,4-6,66.7%,1,5,1,1,0,0,22,20,GoldenStateWarriors
KlayThompson,18,3,1,28,2-7,4-5,50.0%,2-2,100.0%,1,2,0,0,1,1,24,17,GoldenStateWarriors
LesterQuinones,13,2,4,24,0-0,4-7,57.1%,1-2,50.0%,0,2,2,0,0,4,4,13,GoldenStateWarriors
KevonLooney,9,9,2,17,4-8,0-0,50.0%,1-1,100.0%,3,6,0,0,2,3,15,18,GoldenStateWarriors
DarioSaric,9,3,2,14,2-3,1-2,60.0%,2-2,100.0%,0,3,2,1,0,2,-4,11,GoldenStateWarriors
StephenCurry,9,3,1,25,1-3,1-4,28.6%,4-4,100.0%,0,3,4,0,1,2,13,5,GoldenStateWarriors
MosesMoody,8,2,3,19,1-1,2-7,37.5%,0-0,-,1,1,1,0,2,0,1,9,GoldenStateWarriors
CoryJoseph,8,1,1,5,1-1,2-3,75.0%,0-0,-,0,1,0,0,0,0,4,9,GoldenStateWarriors
BrandinPodziemski,6,5,5,25,3-6,0-2,37.5%,0-0,-,1,4,0,2,0,2,5,13,GoldenStateWarriors
DraymondGreen,4,6,3,18,2-3,0-1,50.0%,0-1,0.0%,1,5,2,1,1,3,14,10,GoldenStateWarriors
TrayceJackson-Davis,2,1,1,4,1-1,0-0,100.0%,0-0,-,0,1,0,0,0,1,2,4,GoldenStateWarriors
GuiSantos,2,1,1,8,0-1,0-1,0.0%,2-2,100.0%,0,1,0,1,0,2,-2,3,GoldenStateWarriors
GoldenStateWarriors,127,56,30,240,31-56,16-38,50.0%,17-22,77.3%  ,16,40,13,7,8,21,115,160,GoldenStateWarriors
