PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyleKuzma,28,4,2,32,6-11,5-13,45.8%,1-1,100.0%,0,4,3,2,1,2,1,21,WashingtonWizards
CoreyKispert,23,7,2,33,5-6,4-9,60.0%,1-1,100.0%,1,6,1,0,0,2,2,25,WashingtonWizards
TyusJones,15,3,8,29,3-6,3-4,60.0%,0-0,-,0,3,1,1,0,1,-5,22,WashingtonWizards
DanielGafford,14,13,0,35,7-12,0-0,58.3%,0-0,-,4,9,1,1,4,2,11,26,WashingtonWizards
DeniAvdija,9,8,3,20,2-7,1-3,30.0%,2-4,50.0%,2,6,2,0,0,0,-10,9,WashingtonWizards
BilalCoulibaly,6,3,1,28,1-3,1-2,40.0%,1-1,100.0%,0,3,4,0,0,4,-17,3,WashingtonWizards
DelonWright,5,1,0,13,1-1,1-1,100.0%,0-0,-,1,0,0,2,0,0,1,8,WashingtonWizards
LandryShamet,3,3,3,12,0-1,1-4,20.0%,0-0,-,1,2,0,0,0,3,0,5,WashingtonWizards
EugeneOmoruyi,3,3,3,13,1-6,0-0,16.7%,1-2,50.0%,3,0,2,3,0,3,-19,4,WashingtonWizards
JordanPoole,0,2,5,25,0-1,0-4,0.0%,0-0,-,0,2,1,1,0,6,-4,2,WashingtonWizards
WashingtonWizards,106,50,27,240,26-54,16-40,44.7%,6-9,66.7%  ,13,37,15,10,5,23,-40,125,WashingtonWizards
DonovanMitchell,40,8,5,38,9-15,5-10,56.0%,7-7,100.0%,0,8,5,1,0,1,0,38,ClevelandCavaliers
EvanMobley,22,8,1,25,7-8,2-2,90.0%,2-2,100.0%,2,6,2,1,1,2,7,30,ClevelandCavaliers
DariusGarland,13,0,4,28,3-7,1-5,33.3%,4-4,100.0%,0,0,3,0,0,0,9,6,ClevelandCavaliers
JarrettAllen,12,9,2,37,5-11,0-1,41.7%,2-4,50.0%,3,6,3,0,2,1,-4,13,ClevelandCavaliers
GeorgesNiang,7,3,0,17,2-3,1-1,75.0%,0-0,-,0,3,1,0,0,2,2,8,ClevelandCavaliers
DeanWade,6,2,0,12,0-0,2-6,33.3%,0-0,-,0,2,0,1,0,2,8,5,ClevelandCavaliers
IsaacOkoro,5,3,3,28,2-2,0-1,66.7%,1-3,33.3%,0,3,0,1,1,1,17,10,ClevelandCavaliers
CarisLeVert,4,5,5,13,2-5,0-2,28.6%,0-0,-,0,5,0,0,0,1,12,9,ClevelandCavaliers
SamMerrill,3,1,2,14,0-1,1-3,25.0%,0-0,-,0,1,0,0,0,0,-3,3,ClevelandCavaliers
MaxStrus,2,7,3,28,1-1,0-4,20.0%,0-2,0.0%,2,5,0,0,1,1,-8,7,ClevelandCavaliers
ClevelandCavaliers,114,50,25,240,31-53,12-35,48.9%,16-22,72.7%  ,11,39,15,4,5,11,40,129,ClevelandCavaliers
