,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
0,MarkquisNowell,1,4.0,0.532,51.5,0.0,0.0,0.0,0.0,0.0,55.49,2.7,0.1
1,DrewPeterson,1,3.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,43.55,1.5,0.0
2,JoelEmbiid,34,34.0,0.645,15.4,10.1,0.0,0.0,0.0,0.0,34.35,410.1,13.7
3,HamidouDiallo,2,2.5,0.5,25.0,25.0,0.0,0.0,0.0,0.0,32.95,0.0,0.0
4,AdamaSanogo,3,3.7,0.926,0.0,18.8,0.0,0.0,0.0,0.0,32.68,3.6,0.1
5,NikolaJokic,53,33.8,0.646,27.9,9.2,0.0,0.0,0.0,0.0,31.22,551.8,18.4
6,ShaiGilgeous-Alexander,53,34.5,0.647,20.0,6.6,0.0,0.0,0.0,0.0,30.57,0.0,0.0
7,MamadiDiakite,3,5.3,0.785,20.7,0.0,0.0,0.0,0.0,0.0,30.36,0.0,0.0
8,GiannisAntetokounmpo,53,34.9,0.648,18.8,10.5,0.0,0.0,0.0,0.0,29.59,0.0,0.0
9,LeonardMiller,6,3.5,0.75,8.3,8.3,0.0,0.0,0.0,0.0,28.72,0.0,0.0
10,LukaDoncic,47,37.4,0.62,23.2,9.6,0.0,0.0,0.0,0.0,28.18,0.0,0.0
11,AnthonyDavis,52,35.7,0.617,14.7,7.9,0.0,0.0,0.0,0.0,25.61,0.0,0.0
12,TyreseHaliburton,43,32.0,0.626,37.1,7.5,0.0,0.0,0.0,0.0,25.39,0.0,0.0
13,OscarTshiebwe,7,5.3,0.586,9.2,0.0,0.0,0.0,0.0,0.0,24.99,7.8,0.3
14,KawhiLeonard,48,34.3,0.636,15.3,6.7,0.0,0.0,0.0,0.0,24.02,0.0,0.0
15,DonovanMitchell,44,35.5,0.602,19.2,8.5,0.0,0.0,0.0,0.0,23.99,0.0,0.0
16,MoussaDiabate,10,5.8,0.58,13.7,6.8,0.0,0.0,0.0,0.0,23.82,11.3,0.4
17,MouhamadouGueye,1,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,23.62,1.1,0.0
18,DomantasSabonis,54,35.7,0.662,31.0,12.4,0.0,0.0,0.0,0.0,23.53,0.0,0.0
19,KevinDurant,48,37.0,0.647,18.5,10.5,0.0,0.0,0.0,0.0,23.36,0.0,0.0
20,AndreDrummond,55,16.7,0.569,5.9,12.5,0.0,0.0,0.0,0.0,23.23,173.3,5.8
21,ZionWilliamson,44,30.5,0.62,19.1,9.8,0.0,0.0,0.0,0.0,22.93,0.0,0.0
22,KristapsPorzingis,40,29.5,0.662,10.2,8.9,0.0,0.0,0.0,0.0,22.82,211.8,7.1
23,DevinBooker,45,35.5,0.617,22.0,8.0,0.0,0.0,0.0,0.0,22.78,0.0,0.0
24,KyrieIrving,33,33.9,0.598,19.3,5.8,0.0,0.0,0.0,0.0,22.7,0.0,0.0
25,RyanRollins,10,6.6,0.631,21.8,13.9,0.0,0.0,0.0,0.0,22.54,11.6,0.4
26,JimmyButler,37,33.9,0.631,19.8,7.3,0.0,0.0,0.0,0.0,22.47,0.0,0.0
27,LeBronJames,49,34.9,0.611,24.8,10.4,0.0,0.0,0.0,0.0,22.45,0.0,0.0
28,JaysonTatum,52,35.8,0.605,16.1,8.4,0.0,0.0,0.0,0.0,22.41,0.0,0.0
29,MarkWilliams,19,26.7,0.675,10.1,7.8,0.0,0.0,0.0,0.0,22.3,88.7,3.0
30,JalenBrunson,52,35.9,0.596,20.2,7.4,0.0,0.0,0.0,0.0,22.24,0.0,0.0
31,LauriMarkkanen,45,32.7,0.647,8.8,6.2,0.0,0.0,0.0,0.0,22.24,0.0,0.0
32,VictorWembanyama,49,28.4,0.564,12.9,14.0,0.0,0.0,0.0,0.0,22.07,0.0,0.0
33,StephenCurry,49,33.4,0.639,16.4,10.0,0.0,0.0,0.0,0.0,22.05,0.0,0.0
34,JarrettAllen,48,30.7,0.674,17.2,11.0,0.0,0.0,0.0,0.0,22.05,251.7,8.4
35,AlperenSengun,53,32.5,0.591,19.7,10.1,0.0,0.0,0.0,0.0,21.99,292.8,9.8
36,Day'RonSharpe,39,15.7,0.608,16.8,11.7,0.0,0.0,0.0,0.0,21.59,100.7,3.4
37,TrayceJackson-Davis,39,13.0,0.685,14.2,10.6,0.0,0.0,0.0,0.0,21.3,79.3,2.6
38,EugeneOmoruyi,24,7.1,0.587,15.1,10.3,0.0,0.0,0.0,0.0,21.25,0.0,0.0
39,JonasValanciunas,55,25.5,0.638,16.2,9.5,0.0,0.0,0.0,0.0,21.07,219.1,7.3
40,JalenSmith,38,18.1,0.727,11.1,8.8,0.0,0.0,0.0,0.0,21.03,0.0,0.0
41,ClintCapela,47,25.7,0.595,8.5,7.4,0.0,0.0,0.0,0.0,20.84,184.7,6.2
42,RickyCouncilIV,14,9.9,0.613,4.8,2.4,0.0,0.0,0.0,0.0,20.84,20.7,0.7
43,IsaiahJackson,43,13.7,0.676,13.5,10.8,0.0,0.0,0.0,0.0,20.8,0.0,0.0
44,JaredButler,18,7.2,0.689,31.8,10.2,0.0,0.0,0.0,0.0,20.73,0.0,0.0
45,LaMeloBall,22,32.3,0.561,24.2,11.4,0.0,0.0,0.0,0.0,20.63,0.0,0.0
46,ChetHolmgren,54,30.1,0.635,15.3,9.3,0.0,0.0,0.0,0.0,20.63,0.0,0.0
47,DanielGafford,48,26.2,0.702,14.5,9.9,0.0,12.0,0.0,16.9,20.43,180.6,6.0
48,TraeYoung,50,36.5,0.583,28.7,11.3,0.0,0.0,0.0,0.0,20.42,0.0,0.0
49,JaMorant,9,35.3,0.57,24.5,9.1,0.0,0.0,0.0,0.0,20.41,0.0,0.0
50,DamianLillard,50,34.9,0.596,22.5,8.4,0.0,0.0,0.0,0.0,20.01,0.0,0.0
51,CollinSexton,55,24.4,0.609,21.5,9.2,0.0,0.0,0.0,0.0,19.99,0.0,0.0
52,BamAdebayo,45,34.6,0.569,17.2,9.9,0.0,0.0,0.0,0.0,19.82,209.4,7.0
53,TyreseMaxey,49,37.2,0.575,21.1,5.5,0.0,0.0,0.0,0.0,19.8,0.0,0.0
54,MoritzWagner,53,18.4,0.663,11.2,11.2,0.0,0.0,0.0,0.0,19.75,0.0,0.0
55,JamesHarden,48,34.6,0.641,34.2,10.4,0.0,0.0,0.0,0.0,19.73,0.0,0.0
56,De'AaronFox,48,35.6,0.568,17.4,8.1,0.0,0.0,0.0,0.0,19.7,0.0,0.0
57,JamalMurray,40,31.5,0.575,24.5,7.7,0.0,0.0,0.0,0.0,19.67,0.0,0.0
58,IvicaZubac,43,26.5,0.669,11.3,10.1,0.0,0.0,0.0,0.0,19.6,153.0,5.1
59,AnthonyEdwards,51,35.0,0.589,17.0,10.7,0.0,0.0,0.0,0.0,19.58,0.0,0.0
60,EvanMobley,30,31.2,0.627,16.1,11.3,0.0,0.0,0.0,0.0,19.56,0.0,0.0
61,NicClaxton,44,29.4,0.629,14.8,9.1,0.0,0.0,0.0,0.0,19.54,0.0,0.0
