PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
FranzWagner,34,7,10,13,3,4,5,5,7,28,61.1,83.3,1,6,1,0,2,0,19,45,OrlandoMagic
JalenSuggs,17,3,3,5,3,6,2,4,2,29,50.0,100.0,1,2,2,2,0,4,18,15,OrlandoMagic
PaoloBanchero,16,5,6,9,1,3,1,4,6,31,83.3,100.0,0,5,1,2,0,0,16,20,OrlandoMagic
ColeAnthony,12,2,3,5,2,2,0,0,2,19,41.7,0,1,1,3,1,0,5,-2,12,OrlandoMagic
MoritzWagner,11,2,4,8,0,1,3,3,1,16,80.0,100.0,1,1,3,0,0,3,-2,6,OrlandoMagic
WendellCarter,10,6,0,3,3,4,1,2,1,26,37.5,100.0,1,5,3,1,0,0,19,10,OrlandoMagic
JonathanIsaac,9,6,4,4,0,0,1,2,1,19,44.4,0,0,6,1,0,1,1,2,15,OrlandoMagic
JoeIngles,8,3,1,1,2,3,0,0,4,16,50.0,100.0,0,3,0,1,0,1,2,15,OrlandoMagic
GaryHarris,5,0,1,2,1,3,0,0,4,19,50.0,0,0,0,0,2,2,2,-2,10,OrlandoMagic
CalebHoustan,3,0,0,0,1,1,0,0,0,3,20.0,0,0,0,0,0,0,0,-3,3,OrlandoMagic
MarkelleFultz,2,5,1,4,0,0,0,0,4,25,51.9,0,3,2,1,2,0,2,22,9,OrlandoMagic
AnthonyBlack,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,-3,2,OrlandoMagic
GogaBitadze,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-3,0,OrlandoMagic
ChumaOkeke,0,0,0,1,0,0,0,0,0,3,0.0,0,0,0,1,0,0,1,-3,-2,OrlandoMagic
OrlandoMagic,127,39,33,55,16,27,13,20,34,240,59.8,0,8,31,16,11,5,20,80,160,OrlandoMagic
DevinVassell,30,5,8,11,3,7,5,6,4,35,61.1,83.3,1,4,2,0,0,0,-14,29,SanAntonioSpurs
VictorWembanyama,15,1,4,8,2,4,1,1,2,23,50.0,100.0,0,1,5,1,3,1,-11,11,SanAntonioSpurs
ZachCollins,12,3,5,5,0,1,2,2,3,25,83.3,100.0,0,3,1,0,2,4,-5,18,SanAntonioSpurs
KeldonJohnson,12,4,3,5,2,7,0,0,1,24,41.7,0,0,4,1,0,0,1,5,9,SanAntonioSpurs
BlakeWesley,10,2,3,3,1,2,1,1,7,25,80.0,100.0,1,1,1,1,0,4,1,18,SanAntonioSpurs
TreJones,10,1,3,6,0,2,4,4,6,23,37.5,100.0,1,0,1,3,0,1,-17,14,SanAntonioSpurs
JeremySochan,9,2,3,5,1,4,0,0,1,28,44.4,0,0,2,2,0,0,1,-26,5,SanAntonioSpurs
JulianChampagnie,8,5,1,1,1,3,3,3,2,21,50.0,100.0,1,4,0,0,0,0,-12,13,SanAntonioSpurs
CediOsman,3,1,0,0,1,2,0,0,0,15,50.0,0,0,1,0,1,0,1,4,4,SanAntonioSpurs
MalakiBranham,2,3,1,2,0,3,0,0,3,20,20.0,0,0,3,1,1,0,3,-5,4,SanAntonioSpurs
SanAntonioSpurs,111,27,31,46,11,35,16,17,29,240,51.9,0,4,23,14,7,5,16,-80,125,SanAntonioSpurs
