PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DomantasSabonis,30,12,10,14,1,3,7,10,7,41,56.5,100.0,2,10,0,1,0,3,-17,41,SacramentoKings
MalikMonk,23,5,8,13,2,8,1,1,10,34,58.3,100.0,0,5,1,0,2,2,-8,28,SacramentoKings
TreyLyles,19,2,1,3,5,10,2,2,1,23,70.0,100.0,1,1,0,0,1,0,5,16,SacramentoKings
KevinHuerter,16,1,2,2,4,9,0,0,1,34,50.0,100.0,1,0,0,1,1,2,-10,15,SacramentoKings
De&#039;AaronFox,12,3,3,9,2,5,0,4,7,35,83.3,100.0,1,2,2,3,1,4,-17,11,SacramentoKings
DavionMitchell,9,1,2,3,1,2,2,2,1,23,37.5,0,0,1,0,0,0,3,-1,9,SacramentoKings
HarrisonBarnes,8,4,4,6,0,4,0,0,0,24,42.9,0,0,4,0,1,0,0,-17,7,SacramentoKings
SashaVezenkov,3,1,0,0,0,0,3,3,0,6,100.0,0,0,1,0,0,0,2,4,4,SacramentoKings
KeeganMurray,0,4,0,1,0,3,0,0,4,20,33.3,0,0,4,1,1,1,4,-4,5,SacramentoKings
SacramentoKings,120,36,30,51,15,44,15,22,31,240,56.0,0,6,30,4,7,6,20,-65,136,SacramentoKings
JadenIvey,37,6,8,16,5,7,6,6,7,38,56.5,100.0,2,4,5,0,0,3,10,35,DetroitPistons
AlecBurks,25,7,2,5,5,7,6,6,2,28,58.3,100.0,0,7,0,0,0,3,12,29,DetroitPistons
JalenDuren,20,15,7,10,0,0,6,6,6,37,70.0,100.0,2,13,3,0,0,4,11,35,DetroitPistons
MarcusSasser,18,3,5,8,2,6,2,2,4,32,50.0,100.0,0,3,0,0,0,1,16,18,DetroitPistons
AusarThompson,12,6,5,6,0,0,2,2,2,27,83.3,100.0,1,5,2,2,1,5,12,20,DetroitPistons
MikeMuscala,9,3,0,2,3,6,0,0,0,25,37.5,0,0,3,0,0,0,1,8,7,DetroitPistons
KillianHayes,8,4,1,3,2,4,0,0,9,28,42.9,0,0,4,1,0,0,2,-1,16,DetroitPistons
DaniloGallinari,2,4,1,1,0,0,0,0,2,11,100.0,0,1,3,0,0,1,1,2,9,DetroitPistons
JoeHarris,2,0,1,2,0,1,0,0,0,12,33.3,0,0,0,0,0,0,1,-5,0,DetroitPistons
DetroitPistons,133,52,30,53,17,31,22,22,32,240,56.0,0,10,42,12,2,2,21,65,169,DetroitPistons
