PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
P.J.Washington,25,5,2,32,11-12,1-6,66.7%,0-0,-,1,4,1,0,0,4,5,25,CharlotteHornets
TerryRozier,24,5,6,34,5-9,2-7,43.8%,8-12,66.7%,1,4,3,0,0,2,14,19,CharlotteHornets
LaMeloBall,15,6,10,31,0-4,4-11,26.7%,3-4,75.0%,1,5,3,1,0,3,7,17,CharlotteHornets
MarkWilliams,13,15,1,30,5-6,0-0,83.3%,3-3,100.0%,4,11,2,3,1,2,19,30,CharlotteHornets
BrandonMiller,13,3,2,25,2-2,3-7,55.6%,0-0,-,0,3,1,0,0,3,-13,13,CharlotteHornets
GordonHayward,10,8,7,33,4-7,0-1,50.0%,2-3,66.7%,3,5,6,1,1,1,15,16,CharlotteHornets
NickRichards,7,4,1,18,2-2,0-0,100.0%,3-4,75.0%,1,3,2,0,1,3,-14,10,CharlotteHornets
J.T.Thor,5,2,1,20,1-4,1-3,28.6%,0-0,-,1,1,0,0,0,0,2,3,CharlotteHornets
TheoMaledon,4,3,4,16,2-3,0-2,40.0%,0-0,-,0,3,1,0,0,3,-5,7,CharlotteHornets
NickSmith,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,CharlotteHornets
CharlotteHornets,116,51,34,240,32-49,11-37,50.0%,19-26,73.1%  ,12,39,19,5,3,21,30,140,CharlotteHornets
TraeYoung,23,1,9,36,3-10,1-9,21.1%,14-15,93.3%,0,1,5,1,0,3,-11,13,AtlantaHawks
JalenT.Johnson,21,7,2,29,8-10,1-3,69.2%,2-4,50.0%,0,7,0,2,1,1,8,27,AtlantaHawks
ClintCapela,15,13,0,29,6-10,0-0,60.0%,3-4,75.0%,6,7,2,1,0,1,-19,22,AtlantaHawks
SaddiqBey,15,5,0,29,5-8,1-4,50.0%,2-2,100.0%,3,2,2,5,0,1,-2,17,AtlantaHawks
DejounteMurray,11,2,6,33,3-11,0-3,21.4%,5-6,83.3%,0,2,1,0,0,0,-15,6,AtlantaHawks
De&#039;AndreHunter,9,4,1,31,3-5,1-4,44.4%,0-1,0.0%,2,2,0,0,0,6,-13,8,AtlantaHawks
BogdanBogdanovic,7,4,4,24,2-4,1-5,33.3%,0-0,-,0,4,0,3,0,1,6,12,AtlantaHawks
OnyekaOkongwu,7,4,2,19,3-5,0-0,60.0%,1-1,100.0%,1,3,1,0,0,5,14,10,AtlantaHawks
AJGriffin,2,2,0,10,1-1,0-1,50.0%,0-0,-,0,2,1,0,0,1,2,2,AtlantaHawks
AtlantaHawks,110,42,24,240,34-64,5-29,41.9%,27-33,81.8%  ,12,30,12,12,1,19,-30,117,AtlantaHawks
