PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BamAdebayo,22,8,3,32,7-13,0-0,53.8%,8-10,80.0%,2,6,2,0,2,3,-4,25,MiamiHeat
JimmyButler,19,13,4,34,6-18,0-0,33.3%,7-9,77.8%,8,5,0,2,0,0,-3,24,MiamiHeat
TylerHerro,16,2,3,35,5-17,2-7,29.2%,0-0,-,0,2,2,3,0,1,6,5,MiamiHeat
DuncanRobinson,15,2,1,22,3-5,3-5,60.0%,0-0,-,1,1,0,0,0,1,-3,14,MiamiHeat
KevinLove,13,10,2,28,1-3,3-6,44.4%,2-2,100.0%,2,8,1,0,0,5,5,19,MiamiHeat
ThomasBryant,8,6,3,16,2-5,0-0,40.0%,4-5,80.0%,2,4,1,1,0,0,5,13,MiamiHeat
JaimeJaquez,6,2,2,13,3-3,0-0,100.0%,0-0,-,0,2,1,2,0,2,4,11,MiamiHeat
DruSmith,2,0,1,9,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,1,-4,2,MiamiHeat
CalebMartin,2,3,1,20,1-4,0-3,14.3%,0-0,-,1,2,0,1,0,1,-5,1,MiamiHeat
KyleLowry,0,2,2,32,0-1,0-0,0.0%,0-0,-,0,2,0,2,1,4,4,6,MiamiHeat
MiamiHeat,103,48,22,240,29-70,8-22,40.2%,21-26,80.8%  ,16,32,7,11,3,18,5,120,MiamiHeat
CadeCunningham,30,3,9,36,9-18,4-9,48.1%,0-0,-,0,3,3,1,1,5,-2,27,DetroitPistons
JalenDuren,17,14,4,32,8-11,0-0,72.7%,1-3,33.3%,6,8,4,0,4,4,-4,30,DetroitPistons
IsaiahStewart,14,14,2,35,4-8,2-3,54.5%,0-0,-,6,8,1,0,0,3,7,24,DetroitPistons
KillianHayes,10,1,3,31,4-6,0-6,33.3%,2-3,66.7%,0,1,1,2,1,2,1,7,DetroitPistons
MarvinBagley,8,8,3,16,3-3,0-0,100.0%,2-2,100.0%,2,6,1,0,1,1,3,19,DetroitPistons
MarcusSasser,8,2,1,10,1-1,2-3,75.0%,0-0,-,0,2,1,0,0,0,2,9,DetroitPistons
AlecBurks,7,5,0,25,0-3,2-5,25.0%,1-2,50.0%,0,5,0,0,1,1,9,6,DetroitPistons
AusarThompson,4,7,3,27,0-5,1-2,14.3%,1-2,50.0%,3,4,2,0,5,2,-14,10,DetroitPistons
JadenIvey,4,2,3,17,1-5,0-2,14.3%,2-3,66.7%,0,2,3,0,0,3,-2,-1,DetroitPistons
JoeHarris,0,0,0,12,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,2,-5,-2,DetroitPistons
DetroitPistons,102,56,28,240,30-60,11-32,44.6%,9-15,60.0%  ,17,39,16,3,13,23,-5,129,DetroitPistons
