PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ImmanuelQuickley,24,6,4,28,2-4,5-7,63.6%,5-6,83.3%,2,4,2,1,0,3,-3,28,NewYorkKnicks
R.J.Barrett,24,3,2,36,6-15,2-5,40.0%,6-7,85.7%,1,2,2,1,0,0,6,15,NewYorkKnicks
JalenBrunson,15,3,6,33,3-13,3-8,28.6%,0-1,0.0%,1,2,2,3,0,3,-9,9,NewYorkKnicks
JuliusRandle,14,11,7,34,2-14,3-8,22.7%,1-5,20.0%,4,7,0,2,0,3,-13,13,NewYorkKnicks
QuentinGrimes,11,1,0,23,1-1,3-6,57.1%,0-1,0.0%,0,1,0,0,0,2,-1,8,NewYorkKnicks
IsaiahHartenstein,7,8,2,26,3-4,0-0,75.0%,1-2,50.0%,5,3,1,0,0,5,-5,14,NewYorkKnicks
JoshHart,7,6,0,23,0-0,2-4,50.0%,1-2,50.0%,1,5,1,0,0,1,-1,9,NewYorkKnicks
MitchellRobinson,2,6,1,22,1-4,0-0,25.0%,0-2,0.0%,3,3,1,2,0,4,1,5,NewYorkKnicks
DonteDiVincenzo,0,3,2,15,0-1,0-3,0.0%,0-0,-,0,3,0,0,0,1,5,1,NewYorkKnicks
NewYorkKnicks,104,47,24,240,18-56,18-41,37.1%,14-26,53.8%  ,17,30,9,9,0,22,-20,102,NewYorkKnicks
JaysonTatum,34,11,4,39,10-14,3-8,59.1%,5-6,83.3%,0,11,4,2,1,3,0,38,BostonCeltics
KristapsPorzingis,30,8,0,38,3-6,5-9,53.3%,9-10,90.0%,1,7,1,0,4,4,13,33,BostonCeltics
DerrickWhite,12,6,2,32,3-3,1-3,66.7%,3-4,75.0%,0,6,1,2,1,3,7,19,BostonCeltics
JaylenBrown,11,6,5,38,4-7,0-4,36.4%,3-4,75.0%,0,6,2,1,0,5,8,13,BostonCeltics
JrueHoliday,9,4,2,35,3-5,1-5,40.0%,0-0,-,2,2,2,0,3,3,3,10,BostonCeltics
AlHorford,8,7,2,26,1-1,2-3,75.0%,0-0,-,3,4,3,0,0,2,-7,13,BostonCeltics
PaytonPritchard,4,1,1,11,1-1,0-3,25.0%,2-2,100.0%,0,1,0,0,0,1,-8,3,BostonCeltics
LukeKornet,0,1,2,8,0-1,0-0,0.0%,0-0,-,1,0,0,0,1,0,-1,3,BostonCeltics
SamHauser,0,2,0,14,0-0,0-4,0.0%,0-0,-,0,2,0,1,1,1,5,0,BostonCeltics
BostonCeltics,108,46,18,240,25-38,12-39,48.1%,22-26,84.6%  ,7,39,13,6,11,22,20,132,BostonCeltics
