PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,35,0,5,10,7,11,4,5,6,42,57.1,80.0,0,0,3,1,0,3,5,29,AtlantaHawks
OnyekaOkongwu,22,16,6,8,2,4,4,4,0,36,66.7,100.0,6,10,0,0,2,4,9,36,AtlantaHawks
JalenT.Johnson,21,13,7,14,2,6,1,1,8,43,45.0,100.0,3,10,0,0,1,3,-3,32,AtlantaHawks
DejounteMurray,19,5,9,18,0,6,1,1,7,41,37.5,100.0,0,5,2,1,0,5,4,15,AtlantaHawks
ClintCapela,17,15,8,11,0,0,1,2,2,25,72.7,50.0,6,9,1,0,0,0,4,29,AtlantaHawks
BogdanBogdanovic,13,4,3,6,2,10,1,1,4,38,31.3,100.0,0,4,2,2,0,3,1,10,AtlantaHawks
GarrisonMathews,8,3,1,1,1,4,3,3,0,16,40.0,100.0,1,2,0,0,1,1,14,9,AtlantaHawks
De&#039;AndreHunter,6,1,2,3,0,2,2,5,0,16,40.0,40.0,0,1,0,1,0,1,-5,2,AtlantaHawks
PattyMills,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0,0,0,0,0,0,6,0,AtlantaHawks
AtlantaHawks,141,58,41,71,14,43,17,22,27,265,48.2,0.0,16,42,10,5,4,20,35,162,AtlantaHawks
StephenCurry,60,6,12,15,10,23,6,6,4,41,57.9,100.0,1,5,2,0,1,1,-1,53,GoldenStateWarriors
LesterQuinones,17,5,2,3,4,8,1,2,0,23,54.5,50.0,4,1,1,0,0,2,-7,15,GoldenStateWarriors
JonathanKuminga,16,4,5,9,1,3,3,4,3,34,50.0,75.0,2,2,4,1,0,6,-5,13,GoldenStateWarriors
BrandinPodziemski,15,11,6,10,0,2,3,5,5,39,50.0,60.0,2,9,0,0,1,4,-13,24,GoldenStateWarriors
KlayThompson,10,4,2,6,2,13,0,0,2,36,21.1,0.0,0,4,1,3,1,0,-10,4,GoldenStateWarriors
DraymondGreen,7,6,2,6,1,3,0,0,8,35,33.3,0.0,1,5,3,0,1,2,-7,13,GoldenStateWarriors
TrayceJackson-Davis,5,5,2,3,0,0,1,1,0,9,66.7,100.0,1,4,1,0,1,1,-2,9,GoldenStateWarriors
GuiSantos,2,2,0,0,0,2,2,2,3,15,0.0,100.0,1,1,1,0,0,4,5,4,GoldenStateWarriors
AndrewWiggins,2,4,1,4,0,2,0,0,0,19,16.7,0.0,0,4,0,0,2,1,2,3,GoldenStateWarriors
KevonLooney,0,10,0,0,0,0,0,0,1,15,0.0,0.0,2,8,1,0,0,2,3,10,GoldenStateWarriors
GoldenStateWarriors,134,59,32,56,18,56,16,20,26,265,44.6,0.0,15,44,15,4,7,23,-35,148,GoldenStateWarriors
